source,target,timestamp
Jens,s,7
Jens,s,7
Graver-Jens,Jens,7
Graver-Jens,s,12
Guds,Theodor,16
Gud,Guds,16
Graver-Jens,GraverJens,18
Graver-Jens,Madam,26
Graver-Jens,Madam,26
Graver-Jens,Moders,28
Graver-Jens,Theodor,30
Graver-Jens,s,30
Graver-Jens,Tippe,31
Graver-Jens,Tippe,31
Graver-Jens,Tippe,31
Gudfar,Tippe,33
Moders,Tippe,34
Gudfar,Moders,34
Gudfar,Moder,34
Faders,Moder,34
Faders,Moder,34
Moder,Tippe,34
Jens,Tippe,36
Gamle-Jens,Graver-Jens,38
Gamle-Jens,GamleJens,38
Gamle-Jens,Tippe,39
Jens,Tippe,41
Gamle-Jens,s,43
Jens,Tippe,45
Gamle-Jens,Tippe,45
Gamle-Jens,s,46
Gamle-Jens,s,46
Gamle-Jens,Tippe,46
Gamle-Jens,Tippe,46
Gamle-Jens,Tippe,47
Gamle-Jens,Tippe,47
Gamle-Jens,s,47
GamleJens,s,47
Jens,Moder,48
Jens,Moder,48
Jens,Tippe,49
Jens,Tippe,49
Jens,Tippe,49
Gamle-Jens,Jens,49
Gamle-Jens,Tippe,49
Gamle-Jens,Tippe,49
Gamle-Jens,Tippe,53
Gamle-Jens,s,53
Gamle-Jens,GamleJens,55
Gamle-Jens,Tippe,56
Jens,Tippe,56
Gamle-Jens,s,58
Moder,Tippe,68
Moder,Tippe,68
Gamle-Jens,Tippe,73
Gamle-Jens,s,99
Gamle-Jens,Tippe,100
Jens,Tippe,103
Jens,Tippe,103
Jens,Tippe,103
Gamle-Jens,s,105
Graver-Jens,Tippe,110
Gamle-Jens,Tippe,120
Jens,Tippe,120
Jens,Tippe,120
Gamle-Jens,Tippe,121
Graver-Jens,Tippe,121
Graver-Jens,Tippe,122
Gamle-Jens,Tippe,122
Gamle-Jens,Tippe,124
Gudfar,Tippe,124
Gudfar,Tippe,124
Hans,Tippe,124
Gamle-Jens,Gud,126
Gamle-Jens,Tippe,131
Gamle-Jens,Tippe,135
Gamle-Jens,Tippe,138
Gamle-Jens,Tippe,139
Gamle-Jens,s,142
Vorherre,s,142
Gamle-Jens,Tippe,143
Gamle-Jens,Tippe,143
Gud,Moder,146
Gamle-Jens,Tippe,147
Gamle-Jens,s,147
Gamle-Jens,s,148
Gamle-Jens,Tippe,150
Gamle-Jens,s,151
Gud,Tippe,154
Gamle-Jens,Gud,154
Gamle-Jens,s,154
Gudfar,Tippe,155
Gamle-Jens,Tippe,160
Gamle-Jens,s,161
Gamle-Jens,s,161
Gamle-Jens,Tippe,162
Gamle-Jens,Tippe,164
Gamle-Jens,Tippe,165
Gamle-Jens,Tippe,165
Gamle-Jens,s,166
Tippe,s,166
Gamle-Jens,Tippe,166
Gamle-Jens,s,166
Gamle-Jens,s,168
Gamle-Jens,s,169
Jens,s,174
Hosianna,Jesus,176
Hosianna,Jesus,178
Hosianna,Jesus,180
Gamle-Jens,Tippe,181
Gamle-Jens,Tippe,182
Gamle-Jens,s,185
Graver-Jens,s,185
Gamle-Jens,s,191
Gamle-Jens,s,191
Gudfar,Tippe,194
Gud,Jesus,197
Hosianna,Jesus,198
Gud,Gudfar,199
Gud,Gudfar,199
Gamle-Jens,Gud,199
Gamle-Jens,s,200
Gamle-Jens,s,200
