Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
binene,0,0,0,0,3,0.02,3,0.01,3,0.02,0.06,0.1,0.01,0.02
ei,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Martens,0,0,0,0,8,0.08,16,0.07,8,0.08,0.12,0.2,0.02,0.04
heis,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.03,0.0,0.0
Per,0,0,0,0,14,0.15,18,0.08,14,0.15,0.11,0.18,0.05,0.09
skjont,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Bertha,0,0,0,0,85,1.0,205,1.0,85,1.0,0.6,1.0,0.53,1.0
Hansens,0,0,0,0,2,0.01,2,0.0,2,0.01,0.06,0.1,0.0,0.0
Emilie,0,0,0,0,3,0.02,3,0.01,3,0.02,0.06,0.1,0.01,0.02
Emmy,0,0,0,0,27,0.31,68,0.33,27,0.31,0.24,0.4,0.12,0.23
bie,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.08,0.0,0.0
iland,0,0,0,0,5,0.05,5,0.02,5,0.05,0.04,0.07,0.01,0.02
Hansen,0,0,0,0,9,0.1,12,0.05,9,0.1,0.13,0.22,0.01,0.02
sorenskri veren,0,0,0,0,3,0.02,3,0.01,3,0.02,0.07,0.12,0.0,0.0
jomfru Martens,0,0,0,0,6,0.06,11,0.05,6,0.06,0.08,0.13,0.01,0.02
La dogana,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Solamento vestimenti,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
abiti,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
signore,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
San Marco,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
bella,0,0,0,0,2,0.01,2,0.0,2,0.01,0.05,0.08,0.01,0.02
stelle,0,0,0,0,2,0.01,2,0.0,2,0.01,0.05,0.08,0.01,0.02
jomfru Al,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Allen,0,0,0,0,6,0.06,11,0.05,6,0.06,0.07,0.12,0.02,0.04
Alartens,0,0,0,0,5,0.05,9,0.04,5,0.05,0.09,0.15,0.0,0.0
stakkar,0,0,0,0,6,0.06,15,0.07,6,0.06,0.1,0.17,0.02,0.04
Kapellan ifjor vår,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.03,0.01,0.02
berg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Agathe,0,0,0,0,19,0.21,54,0.26,19,0.21,0.21,0.35,0.05,0.09
Bang,0,0,0,0,8,0.08,11,0.05,8,0.08,0.12,0.2,0.01,0.02
kaptein Dankert,0,0,0,0,5,0.05,6,0.02,5,0.05,0.09,0.15,0.0,0.0
noddekjær,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.08,0.0,0.0
Thorvald,0,0,0,0,14,0.15,51,0.25,14,0.15,0.17,0.28,0.03,0.06
Stakkars,0,0,0,0,5,0.05,8,0.03,5,0.05,0.09,0.15,0.02,0.04
Sigvald,0,0,0,0,18,0.2,36,0.17,18,0.2,0.18,0.3,0.05,0.09
jevnedes,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.08,0.0,0.0
dbren,0,0,0,0,2,0.01,4,0.01,2,0.01,0.06,0.1,0.0,0.0
jomfru Alartens,0,0,0,0,6,0.06,12,0.05,6,0.06,0.08,0.13,0.01,0.02
forst,0,0,0,0,2,0.01,2,0.0,2,0.01,0.06,0.1,0.0,0.0
Jomfru Alartens,0,0,0,0,2,0.01,5,0.02,2,0.01,0.05,0.08,0.0,0.0
Agathe Langberg,0,0,0,0,2,0.01,2,0.0,2,0.01,0.05,0.08,0.01,0.02
Bertha Klem,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Guds,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
frøken Agathe,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gud,0,0,0,0,10,0.11,11,0.05,10,0.11,0.13,0.22,0.02,0.04
Presten,0,0,0,0,3,0.02,4,0.01,3,0.02,0.07,0.12,0.0,0.0
froken,0,0,0,0,6,0.06,6,0.02,6,0.06,0.09,0.15,0.01,0.02
Bekkers,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Provsten,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Luther,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Melanchton,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Jesus,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
åndens,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Paulus,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
landhandler Hansens,0,0,0,0,2,0.01,2,0.0,2,0.01,0.06,0.1,0.0,0.0
Ingseth,0,0,0,0,3,0.02,3,0.01,3,0.02,0.06,0.1,0.01,0.02
dore,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
jente,0,0,0,0,2,0.01,2,0.0,2,0.01,0.05,0.08,0.01,0.02
klein,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
pol,0,0,0,0,2,0.01,2,0.0,2,0.01,0.05,0.08,0.02,0.04
Kristoffer,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.02,0.01,0.02
dilla,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ola Thors,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
trut,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
paulun,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.08,0.0,0.0
Dagmar,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
Agathe nesten,0,0,0,0,2,0.01,2,0.0,2,0.01,0.07,0.12,0.0,0.0
Dankert,0,0,0,0,7,0.07,8,0.03,7,0.07,0.13,0.22,0.02,0.04
tein,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
hiin,0,0,0,0,1,0.0,2,0.0,1,0.0,0.05,0.08,0.0,0.0
Berthas öine,0,0,0,0,2,0.01,2,0.0,2,0.01,0.06,0.1,0.0,0.0
Alen,0,0,0,0,7,0.07,8,0.03,7,0.07,0.08,0.13,0.01,0.02
kjære,0,0,0,0,3,0.02,4,0.01,3,0.02,0.06,0.1,0.01,0.02
Jomfru Martens,0,0,0,0,2,0.01,2,0.0,2,0.01,0.06,0.1,0.0,0.0
jå,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
kjære Bertha,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Jomfru Ålartens,0,0,0,0,2,0.01,2,0.0,2,0.01,0.05,0.08,0.01,0.02
sbvnen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
