Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Johnny,0,0,0,0,20,0.61,54,0.72,20,0.61,0.32,0.7,0.17,0.53
Sultans,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
Dr. Gram,0,0,0,0,7,0.19,13,0.16,7,0.19,0.16,0.35,0.06,0.19
Sands,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.04,0.02,0.06
Sultan,0,0,0,0,3,0.06,13,0.16,3,0.06,0.1,0.22,0.01,0.03
Gram,0,0,0,0,13,0.39,21,0.27,13,0.39,0.21,0.46,0.13,0.41
Espekjær,0,0,0,0,5,0.13,6,0.07,5,0.13,0.12,0.26,0.04,0.12
Alexanders,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
Gud,0,0,0,0,11,0.32,16,0.2,11,0.32,0.21,0.46,0.09,0.28
Frue,0,0,0,0,2,0.03,2,0.01,2,0.03,0.07,0.15,0.0,0.0
Henrik,0,0,0,0,32,1.0,75,1.0,32,1.0,0.46,1.0,0.32,1.0
Ellinor,0,0,0,0,13,0.39,34,0.45,13,0.39,0.29,0.63,0.1,0.31
St. Germain,0,0,0,0,2,0.03,2,0.01,2,0.03,0.06,0.13,0.01,0.03
Czar Peter,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Wilhelm,0,0,0,0,1,0.0,2,0.01,1,0.0,0.03,0.07,0.0,0.0
Jomfru Sophie Magdalene Højer,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Kong Frederik,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.02,0.01,0.03
Bernstorfs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Johan,0,0,0,0,2,0.03,4,0.04,2,0.03,0.1,0.22,0.0,0.0
Salomons,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
Peder Nielsens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
Per Nielsen,0,0,0,0,2,0.03,5,0.05,2,0.03,0.03,0.07,0.01,0.03
orn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
Morten,0,0,0,0,2,0.03,5,0.05,2,0.03,0.01,0.02,0.0,0.0
Morten Larsen,0,0,0,0,3,0.06,4,0.04,3,0.06,0.05,0.11,0.0,0.0
Doktori,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Janneme,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Jane,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Maren,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Døttres,0,0,0,0,2,0.03,2,0.01,2,0.03,0.03,0.07,0.0,0.0
Mette,0,0,0,0,15,0.45,23,0.3,15,0.45,0.16,0.35,0.14,0.44
Ane Marie,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.04,0.0,0.0
Oles,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.04,0.0,0.0
Hilf Mutter,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.04,0.01,0.03
Marie,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
Antonius,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.02,0.0,0.0
Jens,0,0,0,0,6,0.16,6,0.07,6,0.16,0.05,0.11,0.04,0.12
Kong Frederik den syvende,0,0,0,0,2,0.03,2,0.01,2,0.03,0.03,0.07,0.0,0.0
Hansine Mortensdatter,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
ifjor,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Kirsten,0,0,0,0,3,0.06,4,0.04,3,0.06,0.02,0.04,0.02,0.06
lille Mette,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Asta Thaarup,0,0,0,0,3,0.06,8,0.09,3,0.06,0.1,0.22,0.0,0.0
Gyldenmund,0,0,0,0,3,0.06,3,0.03,3,0.06,0.03,0.07,0.01,0.03
Rasmus Kristensen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Didhen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.13,0.0,0.0
didhen,0,0,0,0,2,0.03,3,0.03,2,0.03,0.1,0.22,0.0,0.0
Hans,0,0,0,0,3,0.06,4,0.04,3,0.06,0.07,0.15,0.01,0.03
Thaarup,0,0,0,0,8,0.23,10,0.12,8,0.23,0.16,0.35,0.05,0.16
Fatters,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Reseda,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Astas,0,0,0,0,3,0.06,3,0.03,3,0.06,0.05,0.11,0.0,0.0
Angul,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
Dan,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Humbles,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Niels,0,0,0,0,20,0.61,37,0.49,20,0.61,0.33,0.72,0.15,0.47
Niels Kudsk,0,0,0,0,2,0.03,5,0.05,2,0.03,0.08,0.17,0.0,0.0
Liljenfelt,0,0,0,0,3,0.06,3,0.03,3,0.06,0.1,0.22,0.0,0.0
illein,0,0,0,0,2,0.03,2,0.01,2,0.03,0.05,0.11,0.0,0.0
Henrik de Witts,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
Witt,0,0,0,0,7,0.19,10,0.12,7,0.19,0.13,0.28,0.05,0.16
b.ode,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
Horizonten,0,0,0,0,2,0.03,2,0.01,2,0.03,0.06,0.13,0.0,0.0
Mortensen,0,0,0,0,2,0.03,2,0.01,2,0.03,0.06,0.13,0.0,0.0
Graad,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
Jahne,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Henrik de Witt,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
Homelie,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Sanct Basilius,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Asta,0,0,0,0,11,0.32,19,0.24,11,0.32,0.2,0.43,0.06,0.19
Anders Nielsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Niels Brand,0,0,0,0,13,0.39,26,0.34,13,0.39,0.23,0.5,0.1,0.31
Moster,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Frøken Asta,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Flun,0,0,0,0,2,0.03,2,0.01,2,0.03,0.05,0.11,0.0,0.0
Per,0,0,0,0,5,0.13,5,0.05,5,0.13,0.03,0.07,0.03,0.09
