Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Jørgen,0,0,0,0,6,0.33,7,0.2,6,0.33,0.12,0.24,0.17,0.4
Jørgen Sand,0,0,0,0,4,0.2,5,0.13,4,0.2,0.12,0.24,0.07,0.16
Gud,0,0,0,0,11,0.67,14,0.43,11,0.67,0.38,0.78,0.34,0.79
Jesus,0,0,0,0,2,0.07,2,0.03,2,0.07,0.07,0.14,0.05,0.12
lille Jørgen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
lian,0,0,0,0,4,0.2,4,0.1,4,0.2,0.08,0.16,0.08,0.19
Jonas,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
alfid,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Gud bevar,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.14,0.0,0.0
Frederik den sjætte,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.14,0.0,0.0
Karl,0,0,0,0,1,0.0,1,0.0,1,0.0,0.09,0.18,0.0,0.0
Sand,0,0,0,0,16,1.0,31,1.0,16,1.0,0.49,1.0,0.43,1.0
Amalie,0,0,0,0,2,0.07,2,0.03,2,0.07,0.15,0.31,0.0,0.0
Paulus,0,0,0,0,4,0.2,4,0.1,4,0.2,0.19,0.39,0.02,0.05
Stefan,0,0,0,0,2,0.07,2,0.03,2,0.07,0.1,0.2,0.0,0.0
ban,0,0,0,0,3,0.13,3,0.07,3,0.13,0.13,0.27,0.03,0.07
Aaens,0,0,0,0,2,0.07,2,0.03,2,0.07,0.04,0.08,0.01,0.02
Givekjersmann,0,0,0,0,4,0.2,6,0.17,4,0.2,0.16,0.33,0.05,0.12
Pastor Koids,0,0,0,0,4,0.2,4,0.1,4,0.2,0.19,0.39,0.02,0.05
Hr. Givekjersmann,0,0,0,0,5,0.27,5,0.13,5,0.27,0.21,0.43,0.07,0.16
K,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Kold,0,0,0,0,7,0.4,11,0.33,7,0.4,0.3,0.61,0.14,0.33
Emilie Kraft,0,0,0,0,9,0.53,16,0.5,9,0.53,0.37,0.76,0.14,0.33
Emilie,0,0,0,0,3,0.13,5,0.13,3,0.13,0.17,0.35,0.02,0.05
Hakon Jarl,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Joms,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Anders Lam,0,0,0,0,2,0.07,2,0.03,2,0.07,0.03,0.06,0.0,0.0
Ane,0,0,0,0,2,0.07,2,0.03,2,0.07,0.03,0.06,0.0,0.0
Buk,0,0,0,0,4,0.2,6,0.17,4,0.2,0.13,0.27,0.1,0.23
Luthers,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Peder,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Madame,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Pastor Kold,0,0,0,0,1,0.0,2,0.03,1,0.0,0.09,0.18,0.0,0.0
Luther,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Artium,0,0,0,0,1,0.0,1,0.0,1,0.0,0.09,0.18,0.0,0.0
Jensen,0,0,0,0,2,0.07,4,0.1,2,0.07,0.15,0.31,0.0,0.0
Tyfus,0,0,0,0,2,0.07,2,0.03,2,0.07,0.15,0.31,0.0,0.0
Braad,0,0,0,0,1,0.0,1,0.0,1,0.0,0.09,0.18,0.0,0.0
Alleby,0,0,0,0,1,0.0,1,0.0,1,0.0,0.09,0.18,0.0,0.0
d,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
