source,target,timestamp
Kancelliraad Byberg,Sancho Pansa,2
Sancho Pansa,Søren,2
Sancho Pansa,Søren,2
Kancelliraad Byberg,Nathalies,3
Hagbarth,N. P. Nielsensk,9
Hagbarth,Signe,9
Axel,Signe,9
Axel,Valborg,9
Ingemanns,Valborg,9
Ingemanns,Johnstones,9
Betty,Kamma,10
Betty,Kamma,13
Betty,Kancelliraad Byberg,16
Kamma,Kancelliraad Byberg,19
Kamma,Nathalies,19
Betty,Kamma,22
Hr. Anton,Hr. Antons,24
Albertine,Cecilie,26
Betty,Kamma,33
Betty,Hr. Drehling,40
Betty,Kamma,42
Betty,Gud,45
Diana,Kamma,47
Diana,Sancho Pansa,47
Antons,Betty,53
Antons,Betty,53
Anton,Betty,53
Betty,osl,57
Anton,Betty,65
Anton,Betty,65
Anton,Betty,65
Drehlingers,Kamma,67
Anton,Betty,79
Anton,Kamma,82
Anton,Betty,84
Anton,Nathalies,84
Betty,L	,87
Betty,j,87
Anton,j,87
Anton,Betty,87
Anton,Betty,87
Anton,Betty,87
Anton,Betty,87
Anton,Betty,88
Anton,Kamma,90
Kamma,Olje,90
Anton,Kora,95
Anton,Frits,98
Andersen,Tys,99
Kamma,Tys,99
Betty,Kamma,101
Anton,Betty,103
Anton,Kamma,109
Betty,Kamma,109
Anton,Betty,111
Anton,Betty,112
Betty,Kamma,112
Anton,Kamma,112
Anton,Kamma,113
Alexandra,TysI,116
Anton,Betty,117
Betty,sandru,119
Anton,Betty,125
Anton,Betty,131
Anton,Betty,131
Betty,Frits,135
Betty,Thingtid,139
Frits,Gud,144
Frits,Gud,144
Iforgaars,Kamma,146
Ane,Niels Kusk,148
Mette Stupige,Niels Kusk,148
Anton,Frøken Mølmark,153
Anton,Baby,165
Anton,Meinerts,170
Meinerts,ifjor,170
Frits,Lynge,182
Anton,Conerding,187
Anton,kets,195
Astrid,hin Jente,197
Anton,Henrik Pontoppidan,198
Anton,Betty,208
Anton,Kjære,208
Anton,Gud,209
Betty,Gud,212
Betty,Frits,212
Anton,Betty,214
Betty,Fritz,214
Anton,Fritz,214
lysegraa Gamascher,v. d. Meuse,240
Anton,v. d. Meuse,240
Josef,Nelly,245
Madame,Nelly,245
Anton,Betty,248
Anton,Betty,265
Betty,Kamma,269
Betty,sky,280
Betty,Kamma,284
Anton,Kamma,285
