Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Kancelliraad Byberg,0,0,0,0,4,0.2,4,0.07,4,0.2,0.2,0.39,0.04,0.18
Sancho Pansa,0,0,0,0,3,0.13,4,0.07,3,0.13,0.05,0.1,0.02,0.09
Søren,0,0,0,0,1,0.0,2,0.02,1,0.0,0.01,0.02,0.0,0.0
Nathalies,0,0,0,0,3,0.13,3,0.04,3,0.13,0.19,0.37,0.01,0.05
Hagbarth,0,0,0,0,2,0.07,2,0.02,2,0.07,0.0,0.0,0.0,0.0
N. P. Nielsensk,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Signe,0,0,0,0,2,0.07,2,0.02,2,0.07,0.0,0.0,0.01,0.05
Axel,0,0,0,0,2,0.07,2,0.02,2,0.07,0.0,0.0,0.01,0.05
Valborg,0,0,0,0,2,0.07,2,0.02,2,0.07,0.0,0.0,0.01,0.05
Ingemanns,0,0,0,0,2,0.07,2,0.02,2,0.07,0.0,0.0,0.0,0.0
Johnstones,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Betty,0,0,0,0,14,0.87,47,1.0,14,0.87,0.47,0.92,0.17,0.77
Kamma,0,0,0,0,9,0.53,23,0.48,9,0.53,0.32,0.63,0.13,0.59
Hr. Anton,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Hr. Antons,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Albertine,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Cecilie,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Hr. Drehling,0,0,0,0,1,0.0,1,0.0,1,0.0,0.09,0.18,0.0,0.0
Gud,0,0,0,0,3,0.13,5,0.09,3,0.13,0.23,0.45,0.0,0.0
Diana,0,0,0,0,2,0.07,2,0.02,2,0.07,0.07,0.14,0.01,0.05
Antons,0,0,0,0,1,0.0,2,0.02,1,0.0,0.09,0.18,0.0,0.0
Anton,0,0,0,0,16,1.0,42,0.89,16,1.0,0.51,1.0,0.22,1.0
osl,0,0,0,0,1,0.0,1,0.0,1,0.0,0.09,0.18,0.0,0.0
Drehlingers,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
L	,0,0,0,0,1,0.0,1,0.0,1,0.0,0.09,0.18,0.0,0.0
j,0,0,0,0,2,0.07,2,0.02,2,0.07,0.18,0.35,0.0,0.0
Olje,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Kora,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.2,0.0,0.0
Frits,0,0,0,0,4,0.2,6,0.11,4,0.2,0.24,0.47,0.02,0.09
Andersen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
