source,target,timestamp
Hilda,orinde Sasfers,5
orinde Sasfers,von,5
Rosenstein,von,5
Saffer,ke,6
Saffer,ke,6
Ore,Saffer,6
Ore,Rosenstein,6
Rosenstein,Röhse,6
Aaget,Hnn,9
Hnn,Rosenstein,9
Aukfion,Hilda,12
Mama,Yfring,15
Hilda,Ojnes,17
Mama,Ojnes,17
Hilda,Hr. Meier,18
Assked,Hilda,19
Albert Wernick,Hr. Meier,20
Alberts,Hilda,25
Albert,Alberts,25
asser,strax,32
Hilda,hnn,34
Hilda,Wernicks,34
Wernick,Wernicks,34
Hilda,Wernick,35
Frn Saffer,Hilda,36
Frn Saffer,Nosensteins,36
Hilda,Wernick,42
Hilda,Wernick,42
Albert Wernick,Hilda,43
Albert,Hilda,43
Albert,Brown,49
Albert,Brown,49
Albert,Monsieur Vernicq,49
Kong Frederiks,Nik,52
Hilda,Vernicq,53
Albert,Hilda,54
Albert,Hilda,57
Albert,Hilda,58
Albert,Hilda,58
Albert,Hilda,60
Albert,Hilda,60
Hilda,Jægermester Brown,65
Elsfer,Hilda,67
Hilda,fog,72
Hilda,fog,72
Guds,Hilda,72
Hilda,Vernicq,74
Hilda,Vernicq,76
Hilda,Vernicq,76
Hilda,Vernicq,76
Ore,Vernicq,77
Saffer,Vernicq,77
Saffer,Vernicq,77
Hilda,Vernicq,78
Hilda,Vernicq,78
Hilda,Mr. Vernicq,82
Brene,Hilda,83
Mr. Vernicq,Vernicq,85
Hilda,Mr. Vernicq,85
Hilda,Vernicq,89
Hilda,Vernicq,90
Hilda,Vernicq,90
Hilda,Vernicq,91
Hilda,Vernicq,92
Hilda,Vernicq,92
Hilda,Vernicq,92
Mr. Vernicq,Vernicq,93
Hilda,hnn,94
Hilda,Vernicq,94
Hilda,Vernicq,94
Hilda,Vernicq,98
Hilda,Vernicq,108
Hilda,hnn,117
Hilda,hnn,117
Hilda,ane,117
Hilda,Vernicq,119
Safser,Vernicq,119
Hilda,Vernicq,120
Bjne,Vernicq,124
Gud,Vernicq,124
Bjne,Hilda,125
Gud,Hilda,125
Hilda,Vernicq,126
Hilda,Rosensfeins,126
Rosensfeins,Vernicq,126
Hilda,Vernicq,126
Hilda,Vernicq,126
Hilda,Monsieur Vernicq,127
Monsieur Vernicq,Oren,127
Oren,Vernicq,127
Hilda,Vernicq,129
Hilda,Vernicq,129
Hilda,Vernicq,129
Luthers,Vernicq,129
Luthers,Vernicq,129
Hilda,Vernicq,129
Hilda,Vernicq,129
Hilda,Vernicq,133
Gud,Vernicq,134
Henrik Rohse-Vernicq,Hilda,135
Henrik Rohse-Vernicq,von,135
Hilda,hnn,137
Hilda,Vernicq,137
