source,target,timestamp
Erik,Ulrich Petersen,1
Christian den,DeDen,2
Christian den,Gert Rantzau,2
Casper Hinkze,Gert Rantzau,2
Casper Hinkze,Slien,2
Feltmarskalk,Schack,3
Feltmarskalk,Schack,3
Augusta,Christoph Schack,6
Adolph,Ahlefeldt,7
Ahlefeldt,Johan Adolph,8
Adolph fom Kurer,Behrend Soltov,9
Adolph fom Kurer,Behrend,9
Christoph Schack,Gert Rankzau,11
Claus v. Thienen,Gert Rankzau,11
Claus v. Thienen,Grønholdt,11
Grønholdt,Hennicke v. Rumohr,11
Hennicke v. Rumohr,Joackim v.,11
Bertram v. Ratlau,Joackim v.,11
Bertram v. Ratlau,Lindaa,11
Hans v. Blome,Lindaa,11
Hans v. Blome,Johan v. d. Wisch,11
Johan v. d. Wisch,Wulfs v. Ahlefeldt,11
Brockdorff,Wulfs v. Ahlefeldt,11
Brockdorff,Erik Krummedige,11
Christoph Schack,Erik Krummedige,11
Augusta,Christoph Schack,11
,Augusta,11
,Johan Adolph,11
Bertram Ratlau,Morits Ratlau,15
Bertram Ratlau,Johan v. Ahlefeldl,15
Christne,Diderik,21
Diderik,Margrethe,21
Diderik,Margrethe,24
Diderik,Margrethe,26
Margrethe,dein,26
Diderik,dein,26
Elsbeth,Margrethe,27
Bertram Ratlau,Lindaa,35
Johan v. Ahlefeldt,Morits,36
Guds,Johan v. Ahlefeldt,36
Diderik,Guds,36
Guds,Morits,38
Hr. Bertrauls,Morits,38
Johan Adolph,Johan Frederik,39
Adolph,Vilhelm,40
Ulrich Zwinglis,Vilhelm,40
Calvins,Ulrich Zwinglis,40
Calvins,Philips,40
Philips,Poul v. Eittzen,40
Johan v. Wowern,Poul v. Eittzen,40
Johan v. Wowern,Philip Cæsar,40
Luthers,ester,41
dein,eil,42
Gert Rantzau,eil,42
Gert Rantzau,dein,42
Frederik den,lideli,46
lideli,melier,46
Gud,Hr. Gert,52
Christoph Schack,Claus Ahlefetdt,53
Claus Ahlefetdt,hall,53
Gert Rankzau,Niels Kaas,54
Gert Rankzau,Johan Adolph,54
Adolph,Johan Adolph,54
Gert Rantzau,Johan Frederik,55
Chrisfoph Schack,Gert Rantzau,55
Christian den,Christoph Schack,56
Christoph Schack,Wowern,56
Gehejmeraad v.,Wowern,56
Gehejmeraad v.,Munsfer-Meinhofel,56
Ahlefeldt,Johan Frederik,64
Dorothea,Johan,65
Dorothea,Johan,65
Dorothea,Johan,65
Dorothea,Johan,65
Johan,fille,65
Johan,fille,65
Johan,son,65
Johan,son,65
Anna Sophie,Grevelis,66
Anna Sophie,kuli,66
Dorothea,Hirn,67
Anna Sophie,Magdalene,69
Anna Sophie,eil,72
Anna Sophie,Magdalene,74
Anna Sophie,son,74
Anna Sophie,Bertha v.,80
Bertha,Marie Elisabeth,83
Winterfeld,son,89
Frøken v. Winterfeld,Magdalene,91
Anna Sophie,Catharina,94
Diderik Otto Schultes,ban,95
Johan,Roes,97
Gottorp,Johan,97
Gud,Johan Frederik,99
ban,eil,101
Johan,Johan Frederik,102
Anton,Johan,102
Anton,Johan,102
Delmenhorst,Johan,102
Hertng Johan Adolph,Johan,104
Anton,Hertng Johan Adolph,104
Anton,felv,104
Naades,felv,104
Magdalene,Naades,104
Johan,Magdalene,104
Johan,Magdalene,104
Anna Sophie,stegen,105
Acen,Hansnat,106
Hansnat,hall,106
Berthold,fille,107
Anna Sophie,Anton Günthers,109
Anton Günthers,helides,109
Anna Sophie,Hain,111
Hain,hali,111
Anna Sophie,Magdalene,112
Anna Sophie,helides,112
Bertha v. Tchbnau,helides,112
Bertha v. Tchbnau,Johan Frederik,112
Anna Sophie,Harn,113
Anna Sophie,as Bertha v.,114
Anna Sophie,k,114
Anna Sophie,Gud,115
Anhalt-Zerbst,Magdalene,116
Anhalt-Zerbst,Rudolph,116
Rudolph,Winterfeld,116
Anna Sophie,Winterfeld,116
Anna Sophie,Dorothea,116
Anna Sophie,Støvfky,119
Støvfky,Taarnvægteræns,119
Anna Sophie,Taarnvægteræns,119
Christian,Johan,121
Alexander,Christian,121
Alexander,Hans,121
Hans,deur,121
Johan,deur,121
Anna Sophie,Marie Elisabeth,124
Anna Sophie,Johan Frederik,125
Christian,sorn,128
Christian,sorn,128
Christian,Johan,128
Alexander,Johan,128
Alexander,Anna Sophie,128
Anna Sophie,fnart,128
Anna Sophie,Dorothea,129
Anna Sophie,Dorothea,129
Alexander,Anna Sophie,129
Alexander,Bertha v. Schonau,129
Bertha v. Schonau,son,129
Alexander,son,129
Alexander,Johan Frederik,129
Anna Sophie,Dorothea,130
Alexander,Greve,131
Alexander,Huri,134
Dorothea,Johan Frederik,135
Dorothea,Grevinde Magdalenes,135
Alexander,Anna Sophie,136
Alexander,Dorothea,138
Alexander,Dorothea,139
Catharina,Marie Elisabeth,145
Bertha v.,Catharina,145
Alexander,Bertha v.,145
Alexander,Dorothea,145
Alexander,Dorothea,146
Alexander,stig,147
Grevinde Doroheas,stig,147
,Hans,148
,Alexander,148
Alexander,Dorothea,148
inger,sorn,150
Vinkelmann,inger,150
Vinkelmann,wohlgezierte Jungser,150
Johan,hans Exempel,151
Johan Frederik,hans Exempel,151
Anna Sophie,Johan Frederik,151
Johan Frederik,frein,153
Johan,Johan Frederik,153
Anna Sophie,son,156
Anna Sophie,Johan Frederik,160
Anna Sophie,Johan Frederik,164
Johan Adolph,Johan Frederik,165
Brødreneskilles,Johan Frederik,165
Brødreneskilles,Johan Frederik,165
Anna Sophie,Johan Frederik,165
Grevens,Johan Frederik,166
Anna Sophie,Grevens,166
Anna Sophie,Graad,166
Graad,Johan Adolph,166
Johan Adolph,son,166
rnaatte,son,166
Johan Frederik,rnaatte,166
Alexander,Dorothea,169
Gud,Johan,170
Anna Sophie,Gud,170
Anna Sophie,Johan Frederik,174
Schuttes,voxen,175
Johan Frederik,karl Ærkebiskop,180
Johan Frederik,Markgrev Joachim Frederik,180
Joachim Frederik,sorn Eders,181
ban,sorn Eders,181
Johan Frederik,ganfke,184
Anna Sophie,Johan Frederik,184
Anna Sophie,Hain,184
Anna Sophie,Johan Frederik,185
Anna Sophie,Johan Frederik,185
Catbarina,Marie Elisabeth,187
Catbarina,Dorothea,187
Alexander,Dorothea,187
Alexander,Anna Sophie,187
Alexander,Anna Sophie,187
Alexander,Grevedatter,187
Anna Sophie,felv,188
Alexander,felv,188
Anna Sophie,Dorothea,189
Eil,Johan,190
Caspar,Johan,190
Alexander,Caspar,190
Alexander,Johan,190
Herre Junker,djsfe,191
Hans,djsfe,191
,Hans,191
,v. BreiUacken,191
Anna Sophie,Haabets,193
Alexander,Haabets,193
Breitlacken,Dorothea,194
Dorothea,Junker Alexander,194
Dorothea,Junker Alexander,194
Alexander,fasf,195
Alexander,Dorothea,200
Hans,Johan,202
Hans,Junker Alexander,202
Dorothea,Junker Alexander,202
Christian den Fjerde,Johan,207
Johan,tte Bueanoi,208
Haschiconrt,Johan,208
Haschiconrt,Joban,208
Hamelmann,Joban,209
Joban,Semirami,209
,Semirami,209
,Johan,209
Johan,Junker Alexander,209
Anna Sophie,Junker Alexander,210
Dorothea,Junker Alexander,210
Dorothea,Grevedatter,210
Anna Sophie,Hain,214
Ahlefeld,Diderik,217
Anna Sophie,dans,220
Anna Sophie,dun,220
dans,dun,220
Adolp,dans,220
Adolp,Trusel,220
Trusel,dam,220
dam,hall,220
hall,onsfer,221
Diderik,Gud,222
Greven,Von,223
Greven,Gud,223
Hain,bjem,224
Dorothea,sine Døttre,225
Alexander,Gud,226
Anna Sophie,lydlosf,231
Grev Johans,Wandsbek,233
Neinbek,Wandsbek,233
Christian den Fjerde,Neinbek,233
Christian den Fjerde,Johan Adolph,233
Gert Rantzau,Johan Adolph,233
Benediet v.,Gert Rantzau,233
Ahlefeldt,Benediet v.,233
Ahlefeldt,Christoffer Fulteus,233
Diderik Blome,Nicolaus Junge,234
Augusta,Catharina,235
Augusta,Hedvig,235
Elisabeth,Hedvig,235
Elisabeth,Ernst,235
Ernst,Frederik Ulrich,235
Frederik Ulrich,Johan Frederik,235
Johan Frederik,Storsyrst Ivanowitz,235
Adolph Frederik,Storsyrst Ivanowitz,235
Adolph Frederik,Johan Albrecht,235
Alexander,Johan Albrecht,235
Alexander,Philip,235
Albrecht,Philip,235
Albrecht,Kuno,235
Anton Gynther,Kuno,235
Anton Gynther,fom,235
Dorothea,fom,235
Dorothea,Grev Gynther,235
Johan,sor,242
Halls,Johan,242
Johan Frederik,mille,243
Schuttes,nn,245
Anna Sophie,hall,246
Gud,hall,246
Gud,Johan Frederik,246
Johan,eil,251
Kong Christian,eile,252
Anna Sophie,Halls,253
Anna Sophie,Halls,253
Halls,hall,253
Brodereils,hall,253
Beileile,Brodereils,253
Johan Frederik,Ulrik,254
Johan Scbelhammer,boldt,255
Johan Adolph,Jokum Beckendorff,256
Arilds,Johan Adolph,256
Ingemanns Peil,Walter Scotts,257
Christian den,Ingemanns Peil,257
Christian den,Ernst,257
Ernst,ban,257
Christoph Schack,Hr. v. Ahlefeldt,258
Christoph Schack,Hilledød,261
Christoph Schack,Kunsfens,261
Kunsfens,Pralhans,261
Pralhans,harr,261
Thienerrs,harr,261
Behrend Soltov,Thienerrs,261
Johan,v. Ahlefeldts,262
Anton Gynther,Gert Rantzau,263
Gert Rantzau,Philip,263
Anton Gynther,Philip,263
Anna Sophie,Johan miskjendte,265
Anna Sophie,Johan miskjendte,265
Anton Gynther,Christoph Schack,270
Christoph Schack,Claus v. Ahlefeldt,270
Greve,Karl,271
Gud,Philip,275
Anton Gynther,Gud,277
Anton Gynther,Gud,280
Anton Gynther,Gerhards,282
Gerhards,Kong Christiall den Fjerdes,282
Anna Sophie,Kong Christiall den Fjerdes,282
Anna Sophie,Anton Gynther,282
Anna Sophie,Anton Gynther,282
Albrecht,Philip,283
Albrecht,Alexander,283
Alexander,Dorothea,283
Alexander,Dorothea,283
Alexander,Beck,284
Alexander,Dorothea,290
Anna Sophie,Dorothea,292
Anna Sophie,Dr. Stangen,295
Anton Gynther,Beck,296
Alexander,Anton Gynther,296
Alexander,Sophie Catharina,296
Anna Sophie,Johan Frederik,297
Anton Gynther,ban,298
Gert Rankzau,ban,298
Nicolaus Junge,v. Wowern,308
Nicolaus Junge,Philip Cæsar,308
Philip Cæsar,felv,308
Cæsars,felv,308
Calvin,Cæsars,308
Calvin,Dorthea,308
Dorthea,Gud,308
Behrend,son,309
Gert Rankzan,Hans,319
Johan Adolf,Johan Frederik,320
Anna Sophie,Kansler Schuttes,323
Anton Gynther,Magdalene,326
Johan Frederik,Kansler Protts,335
Johan Adolph,Johan Frederik,336
Anna Sophie,Schultes,337
Anna Sophie,Gud,338
TjAMstsL,mitz,339
TjAMstsL,veNAm,339
Kanslerew,veNAm,339
Mille,tauife,340
em,tauife,340
Anton,Gynther,342
Gynther,frw,342
Anna Sophie,MrKebiMpMm,343
MrKebiMpMm,hanso DugteM,343
MMbiMppem,hanso DugteM,343
Antonl GhnHem,hmidle,344
Aingpeb,Anton,346
Anton Gynther,Kong Christian den Fjerde,352
Kong Christian den Fjerde,lovelfe,352
lovelfe,Ærkebiskop „,352
clikkamuri,Ærkebiskop „,352
Annas,Broderes,355
Broderes,Roes,355
Anna Dobbel,Roes,355
Anna Dobbel,Johan Frederik,355
Johan Frederik,les Hayes,355
Anna Dobbel,v. Holsfein,356
Johan Frederik v. Holsfein,v. Holsfein,356
Johan Frederik v. Holsfein,v. Holsfein,356
Augusta,Grev Penz,358
Augusta,Hedevig,358
Elisabeth,Hedevig,358
Elisabeth,Jørgen,358
Døttre,Penz,359
Adolph,Christian,363
Johan Frederik,Jørgen,369
Adolph,Johan Frederik,369
Johan Frederik,Villie,370
Augusta,Søsfrene,372
Jørgen,Søsfrene,372
Disfe,taufe,373
Harn,Kansler Schultes,379
Albert Skeel,Martin von der,380
Albert Skeel,Jacob Ulfelt,380
Jacob Ulfelt,von der,380
Christian den,Kong Jacob,381
Anna Sophie,Kong Jacob,381
Anna Sophie,Folianter,381
Folianter,October 1619,381
,Frederik,387
Frederik,Frederik den,387
Bremerførde,harr,388
Margot,dein,390
Anton Gynther,Kong Christian,391
Kains,Kong Christian,391
Tilly,Wollenstem,392
Christian den Fjerde,Gustav Adolph,393
Christian,Jørgen,394
Christian,Mansfelds,394
Johan Frederik,Jørgen,395
Johan Frederik,Jørgen,395
Gustav Adolph,Kong Christian,399
Schultes,son,400
Jørgen,son,400
Jørgen,Lynebvrgs,400
Christian f.,Markgrev Christian Vilhelm,401
Frederik,Markgrev Christian Vilhelm,401
Frants Carl,Frederik,401
Anton Gynther,Kong Christian,402
Christian,Jørgen,403
Christian,Gustav Adolph,403
Gustav Adolph,Johan Frederik,403
Gustav Adolph,Jørgen,404
Gustav Adolph,Kong Christian,404
Kong Christian,Sejer,404
Christian,Hans Philip Fuchs,407
Hans Philip Fuchs,Johan Ernst,407
Bernhard,Johan Ernst,407
Bernhard,Markgrev Christian Bilhelm,407
Markgrev Christian Bilhelm,Obentraut,407
Ludvig Otto,Obentraut,407
Ludvig Otto,Sigvard Pagwisch,407
Markvard Penz,Sigvard Pagwisch,407
Markvard Penz,Mogens Kaas,407
Mogens Kaas,Wulf,407
Joachim Witzlaf,Wulf,407
Baltasar Schlammendorf,Joachim Witzlaf,407
Baltasar Schlammendorf,Gert Rantznu,407
Gert Rantznu,son,407
Otto Krag,son,407
Hans Schack,Otto Krag,407
Behrend Soltov,Hans Schack,407
Behrend Soltov,Christoph Schack,407
Christoph Schack,Tilly,407
,Tilly,407
,Wallensfeins,407
Frederik Ulrik,Halfen,408
Gud,Jørgen,409
Chrisfian,Gud,409
Simon,Simon Walter,414
Simon,Simon Walter,416
son,sorn,418
Gud,Judas,425
Maria,Tilly,426
,Tilly,426
Fuchs,Vilhelm af Hessen,427
Malte Sehested,Vilhelm af Hessen,427
Malte Sehested,Sigward Pogwisch,427
Markvard Penz,Sigward Pogwisch,427
GflMAMldMm,VMM,430
Brandenbmg,VMM,430
Johan Frederik as Brennern,hall,431
hall,harr,431
as,harr,431
Frederik,Nordpraht,434
Frederik,sorn,434
Gud,sorn,434
Baudissin,Hr. Gert,439
Baudissin,Holk,439
Holk,Mitzlaf,439
Hans Schack,Otto Krag,440
Hans Majesfæt,Hans Schack,440
Frederik,Nordpraht,442
C. C Lorenzen Kjøbenhavn,Carl Gustav,443
Andr. Schous,C. C Lorenzen Kjøbenhavn,443
Gud,rasfe Hans Schack,445
Jørgen,Renegat,448
Ottø Krag,ester,449
Mnnk,ester,449
Mnnk,Ottø,449
Hans Schack,Ottø,449
Hans Schack,WeiMMte,449
H«,WeiMMte,449
Ludbrød,Ottø Krag,450
Ottø Krag,hoorfor,450
fe,hoorfor,450
Otto,Thomas Munzer,455
Johan von Lejden,Thomas Munzer,455
Hans Schack,Otto Krag,457
Mutter,Otto Krag,460
Krag,Schack,467
Junker,Schack,467
Junker,Otto,467
Otto,Seida,469
Jens,Seida,469
Junker,Otto,471
Monkør,Tyras,472
Hans Schack,Tyras,472
Hans Schack,Lars Jyde,472
Lars Jyde,Otto Krag,472
hall,sorn,474
Otto,hall,475
Halls,hall,475
Otto er,son,476
Carl Morgan,hall,480
Carl Morgan,Montgomery,480
Henrik Mathias,Montgomery,480
Henrik Mathias,Markgrev Georg Frederik,480
Bernhard,Markgrev Georg Frederik,480
Bernhard,Tilly,480
Schlick,Tilly,480
Altringer,Schlick,480
Gert Rantzau,Johan Nantzaus,481
Gert Rantzau,Nantzau,483
Gert Rantzau,Henrik Rantzaus,483
Schlick,fe Wollenstem,484
Jørgen,Schlick,484
Chrisfian Friis,Ægidius v.,486
Hans Schack,Otto Krag,487
Anna Dobbel,Margot,489
Lazare,Margot,490
Anna Sophie,Anton Gynther,491
Anna Dobbel,Verde,492
Geheimeraad Neventlow,Leopold Wilhelm,493
Frederik,Leopold Wilhelm,493
Conrad v.,Hr. Gehejmeraad,495
Bugislavs,Tilly,499
Johan Frederik,Reventlow,504
Ferdinands,Johan Frederik,506
Johan Frederik,ban,507
Gud,Gustav Adolph,514
Gehejmeraad v.,Kansler Schultes,516
,Kansler Schultes,516
Gehejmeraad v.,Kansler Schultes,528
,Kansler Schultes,528
Gustav Adolph,Harn,530
Kaspar Wanzelin,tvi,538
Judas,Karle,539
Tasfen,v. d. Maase,540
Frank,harr,544
Gud,harr,544
Ester,Frank,548
Frank,hall,548
Kaspar,hall,548
bo,ru,550
bo,lille Else,550
Kaspar,harr,553
Else,harr,553
Kaspar,Konrad,556
Kaspar,Konrad,558
Else,Kaspar,565
Else,kanskesens,565
Paul,Tilly,568
Tilly,fnart,573
Geheimeraad v.,Tilly,573
Geheimeraad v.,Hans v. Bulom,573
Kaspar Wanzelin,son,574
Kaspar,Rudolph,576
Else,Hai,578
Seehusen,Tilly,586
Noahs,Seehusen,593
Seehasen,v. d. Manse,596
Gustav Adolph,Jonsen,600
Gustav Adolph,Kast,601
Kast,Runer,601
Gustav Adolph,Tilly,602
Gustav Adolph,Leopold Wilhelm,602
Gehejmeraad v.,Neventlow,603
Hans v. Bulow,Neventlow,603
Gusfav Adolph,Tilly,605
Gustav Adolph,Johan Frederik,610
Alexander Leslie,Johan Frederik,610
Alexander Leslie,Gustav Adolph,610
Braadden,Gustav Adolph,610
Adam,Sylid,615
Adam,Jomfru Maria,615
Gud,son,616
Andreas Ungnad,hall,618
Andreas Ungnad,Weissenfels,618
Sonneck,Weissenfels,618
Enno,Sonneck,618
"Elisabeth,",Enno,618
Alexander,fidsnok,621
Elisabeth v. Ungnad,ÆrkebiAnton Gynthers,622
Elisabeth v. Ungnad,v. Altenburg,622
Anna Dobbel,Margot,626
Margot,fransfe,626
Anna Sophie,fransfe,626
Danle,Johan Frederik,628
Danle,fille,628
Anna Sophie,Hain,629
Hain,Halls,629
Anna Sophie,Gud,630
Johan Frederik,v. Leslie,633
Anton Gynther,Sophie Catharine,634
