Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Kristian den,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Niels Juel,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Guardo,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Poniasnotsky,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gruth,0,0,0,0,3,0.67,3,0.14,3,0.67,0.17,0.3,0.14,0.61
Gud,0,0,0,0,2,0.33,2,0.07,2,0.33,0.29,0.52,0.17,0.74
Svend,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.12,0.0,0.0
Cerberus,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.12,0.0,0.0
Aage Holm,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Tell,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Anders’,0,0,0,0,1,0.0,1,0.0,1,0.0,0.22,0.39,0.0,0.0
Soffi,0,0,0,0,4,1.0,13,0.86,4,1.0,0.56,1.0,0.23,1.0
Kristian,0,0,0,0,3,0.67,15,1.0,3,0.67,0.47,0.84,0.08,0.35
Anders,0,0,0,0,3,0.67,10,0.64,3,0.67,0.47,0.84,0.08,0.35
Warbech,0,0,0,0,1,0.0,1,0.0,1,0.0,0.18,0.32,0.0,0.0
lille Kristian,0,0,0,0,1,0.0,1,0.0,1,0.0,0.18,0.32,0.0,0.0
