source,target,type,weight
Oline,Smaa-Adna,Undirected,2
Oline,Sjur Gabriel,Undirected,36
Oline,strængt,Undirected,1
Jens,strængt,Undirected,1
Jente,Oline,Undirected,1
Lynsnart,Sjur Gabriel,Undirected,1
eg,stidi,Undirected,1
Gabriel,Sjur,Undirected,29
Gabriel,mat,Undirected,1
Sjøtrøjens,mat,Undirected,1
Dan,Sjur Gabriel,Undirected,1
Eg,Eillefisk,Undirected,1
Jens,Sjur Gabriel,Undirected,5
Eg,Jens,Undirected,1
Guri,Hedlemyrna ute,Undirected,1
Guri,Oline,Undirected,4
Guri,sitja,Undirected,1
Kadn,hedna,Undirected,1
Gabriel,Guri,Undirected,1
Trur,gjedna,Undirected,1
Guri,gjedna,Undirected,1
Guri,Skjelinga,Undirected,1
Guri,meg,Undirected,1
Dedna2,Oline,Undirected,1
Oline,hega,Undirected,1
Guri,mykje,Undirected,1
Dedne,Eg,Undirected,1
Eg,toll,Undirected,1
Eg,Jomfru Weistendal,Undirected,1
Guri,Jomfru Weistendal,Undirected,1
Hannæ,Oline,Undirected,1
Guri,Hannæ,Undirected,1
Guri,Toll Skjeling,Undirected,1
Oline,toll Skjeling,Undirected,1
eg,toll Skjeling,Undirected,1
Eg,Oline,Undirected,1
Eg,upp,Undirected,1
Oline,upp,Undirected,1
Oline,Trega,Undirected,1
Guri,inkje,Undirected,1
Gabriels-Oline,Oline,Undirected,1
mykje,tøtte,Undirected,1
Gabriel,tøtte,Undirected,1
Eg,sejer,Undirected,1
sejer,sejer eg,Undirected,1
eg,sejer eg,Undirected,2
høfli,sejer eg,Undirected,1
eg,høfli,Undirected,1
eg,psssuh,Undirected,1
Eg,sejer eg,Undirected,1
Oline,sleppa,Undirected,1
Dansa,gamla Kjærringa,Undirected,1
Dan,gamla Kjærringa,Undirected,1
Dan,rudia,Undirected,1
Golve,rudia,Undirected,1
kobm,å Løktna,Undirected,1
Dan,kobm,Undirected,1
Dan,adna,Undirected,1
adna,edl,Undirected,1
Dan,rivanes,Undirected,1
Dan,inkje,Undirected,1
inkje,rik,Undirected,1
kann hedna,rik,Undirected,1
Sjur Gabriel,hnn,Undirected,1
Gud,Sjur Gabriel,Undirected,5
Sjur,Sjur Gabriel,Undirected,3
Jens,ho,Undirected,3
Gabriel,Jens,Undirected,1
Kobm iLann seie eg,Sjur Gabriel,Undirected,1
Jens,taus,Undirected,1
Sjur Gabriel Nøstedøren,taus,Undirected,1
Jens,Kadn,Undirected,1
Sjur Gabriel,kobma heimu,Undirected,1
Gud Faders,Sjur Gabriel,Undirected,2
Kadn,ho,Undirected,1
ho,inkje høyra,Undirected,1
Jens,inkje høyra,Undirected,1
Oline,Vesle-Jens,Undirected,1
Vesle-Jens,remja1,Undirected,1
Gud,Jens,Undirected,1
Jens,di,Undirected,1
Gud,di,Undirected,1
Ho,kje,Undirected,1
Kadn,inkje,Undirected,1
Jens,Oline,Undirected,4
eg,kjebm,Undirected,2
Eg,eg,Undirected,3
Engelsmanen,eg,Undirected,1
Engelsmanen,Jens,Undirected,1
Jens,Jenta,Undirected,1
Joræ,dar,Undirected,1
dar,dar Adam,Undirected,1
Eva,dar Adam,Undirected,1
Pænga,veifkje,Undirected,1
eg,meina,Undirected,1
Kari Træet,Oline,Undirected,2
Kari,Kari Træet,Undirected,1
Kari,Sjur,Undirected,3
Ingeborg,Sjur Gabriel,Undirected,6
Ingeborg,Jens,Undirected,4
Jens,SmaaAdna,Undirected,1
Adna,Jens,Undirected,2
Jens,Tine,Undirected,1
Jens,Smaa-Adna,Undirected,1
Jens,s,Undirected,1
Adna,Sjur Gabriel,Undirected,1
Adna,Nils,Undirected,1
Magne,Nils,Undirected,6
Oline,inkje,Undirected,2
eg,inkje,Undirected,2
Ingeborg,afSmaa-Adna,Undirected,2
Ingeborg,fidna onkart,Undirected,1
benna um,fidna onkart,Undirected,1
benna um,j,Undirected,1
Ingeborg,j,Undirected,1
Eg,Smaa-Adna,Undirected,1
Eg,vidl,Undirected,1
