source,target,type,weight
Tue,jødes,Undirected,1
Tippe Tue,kjøsses,Undirected,1
Småfylla kjøsses,Tippe Tue,Undirected,1
Eg,Oline,Undirected,1
Oline,Tippe Tue,Undirected,8
Eg,Tue,Undirected,1
Eg,trur,Undirected,2
eg,trur,Undirected,2
eg,tebakes,Undirected,1
Oline,Tue,Undirected,4
Tippe,Tue,Undirected,5
Olinemor,Tue,Undirected,1
Tue,dar,Undirected,1
Oline,dar,Undirected,1
Eg,dokkes,Undirected,1
Oline,b,Undirected,1
hon beter Dotter,kje,Undirected,1
Tippe Tue,Tue,Undirected,1
dokkes,trur,Undirected,1
Tønnis,dokkes,Undirected,1
Jysses,kjephøj,Undirected,1
Madam Tønnesen,eg,Undirected,1
Eg,eg,Undirected,19
Madam,Tue,Undirected,1
Madam Tønnesen,Polletie,Undirected,1
Madam,Polletie sejer,Undirected,1
Madam,Tippe,Undirected,1
Tue,eg,Undirected,2
Ajøs,Jysses,Undirected,1
Ajøs,Madam,Undirected,1
Madam,ajøs,Undirected,1
Madam Tønnesen,Oline,Undirected,3
Småfylla,Tippe,Undirected,1
Tippe Tue,næggu,Undirected,1
Oline,Tønnesen,Undirected,1
Oline,els,Undirected,1
Tippe Tue,els,Undirected,1
Jon,eg,Undirected,1
Tippe Tue,Tønnesen,Undirected,1
Tippe Tue,elles,Undirected,1
Tue,sælle,Undirected,2
Eg,kje,Undirected,3
Jens,egska,Undirected,1
Ear,Eg,Undirected,1
Ear,eg,Undirected,1
Marthe,Sjur Gabriel Hellemyren,Undirected,1
Jens,Marthe,Undirected,12
Marthe,b,Undirected,1
Marthe,Sivertmann,Undirected,2
Marthe,pegte,Undirected,1
Golve,rike Thor Monsen,Undirected,1
Bønnemann,Sivert,Undirected,1
Bønnemann,eg,Undirected,1
Hon,Tue,Undirected,1
hinnes,sælle,Undirected,1
Marthe,tse,Undirected,1
Sivertmann,greter,Undirected,1
Marthe,Sivert,Undirected,4
Ingeborg,Jysses,Undirected,1
Jysses,hon,Undirected,3
Madam Tønnesen,Marthe,Undirected,1
Jens hemkommen,kje,Undirected,1
Marthe,eg Ritter,Undirected,1
