Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Børre,0,0,0,0,11,0.12,31,0.08,11,0.12,0.11,0.26,0.01,0.03
Egils,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Egil,0,0,0,0,86,1.0,377,1.0,86,1.0,0.42,1.0,0.39,1.0
Maal,0,0,0,0,2,0.01,2,0.0,2,0.01,0.04,0.1,0.0,0.0
Bille,0,0,0,0,40,0.46,202,0.53,40,0.46,0.24,0.57,0.14,0.36
Bing,0,0,0,0,3,0.02,3,0.01,3,0.02,0.05,0.12,0.0,0.0
Hare,0,0,0,0,18,0.2,73,0.19,18,0.2,0.14,0.33,0.03,0.08
Regnar Bille,0,0,0,0,12,0.13,16,0.04,12,0.13,0.08,0.19,0.02,0.05
Aaens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Bjarme Luks,0,0,0,0,7,0.07,7,0.02,7,0.07,0.06,0.14,0.01,0.03
Rane,0,0,0,0,2,0.01,2,0.0,2,0.01,0.03,0.07,0.01,0.03
Hjalte,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Bjarme,0,0,0,0,27,0.31,83,0.22,27,0.31,0.15,0.36,0.06,0.15
Aslak,0,0,0,0,42,0.48,133,0.35,42,0.48,0.27,0.64,0.13,0.33
Astrid,0,0,0,0,29,0.33,112,0.3,29,0.33,0.2,0.48,0.05,0.13
kantro,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Ringborn,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.05,0.0,0.0
Hidentil,0,0,0,0,1,0.0,2,0.0,1,0.0,0.02,0.05,0.0,0.0
Aaen,0,0,0,0,3,0.02,6,0.01,3,0.02,0.03,0.07,0.0,0.0
Torn,0,0,0,0,8,0.08,18,0.05,8,0.08,0.09,0.21,0.01,0.03
Arne,0,0,0,0,2,0.01,2,0.0,2,0.01,0.03,0.07,0.0,0.0
Bjørn,0,0,0,0,20,0.22,49,0.13,20,0.22,0.15,0.36,0.05,0.13
lien,0,0,0,0,2,0.01,2,0.0,2,0.01,0.03,0.07,0.0,0.0
Asathor,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
ban,0,0,0,0,2,0.01,2,0.0,2,0.01,0.03,0.07,0.0,0.0
