Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Alfred,0,0,0,0,39,1.0,70,1.0,39,1.0,0.67,1.0,0.34,1.0
Alfreds,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.15,0.0,0.0
Valborg dér,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.15,0.0,0.0
Lille Valborg,0,0,0,0,1,0.0,2,0.01,1,0.0,0.1,0.15,0.0,0.0
Mama,0,0,0,0,2,0.03,2,0.01,2,0.03,0.13,0.19,0.0,0.0
Graad,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.15,0.0,0.0
lille Valborg,0,0,0,0,3,0.05,4,0.04,3,0.05,0.13,0.19,0.01,0.03
Valborgs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
Valborg,0,0,0,0,11,0.26,23,0.32,11,0.26,0.2,0.3,0.06,0.18
Biscuit,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.15,0.0,0.0
Amor,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.15,0.0,0.0
Kajn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.15,0.0,0.0
Rolf Skærmng,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.15,0.0,0.0
Rolf,0,0,0,0,11,0.26,15,0.2,11,0.26,0.17,0.25,0.11,0.32
Fader,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.15,0.0,0.0
Jørgen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.15,0.0,0.0
Helge,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Roar,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Palnatoke,0,0,0,0,3,0.05,4,0.04,3,0.05,0.1,0.15,0.06,0.18
Sven Tveskæg,0,0,0,0,3,0.05,4,0.04,3,0.05,0.02,0.03,0.04,0.12
Svenborgs,0,0,0,0,1,0.0,2,0.01,1,0.0,0.1,0.15,0.0,0.0
Hosianna,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.15,0.0,0.0
Johan,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.04,0.0,0.0
Carlo,0,0,0,0,6,0.13,9,0.12,6,0.13,0.16,0.24,0.03,0.09
Hertug Abel,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.15,0.0,0.0
Abel,0,0,0,0,2,0.03,4,0.04,2,0.03,0.1,0.15,0.01,0.03
Bengerds,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
Flora Hoffmann,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.15,0.0,0.0
Pauline,0,0,0,0,1,0.0,2,0.01,1,0.0,0.1,0.15,0.0,0.0
Paula,0,0,0,0,2,0.03,5,0.06,2,0.03,0.13,0.19,0.0,0.0
Hamlet,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
Horatio,0,0,0,0,2,0.03,2,0.01,2,0.03,0.1,0.15,0.01,0.03
Ørkilds,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
Guldhaar,0,0,0,0,1,0.0,2,0.01,1,0.0,0.0,0.0,0.0,0.0
Sif,0,0,0,0,1,0.0,2,0.01,1,0.0,0.0,0.0,0.0,0.0
Frøken Top,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.01,0.0,0.0
Junker,0,0,0,0,3,0.05,9,0.12,3,0.05,0.03,0.04,0.01,0.03
Allez,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.04,0.0,0.0
Sviregasters,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.04,0.0,0.0
Wemb,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.15,0.0,0.0
Abigael,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ambrosius,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.03,0.01,0.03
Mathilde,0,0,0,0,4,0.08,9,0.12,4,0.08,0.15,0.22,0.02,0.06
Madsen,0,0,0,0,2,0.03,3,0.03,2,0.03,0.12,0.18,0.0,0.0
Frederik,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.15,0.0,0.0
Sverigs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.15,0.0,0.0
