source,target,type,weight
Kong Frederiks,Peter Schumacher,Undirected,1
Geheimeraad Christoffer Gabel,Kong Frederiks,Undirected,1
Geheimeraad Christoffer Gabel,Kong Christians,Undirected,1
Kong Christians,Morten Skinkel,Undirected,1
Geheimeraad Gabels,Schumacher,Undirected,1
Kong Frederiks,Schumacher,Undirected,3
Christian,Kong Frederiks,Undirected,1
Christian,Sophie Amalie,Undirected,1
Schumacher,Sophie Amalie,Undirected,1
Frederik,Schumacher,Undirected,2
Gabel,Schumacher,Undirected,1
Prinds,Schumacher,Undirected,2
Kong Christian,Schumacher,Undirected,3
Kong Christian,Kong Frederiks,Undirected,1
Kong Frederiks,Ulrik Frederik Gyldenløve,Undirected,1
Morten Skinkel,Ulrik Frederik Gyldenløve,Undirected,1
Adam Levin Knuth,Morten Skinkel,Undirected,1
Adam Levin Knuth,Sjelden,Undirected,1
Christian,Sjelden,Undirected,1
Christian,Peter Schumacher,Undirected,1
La pluma dirige el hierro,Schumacher,Undirected,1
Christian,Schumacher,Undirected,2
Schumacher,souverain,Undirected,1
Arnested for,souverain,Undirected,1
Arnested for,Schumacher,Undirected,1
Knuth,Schumacher,Undirected,3
Hans Ruprecht,Schumacher,Undirected,1
Schumacher,Skinkel,Undirected,4
Ruprecht,Schumacher,Undirected,2
Monsieur Knuth,Schumacher,Undirected,1
Jens Friis,Schumacher,Undirected,2
Jens Friis,Prinds Jørgen,Undirected,2
Jens,Prinds Jørgen,Undirected,1
Jens,Schumacher,Undirected,1
Giger,Kong Christian,Undirected,1
Corfitz Ulfelds,Kong Christian,Undirected,1
Christine,Corfitz Ulfelds,Undirected,1
Jakob,Lea,Undirected,1
Gud,Lea,Undirected,1
Hans Nansen,Kong Frederik,Undirected,1
Hans Nansen,Sophie Hansdatter,Undirected,2
Sophie Hansdatter,ilive,Undirected,1
Mikkels,ilive,Undirected,1
Døttre,Mikkels,Undirected,1
Catharina,Døttre,Undirected,1
Catharina,Sophie,Undirected,1
Elisabeth,Sophie,Undirected,3
Catharina,Elisabeth,Undirected,2
Catharina,Sophie Hansdatter,Undirected,1
Kong Fredriks,Sophie Hansdatter,Undirected,1
Peter Schumacher,Sophie Hansdatter,Undirected,1
Marie Motzfeld,Peter Schumacher,Undirected,1
Catharina,Jørgen Fog,Undirected,1
Albert,Jørgen Fog,Undirected,1
Albert,Esaias Fleischer,Undirected,1
Esaias Fleischer,Rasmus Vinding,Undirected,2
Rasmus Vinding,Schumacher,Undirected,1
Jørgen Fog,Schumacher,Undirected,1
Esaias Fleischer,Sophie Hansdatter,Undirected,1
Schumacher,Sophie Hansdatter,Undirected,1
Catharina,Margrethe,Undirected,3
Kong Frederik,Sophie Amalie Moth,Undirected,1
Kong Frederik,Povel Moth,Undirected,1
Madam Ide,Povel Moth,Undirected,1
Catharina Nansen,Margrethe Eilersen,Undirected,3
Jørgen Eilersen,Margrethe Eilersen,Undirected,1
Margrethe Eilersen,Sophie Amalie Moth,Undirected,2
Catharina Nansen,Sophie Amalie Moth,Undirected,2
Albert Schumacher,Catharina Nansen,Undirected,1
Albert Schumacher,Didrik Fiursen,Undirected,1
Didrik Fiursen,Margrethe Eilersen,Undirected,1
Didrik,Margrethe Eilersen,Undirected,1
Didrik,Fiursen,Undirected,1
Catharina Nansen,Fiursen,Undirected,1
Catharina Nansen,Sophie,Undirected,1
Elisabeth ragne,Sophie,Undirected,2
Elisabeth,Gyldenløve,Undirected,1
Marie Grubbe,Sophie Amalie,Undirected,1
Margrethe Eilersen,Sophie,Undirected,2
Hr. Gyldenløve,Margrethe Eilersen,Undirected,1
Elisabeth,Sophie Nansen,Undirected,1
Elisabeth,Sophie Amalie,Undirected,1
Prinds,lille Sophie,Undirected,1
Schumacher,Sophie Moth,Undirected,3
Jørgen Bjelke,Schumacher,Undirected,2
Jørgen Bjelke,Sybille Gersdorff,Undirected,1
Joachim Gersdorff,Roeskilde,Undirected,1
Roeskilde,vellem me nescire litteras,Undirected,1
Gud,Marie Schumacher,Undirected,2
Marie Schumacher,lee,Undirected,1
Rasmus Vinding,lee,Undirected,1
Bjelke,Peter Schumacher,Undirected,1
Schumacher,Snille,Undirected,1
Bjelke,Schumacher,Undirected,4
Catharina Nansen,Schumacher,Undirected,1
Catharina,Sophie Amalie Moth,Undirected,1
Catharina,Gud,Undirected,3
Gud,signe,Undirected,1
Catharina,Schumacher,Undirected,2
Charlotte,Sophie Amalie,Undirected,3
Kong Christian,Sophie Amalie,Undirected,1
Jens Friis,hans,Undirected,1
"Ernst,",hans,Undirected,2
Frederik Gyldenløves,hans,Undirected,1
Jean,Jens,Undirected,1
Ernst,Monsieur Schumacher,Undirected,1
Adam,Knuth,Undirected,1
Gyldenløve,Hahn,Undirected,1
Gyldenløve,Schumacher,Undirected,5
Hahn,Knuth,Undirected,7
Karl,Knuth,Undirected,1
Bastardens,Knuth,Undirected,1
Bastardens,ma foi,Undirected,1
Hahn,Schumacher,Undirected,4
Excellentsens,Schumacher,Undirected,2
Schumacher,Ulrik Frederik Gyldenløve,Undirected,1
Gyldenløve,Ulrik Frederik Gyldenløve,Undirected,1
Gyldenløve,Nidkjær,Undirected,1
Jupiter,Nidkjær,Undirected,1
Jupiter,Schumacher,Undirected,4
Gyldenløve,Madame Trolle,Undirected,1
Gyldenløve,Venus,Undirected,1
Jean,Schumacher,Undirected,1
Gyldenløve,Jean,Undirected,1
Gyldenløve,Heiduk,Undirected,1
Fredrik Ahrenstorff,Schumacher,Undirected,1
Fredrik Ahrenstorff,Gyldenløve,Undirected,1
Ahrenstorff,Schumacher,Undirected,1
Obersten,Schumacher,Undirected,1
Karl,Schumacher,Undirected,1
Schumacher,Taffels,Undirected,1
Alcibiades,Socrates,Undirected,9
Fredrik Ahrenstorfif Schumachers,Socrates,Undirected,1
Prinds Jørgen,Ulrich Luft,Undirected,1
Prinds Jørgen,høilærd,Undirected,1
Knuth,høilærd,Undirected,1
Gesicht,Knuth,Undirected,1
Henrik Gersdorff,Knuth,Undirected,1
Madam Schumachers,ragne,Undirected,1
Bjelke,Schult,Undirected,2
Gyldenløve,Knuth,Undirected,3
Gyldenløve,Skjerts,Undirected,2
Margrethe Eilersen,Povel Moth,Undirected,1
Adam Levin Knuth,Margrethe Eilersen,Undirected,1
Moth,Povel Moth,Undirected,1
Kong Fredriks,Povel Moth,Undirected,1
Kong Christian,Kong Fredriks,Undirected,1
Kong Christian,Margrethe,Undirected,1
Margrethe,Povel Moth,Undirected,1
Margrethe,Sophie Amalie,Undirected,1
Jomfru Margrethe,Madam Ide,Undirected,1
Gud,Jomfru Margrethe,Undirected,1
Margrethe,Sophie,Undirected,8
Gud,Margrethe,Undirected,5
Gud,Sophie,Undirected,2
Jomfru Sophie,Sophie,Undirected,1
Schumacher,Sophie,Undirected,2
Schumacher,Trolle,Undirected,1
Madam,Margrethe,Undirected,1
Monsieur Knuth,Sophie,Undirected,1
Monsieur Knuth,Souverains,Undirected,1
Gud,Souverains,Undirected,1
Farbroder,Farfader,Undirected,1
Farbroder,Hans,Undirected,1
Catharina Nansen,Peter Schumacher,Undirected,1
Jacob Neve,Jens Friis,Undirected,1
Catharina,Prent,Undirected,1
Catharina,Kong Frederik,Undirected,1
Schumacher,couleur de Burgundie,Undirected,1
Catharina Nansen,Hvo,Undirected,1
Hvo,Schumacher,Undirected,1
Hans høie,Schumacher,Undirected,2
Jesus,Nicolai,Undirected,1
Jesus,Margrethe Eilersen,Undirected,1
Sophie Amalie Moth,Ulrik Luft,Undirected,1
Margrethe Eilersen,Sophie Amalie,Undirected,1
Catharina,Margrethe Eilersen,Undirected,1
Hans Nansen,Margrethe,Undirected,1
Madam Ide,Sophie,Undirected,1
Gud,Schumacher,Undirected,3
Catharina,Sophie Amalie,Undirected,1
Morten Skinkel,Schumacher,Undirected,1
Frederik Ahlefeld,Hahn,Undirected,1
Gud,Hahn,Undirected,3
Ahlefeld,Hahn,Undirected,19
Andreas Bording,Schumacher,Undirected,1
Griffenfeld,Schumacher,Undirected,2
Catharina,Sybille,Undirected,1
Catharina,Mysia,Undirected,4
Griffenfeld,Mysia,Undirected,1
Catharina,Griffenfeld,Undirected,4
Griffenfeld,Valborgsdag,Undirected,1
Mai aarie,Valborgsdag,Undirected,1
Catharina,Mai aarie,Undirected,1
Charlotte Amalie,Sybille,Undirected,1
Catharina,Jørgen,Undirected,1
Griffenfeld,Sybille,Undirected,4
Catharina,Marie Schumacher,Undirected,1
Charlotte,Emilie,Undirected,1
Emilie,Henri Charles,Undirected,1
Henri Charles,Thouars,Undirected,1
Prinds,Thouars,Undirected,1
Charlotte Amélie,Prinds,Undirected,1
Charlotte Amélie,la Tremouille,Undirected,1
Kong Christian,la Tremouille,Undirected,1
Kong Christian,Kong Ludvig,Undirected,1
Geheimeraad Grifienfeld,Pelts,Undirected,1
Prinds Jørgen,Speckhahn,Undirected,2
Geheimeraad Griffenfeld,Griffenfeld,Undirected,1
Charlotte,Geheimeraad Griffenfeld,Undirected,1
Charlotte,Griffenfeld,Undirected,3
Kong Christian,Monsieur Griffenfeld,Undirected,1
Monsieur Griffenfeld,phrase,Undirected,1
Calvins,phrase,Undirected,1
Griffenfeld,Kong Louis,Undirected,1
Kong Louis,s,Undirected,2
Griffenfeld,Prindsessen,Undirected,13
Mademoiselles,Prinds Jørgen,Undirected,1
Prinds,Prinds Jørgen,Undirected,1
Charlotte,Kong Christian,Undirected,1
Charlotte,Marie de,Undirected,1
Amélie,Charlotte,Undirected,11
Amélie,tbi,Undirected,1
Dands,Sophie Amalieborg,Undirected,1
Dands,Kong Louis,Undirected,1
Charlotte,Cousine kjær,Undirected,1
Charlotte,Ulrikke Eleonore,Undirected,4
Charlotte Amélie,Ulrikke Eleonore,Undirected,3
Griffenfeld,Ulrikke,Undirected,2
Griffenfeld,Prindsesse,Undirected,2
Griffenfeld,Prinds Georg,Undirected,1
Griffenfeld,Priis,Undirected,1
Gud,von Dirschau,Undirected,1
Catharina von Dirschaus,Griffenfeld,Undirected,1
Geheimeraad,sva,Undirected,1
Catharina von Dirschau,Prindsessen,Undirected,2
Kong Christian,Kong Frederik,Undirected,3
Griffenfeld,Kong Christian,Undirected,2
Griffenfeld,Socrates,Undirected,2
Alcibiades,Beiler,Undirected,1
Antonia Augusta,Beiler,Undirected,1
Anton Gynthers,Antonia Augusta,Undirected,1
Anton,Anton Gynthers,Undirected,1
Anton,Griffenfeld,Undirected,1
Excellentse,kjære,Undirected,1
Excellentsen,Socrates,Undirected,1
Alcibiades,Griffenfeld,Undirected,2
Griffenfeld,taug,Undirected,1
Catharina von Dirschau,Griffenfeld,Undirected,3
Mademoiselle,Marie de,Undirected,1
Emilie,Griffenfeld,Undirected,1
Emilie,Prindsesse Charlotte,Undirected,1
Griffenfeld,Gyldenløve,Undirected,1
Gyldenløve,LaTremouille,Undirected,1
Prinds Jørgen,Throne,Undirected,1
Throne,Ulrikke Eleonore,Undirected,1
Kong Christian,Ulrikke Eleonore,Undirected,1
Carl den Ellevte,Kong Christian,Undirected,1
Catharina von Dirschau,Meyerkrone,Undirected,1
Griffenfeld,Hans Schack,Undirected,1
