Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Kong Frederiks,0,0,0,0,6,0.05,8,0.04,6,0.05,0.04,0.08,0.0,0.0
Peter Schumacher,0,0,0,0,7,0.06,7,0.03,7,0.06,0.03,0.06,0.0,0.0
Geheimeraad Christoffer Gabel,0,0,0,0,2,0.01,2,0.01,2,0.01,0.0,0.0,0.0,0.0
Kong Christians,0,0,0,0,2,0.01,2,0.01,2,0.01,0.0,0.0,0.0,0.0
Morten Skinkel,0,0,0,0,4,0.03,4,0.02,4,0.03,0.03,0.06,0.0,0.0
Geheimeraad Gabels,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Schumacher,0,0,0,0,60,0.58,99,0.51,60,0.58,0.29,0.59,0.18,0.41
Christian,0,0,0,0,8,0.07,9,0.04,8,0.07,0.08,0.16,0.01,0.02
Sophie Amalie,0,0,0,0,17,0.16,23,0.12,17,0.16,0.13,0.27,0.02,0.05
Frederik,0,0,0,0,2,0.01,3,0.01,2,0.01,0.02,0.04,0.0,0.0
Gabel,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Prinds,0,0,0,0,10,0.09,11,0.05,10,0.09,0.03,0.06,0.03,0.07
Kong Christian,0,0,0,0,18,0.17,23,0.12,18,0.17,0.11,0.22,0.05,0.11
Ulrik Frederik Gyldenløve,0,0,0,0,5,0.04,5,0.02,5,0.04,0.05,0.1,0.0,0.0
Adam Levin Knuth,0,0,0,0,3,0.02,3,0.01,3,0.02,0.01,0.02,0.0,0.0
Sjelden,0,0,0,0,2,0.01,2,0.01,2,0.01,0.01,0.02,0.0,0.0
La pluma dirige el hierro,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
souverain,0,0,0,0,2,0.01,2,0.01,2,0.01,0.02,0.04,0.0,0.0
Arnested for,0,0,0,0,2,0.01,2,0.01,2,0.01,0.02,0.04,0.0,0.0
Knuth,0,0,0,0,23,0.22,40,0.2,23,0.22,0.17,0.35,0.04,0.09
Hans Ruprecht,0,0,0,0,2,0.01,2,0.01,2,0.01,0.03,0.06,0.0,0.0
Skinkel,0,0,0,0,1,0.0,4,0.02,1,0.0,0.02,0.04,0.0,0.0
Ruprecht,0,0,0,0,5,0.04,6,0.03,5,0.04,0.05,0.1,0.01,0.02
Monsieur Knuth,0,0,0,0,3,0.02,3,0.01,3,0.02,0.03,0.06,0.0,0.0
