source,target,timestamp
Christ,Magen,1
Husbonds,Ulf,3
Klerk,Ulf,3
Ast,Ulf,5
Ulf,rhi,5
Knud,Ulf,6
Fisf,Knud,6
Kong Erik,Regnald,7
Kong Erik,Ulf,8
Niels,Ulf,8
Magnns,Niels,8
Erik,Magnns,8
Ploug,Thorgils Stensen,9
Niels,Ploug,9
Magnns,Niels,9
Borghild,Gram Ovesen,18
Borghild,Ulf,21
Borghild,Ulf Brodersen,22
Broder Regnaldsen,Ulf Brodersen,22
Broder Regnaldsen,vdundsbæk,22
Aristoteles,Peter Abælard,30
Hugo,Peter Abælard,30
Henrik,Hugo,30
Borghild,Ulf,32
Borghild,Ulf,33
Borghild,Ulf,38
Adelsbondc,Borghild,40
Bodild,F u,41
Blod-Eigil,Knud,43
Blod-Eigil,Borghild,43
Borghild,Ulf,43
Borghild,Ulf,45
Regnald,Ulf,45
Borghild,Ulf,47
Farbroders,Klerk,52
Erik,Knud,56
Ask,Ulf,58
Ask,Ulf,58
Borghild,Mette,61
Borghild,Ulf,61
Borghild,Ulf,61
Borghild,Ulf,61
Niels,Ulf,62
Borghild,Ulf,66
Borghild,Ulf,69
Ask,Ulf,69
Ask,Ulf,69
Sybrand,Ulf,69
Sybrand,Ulf,69
Borghild,Ulf,69
Borghild,Ulf,69
Sybrand,Ulf,71
Præsfen,Ulf,75
Præsfen,Ulf,75
Hugo,Præsfen,77
Sybrand,Ulf,78
Hugo,Ulf,82
Hugo,sisfe,84
Daad,Klerk,85
Sybrand,Thore,86
Kong Niels,Thore,86
Kong Niels,Svend,86
Svend,Ulf,86
Thore,Ulf,86
Kong Erik,Thore,86
Kong Erik,Kong Niels,86
Præsf,Ulf,87
Esau,Jacob,91
Hugo al St.,Sybrand,93
Klerke,Ulf,98
Sybrand,Ulf,101
Svend,Ulf sfilles,108
Svend,Ulf,109
Svend,Ulf,109
Svend,Ulf,110
Kong Niels,Ploug,113
Gudborg,Ulf,114
Gudborg,Ulf,115
Jomfru Gudborg,Ulf,118
Jomfru Gudborg,Torgils Stensen,118
Torgils,Torgils Stensen,118
Gorm den,Torgils,118
Gorm den,Plougsysjel,118
Plougsysjel,Torgils,118
Aage,Thyra,124
Aage,Torgils,124
Borghild,Ulf,125
Bodild,Ulf,127
Guds,Sybrand,128
Borghild,Ulf,134
Borghild,Ulf,138
Borghild,Kong Erik,142
Borghild,Erik,143
Kong Niels,Leding,145
Gud,Ulf,146
Borghild,Kong Erik,147
Kong Erik,Niels,147
Erik,Niels,147
Erik,Svend Trundsens,147
Erik,Magnus,149
Erik,Ulf,150
Erik,Magnus,150
Kong Niels,Magnus,150
Hvasse,Ulf,152
Gram Ovesen,Ulf,152
Borghild,Gram Ovesen,152
Gram,Ulf,154
Kong Magnus,Kong Niels,158
Gram,Ulf,159
Gram,Ulf,159
Harald Kesia,Niels,161
Harald Kesia,Henrik Skatelar,161
Borghild,Ulf,164
Flesfe,Kong Niels,165
Kong Erik,Kong Niels,165
Kong Erik,Niels,165
Harald Kesia,Niels,165
Harald Kesia,Kong Erik,165
Harald,Kong Erik,165
Harald,Kong Nielses,165
Kong Nielses,Torgils,165
Erik,Kong Niels,166
Kong Erik,Ulf,167
Jomfru Gudborg,Ulf,167
Jomfru Gudborg,Niels,167
Kong Erik,Niels,167
Kong Erik,Torgils,167
Torgils,Ulf,167
Regnald,Ulf,168
Regnald,Ulf,168
Niels,Ulf,168
Kong Erik,Niels,168
Broder,Ulf,169
Harald,Kong Niels,175
Harald,Kong Erik,175
Kong Niels,Torgils,178
Kong Erik,Regnald,179
Borghild,Regnald,179
Borghild,Regnald,179
Bodild,Ulf,184
Bodild,Borghild,184
Borghild,Ulf,184
Bodild,Broder,185
Bodild,Borghild,185
Borghild,Broder,186
Borghild,Estrup,186
Estrup,Regnald,186
Borghild,Gram,187
Borghild,Broder,187
Bodild,Broder,187
Borghild,Ulf,188
Broder,Ulf,189
Borghild,Broder,189
Gram,Ulf,195
Kong Erik,Ulf,196
Broder,Kong Erik,197
Broder,Ulf,200
Borghild,Broder,200
Borghild,Ulf,200
Borghild,Ulf,204
Ulf,sfilles,207
Hundsbæk,Ulf,207
Magnns,Ploug,210
Ploug,PlougSyssel,210
Ploug,Torgils,211
Ploug,Thing,211
Svend,Thing,211
Svend,Ulf,211
Torgils Stensen,Ulf,211
Sten,Ulf,212
Ulf,gils,212
Sten,gils,212
Kong Magnuses,Sten,212
Kong Magnuses,Torgils,212
Magnus,Torgils,212
Magnus,Torgils,214
Kong Niels,t. l,215
Knud Konge,Kong Erik,216
Erik Ejegod,Torgils,218
Erik,Torgils,219
Erik,Kong Nielses,219
Kong Nielses,Torgils,219
Harald Kesia,Torgils,219
Bjørn Jernside,Harald Kesia,219
Broder,Kong Erik,221
Kong Erik,Ulf,221
Gudborg,Ulf,223
Gudborg,Svend sfille,223
Jomfrurov,Svend sfille,223
Jomfrurov,Ulf,223
Gudborg,Uls,225
Broder,Torgils,226
Broder,Kong Erik,226
Kong Erik,Thinge,226
Broder,Thinge,226
Broder,Torgils,226
Sten,Torgils,226
Broder,Sten,226
Broder,Kong Erik,227
Erik,Niels,228
Broder,Kong Erik,229
