source,target,timestamp
Holgersen,Holgersens,4
Holgersen,irette,23
. Thorup,Holgersen,32
Holgersen,Thorup,33
Holgersen,Thorup,42
Jensen,Thorup,57
Holgersen,Thorup,59
Aagaard,Ed. Jensen,60
Jensen,juris Maarup,61
Jensen,Maarup,62
Aagaard,Jensen,62
Aagaard,Maarup,62
Jensen,Maarup,62
Aagaard,Maarup,64
Aagaard,Jensen,65
Jensen,Maarup,65
Jensen,Maarup,68
Jensen,Maarup,71
Jensen,Maarup,72
Jensen,Maarup,74
Jensen,Maarup,83
Jensen,Maarup,83
Jensen,Maarup,84
Andersen,Mo’,88
Andersen,Mo’,92
Andersen,Kristine Bang,92
Bang,Kristine Bang,92
Augusta,daKousinen,96
Jensen,daKousinen,96
Bang,Jensen,96
Frøken Bang,Kristine,97
Frøken Bang,Jensen,97
Frøken Bang,Kristine,100
Jensen,Kristine,101
Frøken Bang,Herlofsen,110
Aagaard,Herlofsen,112
Aagaard,Frøken Bang,113
Herlofsen,Høyen,114
Høyen,Julius Lange,114
Aagaard,Julius Lange,114
Herlofsen,Jensen,119
Herlofsen,Kousine,123
Herlofsen,Kristine,125
Herlofsen,Hr. Herlofsens,129
Frøken Bang,Herlofsen,131
Frøken Bang,Jensen,131
Jensen,Kristine,131
Aagaard,Maarup,132
Herlofsen,Jensen,133
Christian den,Maarup,134
Christian den,ifjor,134
Aagaard,Jensen,135
Aagaard,Manschetskjorte,138
Aagaard,Frøken Bang,140
Frøken Bang,Jensen,142
Frøken Bang,Jensen,142
Herlofsen,Jensen,143
Jensen,Jupiter,143
Augusta,Kristine,154
Augusta,Kristine,160
Don Alfonzo,Kristine,160
Augusta,Herlofsen,162
Herlofsen,Kristine,166
Jensen,Kristine,166
Augusta,Herlofsen,167
Augusta,Kristine,167
Gud,lille Augusta,169
Augusta,Kristine,171
Augusta,Jensen,174
Jensen,Maarup,174
Augusta,Jensen,180
Herlofsen,Jensen,182
Augusta,Herlofsen,183
Herlofsen,Jensen,183
Herlofsen,Jensen,183
Herlofsen,Jensen,183
Jespersen,Momme,184
Bøgsted,Jespersen,186
Jespersen,kim,193
Aagaard,Maarup,195
Aagaard,Maarup,195
Aagaard,Jensen,199
Jensen,Maarup,199
Aagaard,Momme,200
Maarup,Momme,200
Jensen,Maarup,200
Jensen,Momme,201
Jensen,Maarup,201
Aagaard,Maarup,201
Aagaard,Maarup,201
Aagaard,Maarup,201
Aagaard,Maarup,202
Jensen,Maarup,202
Aagaard,Jensen,202
Karl den tolvte,L’,203
Bøgsted,L’,203
Aagaard,Smalhans,204
Aagaard,Jespersen,205
Aagaard,Jespersen,205
Aagaard,Jespersen,205
Aagaard,Momme,206
Aagaard,Momme,206
Aagaard,Jensen,206
Aagaard,Doktor Aagaards,207
Doktor Aagaards,Maarup,207
Aagaard,Chr. Richardts,209
Chr. Richardts,Kong Rosmer Havmand,209
Aagaard,Kong Rosmer Havmand,209
Jensen,Maarup,213
A—,Petersen,214
Jensen,Petersen,214
Holgersen,Madsen,222
Holgersen,Traad,224
Jensen,Maarup,230
Jespersen,Momme,231
Jensen,Jespersen,241
Aagaard,Jespersen,242
Aagaard,Jespersen,245
Jensen,Jespersen,248
Aagaard,Jespersen,251
Jespersen,Maarup,254
Julius,Martin,260
Maarup,Martin,263
Maarup,Petersen,264
Jensen,Petersen,264
Aagaard,Jensen,264
Bøgsted,Rhinskvin,273
Aagaard,Jensen,284
Bø—Bøgsteds,Jensen,285
Jensen,Maarup,290
Augusta,Herlofsen,309
Aagaard,Herlofsen,311
Aagaard,Jensen,311
Aagaard,Jensen,311
Aagaard,ken Bangvhøjligt,311
Jensen,ken Bangvhøjligt,311
Jensen,Mo’,311
Andersen,Mo’,311
Augusta,Jensen,312
Herlofsen,Jensen,313
Augusta,Haabets,318
Augusta,Jensen,319
Augusta,Augusta Jægermesteren,319
Augusta Jægermesteren,Jensen,319
Herlofsen,Jensen,319
Augusta,Herlofsen,320
Herlofsen,Jensen,321
Aagaard,Frøken Bang,322
Aagaard,Frøken Bang,322
Aagaard,Jen-,322
Jen-,Petersen,322
Herlofsen,Petersen,322
Herlofsen,Jensen,322
Frøken Bang,stine,324
Kristine,Manuel,326
Augusta,Kristine,332
Au-,Kristine,339
Au-,gusta,339
Herlofsen,Maler        ,340
Augusta,Kristine,342
Jen-,sen,343
Augusta,sen,343
Augusta,Kristine,344
Augusta,Jensen,344
Jensen,Kristine —,344
Frøken Bang,Jensen,350
Augusta,Her-,351
Her-,lofsen,351
Frøken Bang,lofsen,351
Augusta,Kristine,354
Herlofsen,Liv,356
Herlofsen,Kristine,357
Augusta,Herlofsen,359
Augusta,Flan,360
Augusta,sen,360
Herlofsen,sen,360
Augusta,Herlofsen,362
Frøken Bang,Jensen,364
Frøken Bang,Jensen,364
Augusta,Jensen,370
Frøken Bang,Herlofsen,371
Augusta,Herlofsen,380
Augusta,Herlofsen,381
Augusta,Jensen,384
Augusta,Herlofsen,385
Augusta,Jensen,387
Herlofsen,Kristine,389
Augusta,Kristine,389
Augusta,Herlofsen,389
Augusta,Jensen,391
Augusta,Her-,391
Her-,lofsen,391
Jensen,ken Bang,392
Augusta,Jensen,393
Augusta,lille Augusta,402
Aagaard,lofsen,403
Edvard Jensen,hans Praxis,408
Hr. Hol-,gersen,411
Holgersen,tom,414
Gud,Holgersen,414
Gud,Petersen      ,415
Holgersen,Jensen,420
Petersen,paany     ,423
Holgersen,else,424
Jensen,gersen,425
Holgersen,gersen,425
Edvard Jensen,Holgersen,425
Edvard Jensen,Holgersen,425
Holgersen,phil. Thorup,425
