source,target,timestamp
Olsen,Persen,5
Aas,Hagen,6
Hagen,Smed Eriksen,8
Iversen,Mayer,12
Aas,Hagen,14
Eriksens,Hagen,14
Birgitte,F'oreviseren,17
Gud,Guds,20
Birgitte græt,Gud,22
Ane,Birgitte,28
Birgitte,Dokterens,29
Dokterens,Sigrid,29
Ane,Birgitte,34
Ane,Arnt,34
Blom,Thomas Aas,38
Oberstløjtnant Harris,Thomas Aas,38
Gud,Oberstløjtnant Harris,38
Gud,Saxifraga,38
Gulbrandsen,Saxifraga,38
Gulbrandsen,Oberstløjtnant Harris,38
Gulbrandsen,Oberstløjtnant Harris,38
Gulbrandsen,Iversen,38
Jon,Jon Ræstad,40
Jon,Marit,48
Jon,Marit,48
Jon,Marit,52
Jon,Marit,52
Marit,Vesleungen,52
Jon Ræstad,Marit,54
Jon,Marit,54
Hyss—hyss,Jon,58
Arnt,Jon,62
Arnt,Hyss,64
Arnt,Redljon,64
Jon,Redljon,66
Arnt,Jon,69
Marit,lille Jon,70
Arnt,Marit,70
Gut,Jon,71
Arnt,haanblæste,74
Arnt,Jon,74
Jon,Marit,74
Jon,Marit,74
Jon,slig,74
Studentibus,slig,74
Studentibus,haahaahaa,74
Jon,Marit,76
Gubben,Jon,77
Jon,Sjømand,77
Marit,Sjømand,77
Jon,Marit,78
Pias,hannem,82
Arnt Arntsen,Britta,83
Jon,Marit,84
Gubben,Marit,84
Gubben,Jon,84
Arnt,Marit,90
Arnt,Jon,91
Britta,Jon,91
Britta,Jon,91
Arnt,Jon,92
Arnt,brandt,92
Marit,Sigrid,93
Marit,Sigrid,93
Arnt,Marit,96
Marit,Naanaa,96
Arnt,Jon,101
Arnt,Marit,103
Arnt,taug,103
Jon,stakkars,106
Derborte,Jon Ræstad,116
Derborte,Nic. Møller,116
Møller,Nic. Møller,116
Jon,Møller,118
Jon,Strøm,120
Møller,Strøm,120
Møller,Ræstad,121
Jon,mintes,124
Harris,Lejon,131
Adjutant,Jon,133
Jon,Lejon,139
Leander,Malm,142
Arnt,Gubben,145
Gubben,Marit,145
Arnt,Hyss—hyss,146
Arnt,Jon,146
Hyss,Jon,149
Jon,hin,149
Jon,hin,149
Gutten,Jon,149
Hyss,Ulla,154
Jeppe Bakke,Jon,156
Arnt,Jøs,160
Arnt,Marit hyssed,160
Arnt,Jon,161
Arnt,Jeppe Bakke,161
Jon,Jon Ræstad,163
Jon,Møller,167
Harris,Møller,167
Jagu,Jon,171
Jasaa,Jon,175
Jasaa,Jeppe,175
Jeppe Bakke,Jon,177
Jeppe Bakke,Rasmussen,177
Jon mintes,Rasmussen,177
Arnt,Jon mintes,177
Arnt,Sigrid,177
Sigrid,bent,177
Jesu,Jon,182
Jon,Juling,188
Jon,Jon Ræstad,189
Hyss,Iversen,193
Høyem,Verten,197
Gud,pilted,198
Jon Ræstad,Verten,206
Malm,Naanaa,210
Kankan,Møller,214
Bæk,Malm,215
Malm,Pias,215
Malm,Pias,215
Emil,Valborg,220
Jon Ræstad,Sigrid,221
Sigrid,vesle,221
Jon,vesle,221
Jon,Marit,221
Jon Ræstad,Jonas,224
Jon Ræstad,iland,227
Jon,Jon Ræstad,230
Salomonsen,hyss,232
Jon,Salomonsen,232
Jon Ræstad,Pias,235
Jon Ræstad,Pias,235
Gulbrandsen,Jon Ræstad,235
Gammel-Erik“,Gulbrandsen,235
Gammel-Erik“,Jon Ræstad,235
Jon Ræstad,mintes,235
GulBrandsen,Jon,237
Gulbrandsen,Jon,238
Gulbrandsen,Konsul Aas,239
Gulbrandsen,Jon,243
Jesu,Jon,246
Jesu,Salomonsen,246
Gut,Jon Ræstad,247
Jon,Salomonsen,249
Aas,Gulbrandsen,252
Kjære Aas,Salomonsen,253
Jon Ræstad,Salomonsen,254
Jon Ræstad,Salomonsen,254
Gulbrandsen,Jon Ræstad,259
Jon Ræstad,Salomonsen,261
Aas,Salomonsen,261
Gulbrandsen,Jon Ræstad,264
Jon Ræstad,Marit,265
Jon Ræstad,Marit,265
Arnt,Lille Jon,266
Arnt,Einar,266
Arnt,Jon,267
Jon,Marit,267
Marit,Sigrid,267
Arnt,Marit,268
Jon,Marit,268
Jon,Marit,270
Arnt,Jon,270
Arnt,Jon,270
Aksel,Jon,270
Aksel,Jon,270
Arnt,Jon,270
Arnt,Jon,270
Jon,Pias,270
Jon,Pias,270
Marit,Sigrid,271
Jon skotted,didhen,272
Sigrid,didhen,272
Jon,Sigrid,272
Jon,Marit,275
Jon,Marit,275
Arnt Arntsen,Jon Ræstad,278
Arnt,Jon,279
Jon,Marit,281
Marit,Sigrid,281
Arnt,Lille Jon,282
Arnt,Sigrid,284
Arnt,Hyss,285
Arnt,Jon,285
Jon,Marit,285
Arnt,Marit,285
Erik Norum,Jon,286
Erik Norum,Jon Ræstad,286
Jesu,Oberstløjtnant Harris,287
Arnt Lods,Jesu,287
Arnt,Jon,288
Birta,eins,289
Erik Norum,Jon Ræstad,290
Jon Ræstad,Petterssen,290
Gud,mintes,292
Gud,Jonas,292
Jon Ræstad,Jonas,292
Jon Ræstad,Jonas,292
Jon Ræstad,Jonas,292
Jon Ræstad,Lars,292
Jon,Lars,292
Jon,Jonas,294
Jon Ræstad,Jonas,295
Lars,Lars Bryggemand,301
Jonas,Lars Bryggemand,302
Jon Ræstad,Jonas,302
Jon,Jon Ræstad,302
Jon,Lars,302
Gud,Jon Ræstad,303
Erik Norum,Jon,309
Erik Norum,Petterssen,309
Gud,grant,311
Aksel,Jon Ræstad,312
Gulbrandsen,Iversen,347
Gulbrandsen,Vorherre,349
Aloren,Valborg,356
Jon,Jon Ræstad,358
Konsul Aas,Palas,368
Iversen,Sisten,370
Iversen,Møller,373
Iversen,græt,379
Aas,græt,379
Aas,Gud,379
Iversen,Peter,381
Amund Lie,Peter Vold,388
Peter Vold,Skae,388
Per Vold,Skae,388
Jon,Per Vold,388
Iversen,Jon Ræstad,389
Domino,Schak,396
Iversen,Møller,399
Iversen,Møller,399
Møller,Somme,402
Barna,Ukes,410
Jon Ræstad,Marit,411
Jon Ræstad,Marit,411
Erik Norum,Lars Pettersen,412
Erik Norum,Urmaker Olsen,412
Brastads,Urmaker Olsen,412
Brastads,Høyem,412
