source,target,timestamp
Lena,Tante Rasks,3
Dørums,Madam Dørum,4
Damm,Tilla,5
Lena,Maisa,12
Lena,Maisa,15
Lena,Maisa,16
Lena,Maisa,18
Signe,sorn,19
Signe,hy,19
Tona,hy,19
Didrik,Maisa,23
Ama,Maisa,26
Schous,Signe,28
Ama,Maisa,30
Anton,Signelil,32
Schous,Signe,34
Maisa,Schous,34
Berg,Signe,40
Ama,Signe,42
Elise,Signe],43
Ama,Didrik,46
Didrik,blaat,48
Ama,Didrik,49
Frøken,Maisa,50
Maisa,Signe,51
Maisa,lel,54
Ama,Grete,55
Ama,Anton,55
Anton,Maisa,56
Anton,Maisa,56
Didrik,Maisa,56
Heibergs,Scheels,65
Heibergs,Signe,65
Ama,Sjau,67
Ama,Maisa,67
Grete,kjære,69
Ama,Maisa,71
Heloises,Maisa,74
Heloises,Maisa,74
Anton,Flun,80
Anton,Lena,80
Anton,Lena,80
Anton,Maisa,80
Theodor,jasaa,81
jasa,jasaa,81
a,jasa,81
Flun,graavaad,84
Flun,Mor Damm,84
Maisa,Marie Jons,86
Ellefsen,Enkefru Thorsen,91
Schultz,Thorsen,93
Ellefsen,bode,96
Ellefsen,Maisa,96
Elling,Maisa,96
Dørums,Elling,96
Brandts,Maisa,101
Brandts,Jurgensens,101
Jurgensens,Simonsens,101
Antonisen,Simonsens,101
Jiirgensens,Maisa,102
Jiirgensens,Mina Jiirgensens,102
Mina Jiirgensens,Tarlatans,102
Tarlatans,Theodora,102
Brandts,Theodora,102
Buffon,Maisa,104
Buffon,Frøken Mina,104
Maisa,Mina,109
Maisa,ifjor,110
Krinoline,ifjor,110
Berg,Maisa,111
Elise Schou,Signe,114
Elise Schou,Signe,114
Elise Schou,Kitty Blom,114
Kitty Blom,Minka,114
Minka,Muller,114
Signe Tranem,Solberg,115
Ama,Signe Tranem,115
Ama,Jakob Schou,115
Ludvig,Maisa,116
Ludvig,Mina,116
Maisa,Mina,116
Mina,Theodora Brandt,117
Maisa,Mina,117
Maisa,Theodora,118
Dora,Maisa,118
Ludvig,Maisa,119
Simonsens,Thorsdag,120
Antonisen,Thorsdag,120
Antonisen,Madam Dørum,120
Jørstad,Madam Dørum,121
Boa,Madam Dørum,121
Boa,Elling,121
Kielsberg,sine,125
Dørums,Maisa,129
Dørums,Kjøbmand Sundbys,129
Dørums,Madam Dørum,130
Andersen,Elling,132
Elling,Kirstine,132
Kirstine,Maisa,132
Madam Dørum,Maisa,133
Madam Andersen,Madam Dørum,134
Andersen,Maisa,135
Andersen,Jensine Andersen,135
Jensine Andersen,Maisa,135
Dørums,Maisa,135
Dørums,Thea,135
Madam Rasmussen,Thea,135
Madam Andersen,braat,136
Madam Andersen,Maisa Jons,138
Madam Jørstad,didind,139
Kirstine,Madam Rasmussen,143
Dørum,Maren,147
Jensine,Maren,147
Jensine Andersen,Johannesen,148
Jensine Andersen,Maisa,148
Madam Andersen,Maisa,151
Felen,Jensine,155
Jensine,Larsine,155
Elling,Maisa,156
Di,Maisa,156
Elling,Maisa Jons,161
Maren,Tilla,163
Madam Andersen,Maren,163
Madam Rasmussen,Thea,164
Larsine,Thea,164
Maren,Tilla,166
Jensine,Johannesen,167
Kielsberg,Maisa,169
Maisa,Schous,176
Schous,Tranems,176
Johannesen,Madam Rasmussen,177
Jensine,Johannesen,177
Jensine,Maisa Jons,177
Kielsberg,Maisa,179
Jensine,Johannesen,180
Andersen,Jensine,180
Kielsberg,Maisa Jons,181
Di,Madam Jørstad,182
Madam Jørstad,Tilla,190
Madam Jørstad,Tilla,192
Madam Jørstad,lille Kirstine,197
Madam Rasmussen,Thea,200
Johannesen,Thea,200
Andersen,Johannesen,200
Andersen,Di,205
Di,Ellingsen,205
Sjøberg,plik,206
Felen,Sy-Maisa,207
Kielsberg,Sy-Maisa,207
Plik,plik,211
Kielsberg,Sjøberg,214
Kielsberg,Maisa,216
Madam Rasmussen,blaaste,223
Kielsberg,Maisa,224
Larsine,Thea,228
Madam Rasmussen,Reelen,230
Jamæn,Vals,231
