Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Hauchs,0,0,0,0,2,0.04,2,0.0,2,0.04,0.0,0.0,0.0,0.0
Holbergs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ingemanns,0,0,0,0,2,0.04,2,0.0,2,0.04,0.0,0.0,0.0,0.0
Oehlenschlægers,0,0,0,0,2,0.04,2,0.0,2,0.04,0.0,0.0,0.0,0.0
Blichers,0,0,0,0,2,0.04,2,0.0,2,0.04,0.0,0.0,0.0,0.0
Carit Etlars,0,0,0,0,2,0.04,2,0.0,2,0.04,0.0,0.0,0.0,0.0
Kierkegaards,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Sirtses,0,0,0,0,2,0.04,2,0.0,2,0.04,0.02,0.04,0.02,0.06
orkarlens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Trine,0,0,0,0,8,0.26,10,0.04,8,0.26,0.14,0.28,0.09,0.27
Jomfru Grønning,0,0,0,0,1,0.0,2,0.0,1,0.0,0.02,0.04,0.0,0.0
Herrens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Erik Vaage,0,0,0,0,3,0.07,3,0.01,3,0.07,0.08,0.16,0.01,0.03
Frøken Aase,0,0,0,0,2,0.04,2,0.0,2,0.04,0.03,0.06,0.0,0.0
Grønning,0,0,0,0,10,0.33,42,0.17,10,0.33,0.28,0.56,0.08,0.24
Abrahams,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Bodil Marie,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gud,0,0,0,0,7,0.22,10,0.04,7,0.22,0.21,0.42,0.06,0.18
Vinge,0,0,0,0,10,0.33,146,0.6,10,0.33,0.29,0.58,0.05,0.15
Hr. Vinges,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Aase,0,0,0,0,21,0.74,141,0.58,21,0.74,0.39,0.78,0.18,0.55
Erik,0,0,0,0,28,1.0,243,1.0,28,1.0,0.5,1.0,0.33,1.0
Kritici,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.14,0.0,0.0
Titians,0,0,0,0,2,0.04,2,0.0,2,0.04,0.07,0.14,0.0,0.0
Ørsinggaard,0,0,0,0,2,0.04,2,0.0,2,0.04,0.11,0.22,0.0,0.0
Goethe,0,0,0,0,3,0.07,3,0.01,3,0.07,0.11,0.22,0.02,0.06
dann wahr,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Per,0,0,0,0,1,0.0,4,0.01,1,0.0,0.01,0.02,0.0,0.0
Povl,0,0,0,0,2,0.04,5,0.02,2,0.04,0.07,0.14,0.02,0.06
Karen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Thor,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.14,0.0,0.0
Axel,0,0,0,0,2,0.04,2,0.0,2,0.04,0.07,0.14,0.02,0.06
Valborg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Aaen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Aase Vinges,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.14,0.0,0.0
har,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.14,0.0,0.0
Søren-Kierkegaard,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Barndorms,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.14,0.0,0.0
Adam,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Eva,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
hans,0,0,0,0,2,0.04,2,0.0,2,0.04,0.11,0.22,0.0,0.0
Rigi,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.14,0.0,0.0
Petersen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Kejseren,0,0,0,0,2,0.04,2,0.0,2,0.04,0.03,0.06,0.02,0.06
daglys,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Darwin,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Bedstemoders,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Farmoder,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Musset,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Hvids,0,0,0,0,2,0.04,2,0.0,2,0.04,0.09,0.18,0.0,0.0
kannibalsk,0,0,0,0,1,0.0,2,0.0,1,0.0,0.07,0.14,0.0,0.0
Hans,0,0,0,0,3,0.07,3,0.01,3,0.07,0.11,0.22,0.02,0.06
Eirik,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Aaget,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Christiane,0,0,0,0,2,0.04,5,0.02,2,0.04,0.12,0.24,0.0,0.0
Jeppe,0,0,0,0,2,0.04,2,0.0,2,0.04,0.12,0.24,0.0,0.0
Valdemar Fugl,0,0,0,0,2,0.04,3,0.01,2,0.04,0.12,0.24,0.0,0.0
Valdemar,0,0,0,0,3,0.07,6,0.02,3,0.07,0.16,0.32,0.0,0.0
Minnas,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Minna,0,0,0,0,13,0.44,56,0.23,13,0.44,0.32,0.64,0.09,0.27
Blicher,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Herman Bang,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Kjærters,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Graad,0,0,0,0,3,0.07,3,0.01,3,0.07,0.16,0.32,0.0,0.0
Karlsvognen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Frøken Minna,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.14,0.0,0.0
capo,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
lilles,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.14,0.0,0.0
Per Sonne,0,0,0,0,2,0.04,2,0.0,2,0.04,0.1,0.2,0.0,0.0
Pasop,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Erik —,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.14,0.0,0.0
Faust,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ruhms,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Qvos,0,0,0,0,2,0.04,2,0.0,2,0.04,0.0,0.0,0.0,0.0
Rubens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Neptun,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
kjære,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.14,0.0,0.0
Uetliberg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Vaage,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Helved,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Lars Avlskarl,0,0,0,0,2,0.04,2,0.0,2,0.04,0.07,0.14,0.0,0.0
j’eg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
