source,target,type,weight
Jens,Smed,Undirected,1
,Jens,Undirected,27
Jens,lille Anna,Undirected,1
Jens,dies,Undirected,1
Anna,Jens,Undirected,62
Hclgaards,Simon Krænscn,Undirected,1
Simon,Simons,Undirected,1
Røsf,Simon,Undirected,2
Gud,Simon,Undirected,1
Ieg,Simon,Undirected,1
Gud,jerres,Undirected,1
Simon,Simon tillivs,Undirected,1
Havren,Simon,Undirected,1
Jomfru Anna,hnn,Undirected,1
Gud,hnn,Undirected,2
Peer Agerskovs,Peers,Undirected,1
Peer,Peers,Undirected,1
Peer,Peer Agerskovs,Undirected,2
Anna,Gud,Undirected,5
Gud,Jens,Undirected,12
Dorthe,Mette,Undirected,1
Jens,Mette,Undirected,4
Jens,Jens Kmgh-,Undirected,1
Gammel-hald,Simon Krænsens,Undirected,1
Jens,Sofie Magdalene,Undirected,1
Bernstorff,Sofie Magdalene,Undirected,1
Bernstorff,Gud,Undirected,1
Anna,Mads,Undirected,1
Anna,Simon Krænsens,Undirected,1
Mikkel „,lille Anna,Undirected,1
Jens,Mynden,Undirected,2
Gud,Johanne Kragcdal,Undirected,1
Gud,Hnn,Undirected,1
Hnn,Johannes,Undirected,1
Johanne,hnn,Undirected,1
I. K.,Jens,Undirected,1
Jens,Kragedal,Undirected,1
Jens Kragh,Kragedal,Undirected,1
Jens,fig,Undirected,3
Anna,Mikkel „,Undirected,2
Jens,Karen Jensdatter,Undirected,1
Jesper Skovrider,Karen Jensdatter,Undirected,1
Jens blet,Jesper Skovrider,Undirected,1
Bernstorff,Jens blet,Undirected,1
Bernstorff,hnn,Undirected,1
Karo,hnn,Undirected,2
Karo,jv,Undirected,2
Karo,Mikkel,Undirected,2
Mikkel,sra,Undirected,1
Anna,Jærnstang,Undirected,1
Jærnstang,Mikkel,Undirected,1
Gud,sisfe,Undirected,1
Anna,Karo,Undirected,2
Anna,Sfikkelfen,Undirected,1
Anna,bette Grete,Undirected,1
Mikkel,bette Grete,Undirected,1
Anna,Mikkel,Undirected,16
Anna,hnn,Undirected,4
Jens,hnn,Undirected,2
Dorthe,Jens,Undirected,2
Davre,Dorthe,Undirected,2
Anna,Dorthe,Undirected,7
Dorthe,Ridefogeds,Undirected,1
Ridefogeds,sidsf,Undirected,1
Anna,sidsf,Undirected,1
Anna,Josos,Undirected,1
Dvrthe,Mikkel,Undirected,1
Dorthe,Karo,Undirected,1
Anna?,Dorthe,Undirected,1
Jens Aragh,Mikkel,Undirected,1
Dyrerov,Mikkel,Undirected,1
Dorthe,hnn,Undirected,2
Anna,JeSpers,Undirected,1
JeSpers,Jespers,Undirected,1
Naadigherrens,Simon Krænsen,Undirected,1
Anna,Simon,Undirected,1
Jesper,fig,Undirected,1
Ester,Hans,Undirected,1
Karen,Knud Skytte,Undirected,1
Jens,Kragh,Undirected,2
Hain,Hans,Undirected,2
Hans,hans Baand,Undirected,1
Ester,Ridefoged,Undirected,1
Anna,Bosse,Undirected,1
Anna,lille Hans,Undirected,1
Anna,ester,Undirected,2
Anna,Hans,Undirected,3
Anna,Hr. Sørens,Undirected,1
Anua,Hr. Sørens,Undirected,1
Hans,Jens,Undirected,13
hnn,sif,Undirected,1
Anna,KE,Undirected,1
Mikkel,sordi Simons,Undirected,1
Billie,Simon Krænsen,Undirected,1
Billie,Gud,Undirected,1
Gud,Mikkel,Undirected,1
Ester,Jens,Undirected,1
Haus,Jens,Undirected,1
Hans,Haus,Undirected,1
Anna,hans Bejlen,Undirected,2
