Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Jens,0,0,0,0,58,1.0,220,1.0,58,1.0,0.49,1.0,0.48,1.0
Smed,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
,0,0,0,0,7,0.11,39,0.17,7,0.11,0.13,0.27,0.03,0.06
lille Anna,0,0,0,0,2,0.02,2,0.0,2,0.02,0.06,0.12,0.0,0.0
dies,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Anna,0,0,0,0,46,0.79,155,0.7,46,0.79,0.4,0.82,0.33,0.69
Hclgaards,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Simon Krænscn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Simon,0,0,0,0,8,0.12,9,0.04,8,0.12,0.11,0.22,0.05,0.1
Simons,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Røsf,0,0,0,0,1,0.0,2,0.0,1,0.0,0.01,0.02,0.0,0.0
Gud,0,0,0,0,20,0.33,37,0.16,20,0.33,0.18,0.37,0.16,0.33
Ieg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
jerres,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Simon tillivs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Havren,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Jomfru Anna,0,0,0,0,2,0.02,3,0.01,2,0.02,0.07,0.14,0.0,0.0
hnn,0,0,0,0,17,0.28,25,0.11,17,0.28,0.2,0.41,0.09,0.19
Peer Agerskovs,0,0,0,0,2,0.02,3,0.01,2,0.02,0.0,0.0,0.0,0.0
Peers,0,0,0,0,2,0.02,2,0.0,2,0.02,0.0,0.0,0.0,0.0
