Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Anna,0,0,0,0,32,1.0,99,1.0,32,1.0,0.44,1.0,0.29,1.0
Gud,0,0,0,0,20,0.61,44,0.44,20,0.61,0.34,0.77,0.11,0.38
Espen,0,0,0,0,19,0.58,54,0.54,19,0.58,0.29,0.66,0.15,0.52
lille Anna,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
Espen Jensen,0,0,0,0,9,0.26,18,0.17,9,0.26,0.15,0.34,0.04,0.14
Halløi,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Godsciercns,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Ludvig Kvisfgaard,0,0,0,0,3,0.06,3,0.02,3,0.06,0.05,0.11,0.01,0.03
Niels Jucl,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Peder Tordenskjold,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Kvistgaards,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.11,0.0,0.0
Eulalia,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Herr Kvistgaard,0,0,0,0,4,0.1,4,0.03,4,0.1,0.04,0.09,0.02,0.07
Ludvig Kvistgaard,0,0,0,0,12,0.35,20,0.19,12,0.35,0.21,0.48,0.07,0.24
Ludvig,0,0,0,0,15,0.45,33,0.33,15,0.45,0.24,0.55,0.09,0.31
froer,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
Jeppe Johansen,0,0,0,0,14,0.42,26,0.26,14,0.42,0.24,0.55,0.11,0.38
Jeppe Johansens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
Jeppe,0,0,0,0,22,0.68,70,0.7,22,0.68,0.3,0.68,0.18,0.62
Kvisfgaards,0,0,0,0,2,0.03,2,0.01,2,0.03,0.08,0.18,0.0,0.0
Kvistgaard,0,0,0,0,12,0.35,22,0.21,12,0.35,0.2,0.45,0.08,0.28
Orlogs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Villie,0,0,0,0,3,0.06,3,0.02,3,0.06,0.08,0.18,0.01,0.03
Fisker,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
aa Kvistgaard,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
Jeppe Iohansen,0,0,0,0,2,0.03,2,0.01,2,0.03,0.07,0.16,0.0,0.0
Levvel,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
