Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Hans Peter Korneliussen,0,0,0,0,51,1.0,126,0.48,51,1.0,0.3,0.75,0.2,0.8
Peder Hansen,0,0,0,0,3,0.04,3,0.01,3,0.04,0.03,0.07,0.01,0.04
Jane Dirks,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Hans Peter Konneliussen,0,0,0,0,2,0.02,2,0.0,2,0.02,0.04,0.1,0.0,0.0
Birgitte,0,0,0,0,48,0.94,261,1.0,48,0.94,0.4,1.0,0.25,1.0
Hans Pedersen,0,0,0,0,3,0.04,6,0.02,3,0.04,0.04,0.1,0.0,0.0
Korneliussen,0,0,0,0,22,0.42,33,0.12,22,0.42,0.15,0.37,0.06,0.24
Kolbe,0,0,0,0,2,0.02,2,0.0,2,0.02,0.03,0.07,0.0,0.0
Hans Peter,0,0,0,0,8,0.14,8,0.03,8,0.14,0.1,0.25,0.01,0.04
Potz,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
gote Korneliussen,0,0,0,0,2,0.02,2,0.0,2,0.02,0.0,0.0,0.01,0.04
Lars,0,0,0,0,2,0.02,2,0.0,2,0.02,0.02,0.05,0.01,0.04
Langheim,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Bauer,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
le Diable m emporte,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Lians Peter Korneliussen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Lars Povlsen,0,0,0,0,5,0.08,15,0.05,5,0.08,0.05,0.12,0.01,0.04
Peter,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Haabets,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Klemming,0,0,0,0,3,0.04,8,0.03,3,0.04,0.04,0.1,0.0,0.0
Povlsen,0,0,0,0,3,0.04,3,0.01,3,0.04,0.03,0.07,0.01,0.04
ethan,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
sagdeKorneliussen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Møller Lars Povlsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
C. B. Qvist,0,0,0,0,13,0.24,35,0.13,13,0.24,0.1,0.25,0.03,0.12
Christen Bollerup Qvist,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
