Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Lucie,0,0,0,0,48,1.0,268,1.0,48,1.0,0.44,1.0,0.33,1.0
Nilsen,0,0,0,0,17,0.34,71,0.26,17,0.34,0.17,0.39,0.06,0.18
Gerner,0,0,0,0,32,0.66,101,0.37,32,0.66,0.33,0.75,0.2,0.61
Luciebarne,0,0,0,0,5,0.09,12,0.04,5,0.09,0.08,0.18,0.01,0.03
robed,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
itte,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Olsen,0,0,0,0,16,0.32,60,0.22,16,0.32,0.21,0.48,0.05,0.15
Di,0,0,0,0,11,0.21,35,0.13,11,0.21,0.19,0.43,0.03,0.09
Merkur,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Luciemor,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Nielsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
von,0,0,0,0,3,0.04,5,0.01,3,0.04,0.05,0.11,0.01,0.03
Theodor,0,0,0,0,34,0.7,88,0.33,34,0.7,0.29,0.66,0.26,0.79
kjæk,0,0,0,0,1,0.0,2,0.0,1,0.0,0.03,0.07,0.0,0.0
Synnøve,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
Ossen,0,0,0,0,3,0.04,3,0.01,3,0.04,0.01,0.02,0.0,0.0
di,0,0,0,0,3,0.04,3,0.01,3,0.04,0.03,0.07,0.02,0.06
slite,0,0,0,0,2,0.02,2,0.0,2,0.02,0.0,0.0,0.0,0.0
Jossa,0,0,0,0,2,0.02,2,0.0,2,0.02,0.0,0.0,0.0,0.0
Stakkars,0,0,0,0,2,0.02,2,0.0,2,0.02,0.0,0.0,0.01,0.03
