Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Arne,0,0,0,0,35,1.0,118,0.88,35,1.0,0.45,1.0,0.49,1.0
Emmy,0,0,0,0,26,0.74,126,0.94,26,0.74,0.36,0.8,0.26,0.53
Prindsesse Alexandra,0,0,0,0,2,0.03,2,0.01,2,0.03,0.09,0.2,0.0,0.0
Burnus,0,0,0,0,1,0.0,2,0.01,1,0.0,0.04,0.09,0.0,0.0
Mama,0,0,0,0,3,0.06,5,0.03,3,0.06,0.14,0.31,0.0,0.0
lille Emmy,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
Kjære,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
Arne niente,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
Lang,0,0,0,0,1,0.0,3,0.02,1,0.0,0.04,0.09,0.0,0.0
Frk. Winding,0,0,0,0,3,0.06,3,0.02,3,0.06,0.08,0.18,0.0,0.0
Anna,0,0,0,0,8,0.21,27,0.2,8,0.21,0.21,0.47,0.04,0.08
skjelmsk,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
.,0,0,0,0,2,0.03,3,0.02,2,0.03,0.06,0.13,0.0,0.0
Schnitter,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
mürrische,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Dangel,0,0,0,0,7,0.18,17,0.12,7,0.18,0.16,0.36,0.05,0.1
Løbel,0,0,0,0,9,0.24,10,0.07,9,0.24,0.15,0.33,0.04,0.08
Herr Dangel,0,0,0,0,3,0.06,3,0.02,3,0.06,0.06,0.13,0.0,0.0
Gjøgeurt,0,0,0,0,2,0.03,2,0.01,2,0.03,0.03,0.07,0.0,0.0
Theen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Haydn,0,0,0,0,2,0.03,2,0.01,2,0.03,0.06,0.13,0.0,0.0
Desert,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
liun,0,0,0,0,5,0.12,10,0.07,5,0.12,0.18,0.4,0.01,0.02
Windings,0,0,0,0,5,0.12,7,0.05,5,0.12,0.19,0.42,0.0,0.0
Garibaldis,0,0,0,0,1,0.0,2,0.01,1,0.0,0.05,0.11,0.0,0.0
Brix,0,0,0,0,1,0.0,3,0.02,1,0.0,0.05,0.11,0.0,0.0
livor,0,0,0,0,2,0.03,3,0.02,2,0.03,0.05,0.11,0.02,0.04
liam,0,0,0,0,2,0.03,3,0.02,2,0.03,0.1,0.22,0.0,0.0
Hejbergs,0,0,0,0,1,0.0,2,0.01,1,0.0,0.05,0.11,0.0,0.0
.John Brown,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
John Brown,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
liendes,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
Krisis,0,0,0,0,2,0.03,2,0.01,2,0.03,0.09,0.2,0.0,0.0
Karlsen,0,0,0,0,3,0.06,6,0.04,3,0.06,0.07,0.16,0.01,0.02
lille Olga,0,0,0,0,3,0.06,5,0.03,3,0.06,0.03,0.07,0.02,0.04
Fredriksen,0,0,0,0,11,0.29,47,0.35,11,0.29,0.18,0.4,0.07,0.14
Dada,0,0,0,0,2,0.03,8,0.05,2,0.03,0.06,0.13,0.0,0.0
Olga,0,0,0,0,31,0.88,134,1.0,31,0.88,0.42,0.93,0.35,0.71
Karlen,0,0,0,0,2,0.03,4,0.02,2,0.03,0.06,0.13,0.0,0.0
bedrede-Olgas,0,0,0,0,2,0.03,2,0.01,2,0.03,0.07,0.16,0.0,0.0
Fredrik,0,0,0,0,1,0.0,3,0.02,1,0.0,0.05,0.11,0.0,0.0
Frøken Emmy,0,0,0,0,3,0.06,3,0.02,3,0.06,0.12,0.27,0.0,0.0
Ida,0,0,0,0,1,0.0,13,0.09,1,0.0,0.05,0.11,0.0,0.0
Voxnes,0,0,0,0,1,0.0,2,0.01,1,0.0,0.05,0.11,0.0,0.0
Goethe,0,0,0,0,2,0.03,3,0.02,2,0.03,0.05,0.11,0.02,0.04
Wilhelm Meister,0,0,0,0,1,0.0,2,0.01,1,0.0,0.01,0.02,0.0,0.0
dei-,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.11,0.0,0.0
Myndling,0,0,0,0,3,0.06,4,0.02,3,0.06,0.11,0.24,0.0,0.0
Anna Windings,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
Alama,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.11,0.0,0.0
Gud,0,0,0,0,2,0.03,2,0.01,2,0.03,0.06,0.13,0.0,0.0
Berg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Mayfiower,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Flan,0,0,0,0,2,0.03,2,0.01,2,0.03,0.06,0.13,0.0,0.0
Miss Lucy,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.02,0.0,0.0
Miss Sarah,0,0,0,0,3,0.06,3,0.02,3,0.06,0.02,0.04,0.0,0.0
Arthur,0,0,0,0,4,0.09,6,0.04,4,0.09,0.06,0.13,0.03,0.06
George,0,0,0,0,4,0.09,6,0.04,4,0.09,0.07,0.16,0.01,0.02
Lucy,0,0,0,0,2,0.03,2,0.01,2,0.03,0.06,0.13,0.0,0.0
Bell,0,0,0,0,2,0.03,2,0.01,2,0.03,0.05,0.11,0.02,0.04
Lincoln,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Scott,0,0,0,0,2,0.03,2,0.01,2,0.03,0.05,0.11,0.04,0.08
Mac Clellan,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.02,0.02,0.04
Grant,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Kong Fredriks,0,0,0,0,1,0.0,2,0.01,1,0.0,0.05,0.11,0.0,0.0
Slendrian,0,0,0,0,2,0.03,2,0.01,2,0.03,0.06,0.13,0.0,0.0
Krats,0,0,0,0,6,0.15,12,0.08,6,0.15,0.18,0.4,0.02,0.04
con amore,0,0,0,0,2,0.03,2,0.01,2,0.03,0.04,0.09,0.0,0.0
Frej,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.11,0.0,0.0
soin liun,0,0,0,0,2,0.03,2,0.01,2,0.03,0.07,0.16,0.0,0.0
