source,target,type,weight
Daniel,Jeremias,Undirected,2
Daniel,gud,Undirected,1
lian,stuper,Undirected,1
Ole Tuft,ute,Undirected,1
Ole,ute,Undirected,1
Josefine Kallem,Schultze,Undirected,1
Edvards,Josefine Kallem,Undirected,1
Edvards,Ole,Undirected,1
Josefine,Ole,Undirected,20
Josefine,vathan,Undirected,1
Alexandre Dumas,Ole Tuft,Undirected,1
Edvard Kallems,Ole Tuft,Undirected,1
Edvard Kallems,Les trois mousquetaires,Undirected,1
Edvard,Ole Tuft,Undirected,4
Edvard,Ole,Undirected,48
Ole,gud,Undirected,13
Edvard,gud,Undirected,5
Edvard Kallem,Guds,Undirected,2
Edvard Kallem,gud,Undirected,1
Guds,Ole,Undirected,1
Edvard Kallem,Ole,Undirected,4
Edvard,barna,Undirected,1
Edvard,Josefine,Undirected,20
Josefine,ropte,Undirected,1
-,Ole,Undirected,1
-,Edvard,Undirected,1
Josefine,unytte,Undirected,1
Ole,unytte,Undirected,1
Ole,durens,Undirected,2
Edvard,skrek,Undirected,1
Edvard gæntok,Ole,Undirected,1
ho,sinna,Undirected,1
Ho,sinna,Undirected,1
Marte,ho,Undirected,1
Ho,ho,Undirected,1
gud,ho,Undirected,1
Ole,hennes,Undirected,4
hennes,tia,Undirected,1
Anders,Ole,Undirected,6
Anders,moro,Undirected,1
Anders,Edvard,Undirected,8
Edvard,lian,Undirected,1
Anders Hægges,Edvard,Undirected,1
Edvard,Marte,Undirected,5
Anders,Marte,Undirected,2
Marte,Ole,Undirected,5
Marte,Ole Tuft,Undirected,1
Marte,skoggerle,Undirected,1
Edvard,skoggerle,Undirected,1
Anders,olje,Undirected,1
Ole,olje,Undirected,1
Anders,Ole Tuft,Undirected,1
Edvard Kallern,boka,Undirected,1
Anders Hegge,Edvard Kallern,Undirected,1
Anders Hegge,Ole Tuft,Undirected,2
Anders,Edvard Kaliem,Undirected,1
Edvard Kaliem,Edvard Kallern,Undirected,1
Anders Hegge,Ole,Undirected,2
Lars,Marte,Undirected,1
Anders,Lars,Undirected,1
Edvard Kallem,lian,Undirected,1
gud,lian,Undirected,1
Marte,gud,Undirected,1
Edvard,hennes,Undirected,3
Paulus,hennes,Undirected,1
Jesus,Paulus,Undirected,1
aper,hennes,Undirected,1
Ole,eden,Undirected,1
Josefine,unna,Undirected,1
Ole,stakkar,Undirected,2
bent,stakkar,Undirected,1
Ole igæn,mørje,Undirected,1
Ole,Ole igæn,Undirected,1
Ole,gild furuskog,Undirected,1
Edvard,sjauen,Undirected,1
hans,ropte,Undirected,1
Ingebret,ropte,Undirected,1
Ingebret,gutten,Undirected,1
Edvard,Guttens,Undirected,1
Edvard,gutten,Undirected,3
Kaliem,Kallem,Undirected,8
Kaliem,Kanske,Undirected,2
Josefine,jon,Undirected,1
Ole,gejta,Undirected,1
Edvard,vesle,Undirected,1
potetes,vesle,Undirected,1
Ole,gutten,Undirected,2
Ole,skrek,Undirected,1
Edvard,stakkar,Undirected,1
Edvard,gejta,Undirected,1
gejta,vips,Undirected,1
gejta,gutten,Undirected,1
Edvard,skræmseln,Undirected,1
Anders Hegge,Edvard,Undirected,2
Edvard,malte,Undirected,1
bo,malte,Undirected,1
Edvard,Josefine præstekone,Undirected,1
Melanchton,Ole Tuft,Undirected,1
Edvard Kallem,Ole Tuft,Undirected,1
Edvard Kallem,Samson,Undirected,1
Ole Tuft,Samson,Undirected,1
Ole,Samson,Undirected,2
Samson,ropte,Undirected,1
Ole,ropte,Undirected,1
Ole,bjørn,Undirected,1
Josefine,bægge,Undirected,2
Edvard,Samson,Undirected,2
Samson,løvens,Undirected,1
Josefine,Ole Tuft,Undirected,1
Josefine,Kaliem,Undirected,2
Kaliem,Ole Tuft,Undirected,3
Ole Tuft,Tuft,Undirected,3
Ole Tuft,hans,Undirected,1
Guds,hans,Undirected,1
Edvard Kallem,Somme,Undirected,1
Ole,Ole Tuft,Undirected,1
Ole Tuft,kali,Undirected,1
Edvard,kali,Undirected,1
Gud,hennes,Undirected,1
Gud,gud,Undirected,3
Josefine,gud,Undirected,12
Josefine,kalite,Undirected,1
Edvard,Edvard Kallem,Undirected,1
Edvard,liam,Undirected,1
Edvard,jonær,Undirected,1
gud,jonær,Undirected,1
kin,panne,Undirected,1
Ole,henne,Undirected,6
Edvard uten,Ole,Undirected,2
Edvard,henne,Undirected,9
Ole,dom,Undirected,1
Jeanne,Jeanne d,Undirected,2
Arcs,Jeanne d,Undirected,1
Arcs,henne,Undirected,1
Flan,henne,Undirected,2
Hennes,Ole,Undirected,1
Gud,henne,Undirected,2
Edvard Kali,Z mars,Undirected,1
Edvard Kaliem,Tomas Rendalen,Undirected,1
