source,target,timestamp
Barre,Ole,2
Ole,Zillen,4
Blum,Zillen,4
Ole,Zillen,5
Ole,Silen,5
Blum,Ole,8
Gud,Ole,11
Ole,Venus,12
Don Juan,Venus,12
Don Juan,Ole,12
Ellen,Ole,13
Ole,Ole —,14
Bondesen,Ole,17
Bondesen,Ole,17
Bondesen,Ole,21
Gud,Ole,23
Engelke,axlarne,26
Engelke,Hr. Kjærlund,33
Engelke,Ole,39
Blum,Ole,41
Bondesen,Lars,45
Lars,Ole,47
Chr. Wintherske,Ole Kjærlund,50
Blum,Chr. Wintherske,50
Blum,Ole,50
Gud,Jokum,52
Ellen,Ole,54
Ellen,Ole,54
Ellen,Ole,54
Ellen,Ole,54
Blum,Ole,57
Engelke,Ole,59
Engelke,Ole,60
Ole,Zillen,62
Engelke,Ole,69
Engelke,Vorherre,69
Adam,Vorherre,69
Adam,Engelke,69
Ole,Plumager,77
Engelke,Strax,78
Engelke,Hertz,78
Hertz,Scribe,78
Michael Wiehe,Scribe,78
Engelke,Michael Wiehe,78
Engelke,Ole,78
Ole,berøve,78
Madam Vrikmaas,Thortsens,79
Mini,Zillen,80
Ole,Zillen,80
Blum,Ole,81
Blum,Ole,81
Engelke,Ole,82
Ellen,Engelke,82
Mutter,Ole,86
Ellen,Engelke,87
Blum,Ole,88
Engelke,Ole,94
Ellen,Ole,95
Ellen,Ole,95
Engelke,Ole,96
Engelke,Ole,96
Engelke,Madam Bondesen,97
Engelke,Ole,97
Ole,Per,97
Ole,Per,97
Engelke,Gud,98
Gud,Per,98
Engelke,Per,98
Engelke,Madam Bondesen,98
Madam Bondesen,Ole,98
Engelke,Ole,98
Engelke,Ole,98
Engelke,Per,99
Ole,Per,99
Bjørn,Ole,99
Bjørn,Per,99
Ole,Per,99
Ole,Per,99
Engelke,Per,99
Ole,Per,101
Engelke,Ole,101
Ole,Per,102
Blum,Ole,103
Blum,Ole,103
Blum,Ole,103
Engelke,Ole,104
Blum,Ole,105
Blum,Ole,105
Engelke,Ole,105
Blum,Engelke,105
Engelke,Per,107
Engelke,sigHendes,118
Ole,sigHendes,118
Engelke,Ole,121
Ole,Per,122
Engelke,Ole,122
Engelke,Madsen,132
Engelke,Engelky,134
Engelke,Gud,134
Engelke,Ole,135
Madsen,Ole,138
Ole,Per,140
Jakobe —,Ole,142
Engelke,Per,143
Ole,Per,143
Ellen,Ole,144
Ellen,Ole,144
Engelke,Ole,144
Ellen,Engelke,144
Ellen,Ole,145
Joppe,Ole,145
Ellen,Joppe,146
Joppe,Per,146
Engelke,Per,146
Ole,Per,147
Ole,Per,150
Engelke,Joppe,151
Per,Rosa,152
Per,Rosa,152
Ellen,Sara,153
Ellen,Madam Sundbye,154
Ellen,Madam Sundbye,154
Ellen,Gud,154
Gud,Madamme,154
Madamme,Sundbye,154
Engelke,Ole,155
Engelke,Ole,155
Per,Per voxe,156
Ole,Per,158
Ole,Per,160
Ole,Per,160
Joppe,Ole,160
Blum,Joppe,160
Kreti,Ole,161
Kreti,Pieti,161
Engelke,Ole,162
Ole,Per,163
Engelke,Ole,164
Ole,Per,164
Ole,Per,164
Per,Zillen,167
Per,devare,169
Engelke,Zillen,170
Joppe,Jørgen,171
Engelke,Joppe,171
Engelke,voxnes,172
Engelke,voxnes,172
Per,Valdemar,173
Svend Grathe,Valdemar,173
Svend Grathe,Valdemar,173
Skjolde,Valdemar,173
Ingemanns,Per,174
Jørgen,Per,178
Joppe,Olavia Svendsen,187
Olavias,Per,188
Olavia,Per,188
Joppe,Olavia,188
Ole,Per,196
Faust,Mefistofeles,199
Margrethe,Mefistofeles,199
Holberg,Spielhagens,201
Per,Spielhagens,201
Marie Grubbe,Per,202
Olavia,Per,202
Kong Davids,Kong Salomons,203
Poul Strøm,Øberg,208
Svend Hansen,Øberg,208
Stig Høg,Svend Hansen,208
Levvel,Stig Høg,211
Levvel,Stig Høg,211
Engelke,Per,213
Ole,Per,213
Engelke,Joppe,217
Erik Berg,Joppe,217
Blum,Ole,220
Blum,Ole,222
Engelke,Ole,223
Blum,Ole,226
Joppe,Ole,227
Joppe,Ole o,227
Joppe,Zillen,230
Joppe,Ole,230
Ole,Zillen,231
Ole,Zillen,231
Joppe,Ole,236
Engelke,Joppe,236
Engelke,Ole,236
Blum,Ole Kjærlund,238
Blum,Per,238
Ole,Per,238
Ole,Per,238
Ole,Per,238
Engelke,Per,239
Engelke,Ole Kjærlund,239
Ole,Per,241
Joppe,Ole,241
Engelke,Ole,245
Joppe,Ole,246
Joppe,Ole,249
Engelke,Per,252
Joppe,Per,255
Engelke,Per,255
Joppe,Per,256
Joppe,Per,256
Engelke,Per,263
Lille Joppe,Per,265
Engelke,Per,265
Blum,Joppe,266
Blum,Ole,266
Joppe,Ole,267
Engelke,Ole,269
Engelke,Ole,269
Ole,Per,270
Engelke,Ole,270
Engelke,Per,273
Engelke,Per,278
Engelke,Joppe,278
Ole,Per,279
Ole,Per,279
Ole,Per,279
Blum,Per,279
Blum,Ole,279
Ole,Per,279
Blum,Per,280
Ole,Per,280
Ole,Per,280
Hans,Per,282
Blum,Per,284
Blum,Per,284
Engelke,Per,285
Engelke,Per,286
Engelke,Ole —,287
Engelke,anO,287
Blum,Engelke,290
Engelke,lille Fa’,291
Engelke,Per,291
Per,Zillen,294
Gud,Kristus,302
Engelke,Ole,303
Gud,Ole,305
Hamberg,yar,307
ban,yar,307
Gud,Holberg,308
Hamberg,Vorherre,312
Ole,Vorherre,312
Engelke,Per,313
Engelke,Joppe,314
Ole,Zillen,316
Engelke,Per,317
Dandees,hans,322
Gud,t,333
John,t,333
John,Joppe,335
Georg Brandes,Taine,336
Georg Brandes,Joppe,336
Engelke,Per,342
Joppe,Per,342
Joppe,Olufa,342
