Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Gravenhorsts,0,0,0,0,2,0.02,2,0.01,2,0.02,0.02,0.04,0.01,0.04
Johanne Alslev,0,0,0,0,8,0.15,13,0.11,8,0.15,0.21,0.44,0.01,0.04
Gyldenskjolds,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Andreas Borch,0,0,0,0,15,0.29,52,0.47,15,0.29,0.21,0.44,0.06,0.21
theol. Karl Hellmann,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Alslev,0,0,0,0,4,0.06,5,0.04,4,0.06,0.09,0.19,0.01,0.04
Karl Hellmann,0,0,0,0,49,1.0,92,0.84,49,1.0,0.48,1.0,0.28,1.0
Borch,0,0,0,0,14,0.27,35,0.31,14,0.27,0.25,0.52,0.04,0.14
Hellmann,0,0,0,0,11,0.21,24,0.21,11,0.21,0.17,0.35,0.07,0.25
Karl,0,0,0,0,15,0.29,25,0.22,15,0.29,0.23,0.48,0.03,0.11
Andreas,0,0,0,0,8,0.15,13,0.11,8,0.15,0.19,0.4,0.01,0.04
Smidt,0,0,0,0,2,0.02,2,0.01,2,0.02,0.08,0.17,0.0,0.0
hans,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Karl —,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Skaal,0,0,0,0,3,0.04,4,0.03,3,0.04,0.12,0.25,0.0,0.0
Johanne,0,0,0,0,31,0.62,109,1.0,31,0.62,0.35,0.73,0.19,0.68
Ambra,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Karl Forstmanden,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
.Karl Hellmann,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Platons,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Madam Alslev,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Peter Alslev,0,0,0,0,4,0.06,4,0.03,4,0.06,0.03,0.06,0.01,0.04
Malviria Orbech,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Eader,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Goethes,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Schillers,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.01,0.04
Madame de,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.01,0.04
Victor Hugo,0,0,0,0,5,0.08,5,0.04,5,0.08,0.02,0.04,0.04,0.14
Alfred de Vignys,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Malvina,0,0,0,0,1,0.0,3,0.02,1,0.0,0.04,0.08,0.0,0.0
Mama,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
kjøn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
t,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.02,0.07
vina Alslev,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.01,0.04
Borrings,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.01,0.04
Peder Hjorts,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gaasen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Søren Kierkegaard,0,0,0,0,2,0.02,2,0.01,2,0.02,0.04,0.08,0.0,0.0
Gravenhorst,0,0,0,0,5,0.08,5,0.04,5,0.08,0.06,0.12,0.01,0.04
Gud,0,0,0,0,17,0.33,28,0.25,17,0.33,0.24,0.5,0.06,0.21
Hr. Borch,0,0,0,0,1,0.0,3,0.02,1,0.0,0.04,0.08,0.0,0.0
Johannes Røst,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Stundum,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Goethe,0,0,0,0,4,0.06,4,0.03,4,0.06,0.04,0.08,0.03,0.11
Tanz,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Fahlgren,0,0,0,0,3,0.04,5,0.04,3,0.04,0.08,0.17,0.0,0.0
Aurelia,0,0,0,0,6,0.1,9,0.07,6,0.1,0.16,0.33,0.0,0.0
l’,0,0,0,0,2,0.02,2,0.01,2,0.02,0.06,0.12,0.0,0.0
Frøken Aurelia,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Birthe,0,0,0,0,7,0.12,11,0.09,7,0.12,0.16,0.33,0.01,0.04
Candidatus philosophiæ,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Fru Alslev,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Frøken Fahlgren,0,0,0,0,2,0.02,3,0.02,2,0.02,0.06,0.12,0.0,0.0
Alma,0,0,0,0,3,0.04,3,0.02,3,0.04,0.04,0.08,0.02,0.07
Stjernes,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.01,0.04
Henrik,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.01,0.04
Else,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Hagbarth,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Signe,0,0,0,0,2,0.02,2,0.01,2,0.02,0.05,0.1,0.01,0.04
lille Johanne,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Frøken,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
M. Alslev,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
P. Alslevs,0,0,0,0,3,0.04,4,0.03,3,0.04,0.07,0.15,0.0,0.0
Graad,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Gosens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Pak,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Tante,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Griesbachs,0,0,0,0,2,0.02,2,0.01,2,0.02,0.05,0.1,0.01,0.04
KAI,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Abailard,0,0,0,0,4,0.06,4,0.03,4,0.06,0.0,0.0,0.02,0.07
Arnold,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.0,0.0
Francesco,0,0,0,0,3,0.04,3,0.02,3,0.04,0.0,0.0,0.01,0.04
Franciscus,0,0,0,0,3,0.04,3,0.02,3,0.04,0.0,0.0,0.0,0.0
Kristus,0,0,0,0,6,0.1,6,0.05,6,0.1,0.01,0.02,0.08,0.29
HeloTse,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.03,0.11
Morten Luther,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.0,0.0
Tante Aurelia,0,0,0,0,3,0.04,3,0.02,3,0.04,0.08,0.17,0.0,0.0
Conferenceraad Fahlgren,0,0,0,0,1,0.0,4,0.03,1,0.0,0.03,0.06,0.0,0.0
Birthe Mogensdatter,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Carl,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Aurelia P. de Fahlgren,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
G. A. Weis,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Aurelia Petronella de Fahlgren,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Weis,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Frøken de Fahlgren,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
de Fahlgrens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Hr. Heilmann,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Holk,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Kaptejn Holk,0,0,0,0,4,0.06,4,0.03,4,0.06,0.1,0.21,0.01,0.04
Hr. Hellmann,0,0,0,0,3,0.04,3,0.02,3,0.04,0.03,0.06,0.02,0.07
Husum,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.02,0.07
Bismarck,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Napoleon,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Nielsen,0,0,0,0,2,0.02,2,0.01,2,0.02,0.01,0.02,0.01,0.04
hem,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Michael Wiehe,0,0,0,0,2,0.02,2,0.01,2,0.02,0.05,0.1,0.01,0.04
