Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Hans,0,0,0,0,14,1.0,22,1.0,14,1.0,0.48,1.0,0.38,1.0
Sissy,0,0,0,0,9,0.62,13,0.57,9,0.62,0.36,0.75,0.16,0.42
Papa,0,0,0,0,3,0.15,4,0.14,3,0.15,0.18,0.38,0.0,0.0
skjels,0,0,0,0,2,0.08,2,0.05,2,0.08,0.11,0.23,0.0,0.0
gud,0,0,0,0,6,0.38,12,0.52,6,0.38,0.26,0.54,0.07,0.18
mama,0,0,0,0,7,0.46,14,0.62,7,0.46,0.34,0.71,0.03,0.08
papa,0,0,0,0,4,0.23,7,0.29,4,0.23,0.19,0.4,0.01,0.03
Petter,0,0,0,0,8,0.54,10,0.43,8,0.54,0.2,0.42,0.34,0.89
Rudolph,0,0,0,0,3,0.15,4,0.14,3,0.15,0.15,0.31,0.0,0.0
Hansegutten,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
hei fallera,0,0,0,0,2,0.08,2,0.05,2,0.08,0.02,0.04,0.02,0.05
Lina,0,0,0,0,3,0.15,4,0.14,3,0.15,0.09,0.19,0.06,0.16
Vilhelmsen,0,0,0,0,2,0.08,2,0.05,2,0.08,0.04,0.08,0.02,0.05
lian,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Sverdrup,0,0,0,0,5,0.31,5,0.19,5,0.31,0.05,0.1,0.25,0.66
gutten,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
paany,0,0,0,0,2,0.08,2,0.05,2,0.08,0.0,0.0,0.02,0.05
Lissy,0,0,0,0,9,0.62,14,0.62,9,0.62,0.35,0.73,0.1,0.26
Karl Johan,0,0,0,0,2,0.08,2,0.05,2,0.08,0.07,0.15,0.02,0.05
Hans Witt,0,0,0,0,2,0.08,2,0.05,2,0.08,0.05,0.1,0.04,0.11
Knud Abrehamsen,0,0,0,0,6,0.38,8,0.33,6,0.38,0.27,0.56,0.09,0.24
Taus,0,0,0,0,2,0.08,2,0.05,2,0.08,0.09,0.19,0.02,0.05
stur,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
guldaldren,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Brun,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Janson,0,0,0,0,2,0.08,2,0.05,2,0.08,0.0,0.0,0.0,0.0
Bjørnson,0,0,0,0,2,0.08,2,0.05,2,0.08,0.0,0.0,0.0,0.0
Elias,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gambetta,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Danton,0,0,0,0,2,0.08,2,0.05,2,0.08,0.02,0.04,0.08,0.21
Robespierre,0,0,0,0,2,0.08,3,0.1,2,0.08,0.0,0.0,0.06,0.16
Marat,0,0,0,0,2,0.08,3,0.1,2,0.08,0.0,0.0,0.04,0.11
Stakkars,0,0,0,0,3,0.15,3,0.1,3,0.15,0.08,0.17,0.1,0.26
Arentzen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
vors,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gud,0,0,0,0,2,0.08,2,0.05,2,0.08,0.01,0.02,0.02,0.05
Henrik Wergeland,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Brandes,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Bismarck,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Plougs,0,0,0,0,2,0.08,2,0.05,2,0.08,0.07,0.15,0.02,0.05
Richards,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Lucy,0,0,0,0,2,0.08,2,0.05,2,0.08,0.0,0.0,0.1,0.26
Valborg,0,0,0,0,2,0.08,2,0.05,2,0.08,0.0,0.0,0.08,0.21
