Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Odins,0,0,0,0,2,0.02,2,0.0,2,0.02,0.07,0.15,0.0,0.0
Rinda,0,0,0,0,62,1.0,378,0.97,62,1.0,0.46,1.0,0.5,1.0
Marie,0,0,0,0,49,0.79,390,1.0,49,0.79,0.38,0.83,0.33,0.66
Kerner,0,0,0,0,3,0.03,5,0.01,3,0.03,0.08,0.17,0.0,0.0
Præsfegaard,0,0,0,0,2,0.02,2,0.0,2,0.02,0.04,0.09,0.0,0.0
Frøken Fos,0,0,0,0,3,0.03,3,0.01,3,0.03,0.06,0.13,0.0,0.0
Lille Maries,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
Gud,0,0,0,0,12,0.18,38,0.1,12,0.18,0.17,0.37,0.02,0.04
Præsfen,0,0,0,0,5,0.07,5,0.01,5,0.07,0.09,0.2,0.02,0.04
fig,0,0,0,0,2,0.02,2,0.0,2,0.02,0.04,0.09,0.0,0.0
,0,0,0,0,5,0.07,6,0.01,5,0.07,0.09,0.2,0.0,0.0
Nimbus,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Doris,0,0,0,0,6,0.08,25,0.06,6,0.08,0.1,0.22,0.02,0.04
Anton,0,0,0,0,8,0.11,34,0.08,8,0.11,0.13,0.28,0.02,0.04
Gerhard,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Clausen,0,0,0,0,4,0.05,4,0.01,4,0.05,0.11,0.24,0.0,0.0
hæn,0,0,0,0,2,0.02,4,0.01,2,0.02,0.04,0.09,0.02,0.04
Karl,0,0,0,0,1,0.0,2,0.0,1,0.0,0.0,0.0,0.0,0.0
Bergvaldt,0,0,0,0,36,0.57,205,0.52,36,0.57,0.32,0.7,0.23,0.46
Hr. Bergvaldt,0,0,0,0,2,0.02,3,0.01,2,0.02,0.05,0.11,0.0,0.0
hnn,0,0,0,0,9,0.13,14,0.03,9,0.13,0.15,0.33,0.03,0.06
Heibergs,0,0,0,0,2,0.02,2,0.0,2,0.02,0.02,0.04,0.0,0.0
Klara,0,0,0,0,2,0.02,2,0.0,2,0.02,0.03,0.07,0.0,0.0
Marie strax,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
Kantor Bruun,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
Gerhardt,0,0,0,0,18,0.28,77,0.2,18,0.28,0.22,0.48,0.07,0.14
ester,0,0,0,0,4,0.05,6,0.01,4,0.05,0.09,0.2,0.0,0.0
