source,target,timestamp
Inger,Karen,3
Inger,Karen,7
Jørgen,Niels,28
Jørgen,Niels,38
Jørgen,Niels,38
Jørgen,Niels,38
Jørgen,Karen,39
Gustav,Jørgen,41
Gustav,Jørgen,41
Gustav,Jørgen,41
Gustav,Karen,43
Jørgen,Karen,43
Gustav,Jørgen,43
Gustav,Karen,44
Jørgen,Karen,44
Gustav,Jørgen,44
Gustav,Skovpeters,45
Kristian,Skovpeters,45
Jørgen,Kristian,45
Jørgen,Karen,45
Jørgen,Karen,45
Jørgen,Niels,47
Jørgen,Niels,48
Ellen,Jørgen,51
Ellen,Jørgen,51
Jørgen,Karl,51
Ellen,Jørgen,52
Karen,Niels,53
Jørgen,Karen,53
Jørgen,Karen,53
Karen,Niels,53
Ellen,Jørgen,56
Ellen,Gustav,58
Gustav,Karen,58
Gustav,Jørgen,59
Gustav,Karen,59
Gustav,Jørgen,60
Jørgen,Niels,69
Jørgen,Karen,70
Inger,Karen,70
Gustav,Inger,70
Ellen,Jørgen,71
Ellen,Jørgen,71
Jørgen,Karl,71
Ellen,Inger,72
Ellen,Inger,72
Jørgen,Niels,74
Inger,Niels,75
Inger,Jørgen,75
Inger,Karen,76
Inger,Karen,76
Jørgen,Karen,76
Jørgen,Karen,77
Karen,Rilen,77
Jørgen,Rilen,77
Inger,Jørgen,77
Ellen,Inger,77
Ellen,Inger,77
Inger,Niels,77
Inger,Niels,77
Inger,Niels,77
Inger,Niels,78
Gustav,Jørgen,79
Gustav,Niels,79
Jørgen,Niels,79
Gustav,Jørgen,79
Gustav,Niels,80
Gustav,Niels,80
Karl,Niels,80
Gustav,Niels,81
Gustav,Niels,81
Gustav,Jørgen,81
Jørgen,Niels,81
Gustav,Niels,81
Gustav,Niels,81
Gustav,Niels,81
Gustav,Niels,81
Gustav,Inger,83
Gustav,Karen,89
Jørgen,Karen,89
Gustav,Jørgen,89
Gustav,Inger,89
Gustav,Jørgen,92
Gustav,Jørgen,93
Jørgen,Niels,93
Gustav,Niels,97
Jørgen,Niels,101
Inger,Niels,102
Inger,Jørgen,102
Jørgen,Niels,104
Jørgen,Niels,105
Jørgen,Karen,105
Inger,Karen,105
Ellen,Karen,107
Ellen,Jørgen,107
Jørgen,Niels,107
Jørgen,Karen,112
Gustav,Karen,112
Gustav,Karen,112
Gustav,Inger,113
Ellen,Inger,114
Ellen,Inger,114
Ellen,Inger,115
Karen,Niels,116
Jørgen,Niels,116
Jørgen,Niels,119
Gustav,Jørgen,120
Gustav,Karen,120
Inger,Karen,120
Inger,Karen,122
Gustav,Karen,123
Karen,Niels,134
Inger,Karen,135
Ellen,Inger,137
Ellen,Jørgen,138
Inger,Karen,145
Inger,Karen,149
Inger,Jørgen,149
Ellen,Karen,150
Ellen,Inger,150
Ellen,Inger,153
Jørgen,Karen,155
Jørgen,Niels,157
Jørgen,Niels,157
Inger,Karen,160
Inger,Niels,161
Inger,Jørgen,163
Jørgen,Karen,163
Jørgen,Karen,167
Inger,Karen,178
Inger,Jørgen,179
Inger,Karen,179
Inger,Karen,182
Inger,Jørgen,184
Jørgen,Karen,184
Inger,Jørgen,185
Jørgen,Karen,195
Gustav,Jere,196
Jere,Karen,196
Inger,Karen,196
Jørgen,Karen,198
Jørgen,Karen,198
Inger,Karen,202
Jørgen,Karl,205
Ellen,Jørgen,206
Ellen,Karen,206
Gustav,Jørgen,208
Ellen,Jørgen,208
Ellen,Karen,208
Gustav,Karen,208
Gustav,Jørgen,209
Ellen,Jørgen,214
Jørgen,Karen,214
Ellen,Karen,214
Ellen,Jørgen,228
Ellen,Karen,228
Ellen,Karen,229
Ellen,Jørgen,230
Ellen,Karen,232
Ellen,Karen,232
Jørgen,Karen,234
Gustav,Karen,236
Gustav,Lykkeslotte,236
Karen,Karlen,237
Gustav,Karlen,237
Jørgen,Karen,239
Gustav,Karen,239
Gustav,Karen,239
Gustav,Karlen,240
Gustav,Jørgen,242
Gustav,Jørgen,246
Gustav,Karen,250
Jørgen,Karen,250
Jørgen,Karen,250
Gustav,Karen,250
Gustav,Jørgen,255
Gustav,Jørgen,255
Gustav,Jørgen,255
Jørgen,Karlen,255
Jørgen,Karlen,255
Gustav,Jørgen,255
Gustav,Jørgen,255
Gustav,Jørgen,256
Gustav,Karlen,257
Jørgen,Karlen,257
Jørgen,Karen,264
Gustav,Jørgen,273
Gustav,Karen,286
Gustav,Karen,286
Gustav,Karen,286
Gustav,Karen,289
Gustav,Karen,289
Gud,Karen,293
Jørgen,Karl,310
Gustav,Jørgen,312
Niels,s,316
Niels,s,316
Ellen,Jørgen,318
Jørgen,Karen,322
Gustav,Jørgen,348
Gustav,Jørgen,365
Gustav,Karl,368
Gustav,Jørgen,369
Gustav,Jørgen,372
Gustav,Jørgen,373
Gustav,Jørgen,395
Gustav,Jørgen,395
Karen,Niels,408
