source,target,timestamp
Olaf,Olafs,3
Olaf,Olaf Holm,4
Olaf,Olaf Holm,4
Marie,Olaf,6
Marie,Olaf,7
Marie,Olaf,8
Marie,Olaf,9
Marie,Olaf,9
Marie,Olaf,16
Anker,Olaf,18
Marie,Olaf,21
Marie,Olaf,21
Marie,Olaf,24
Henriksen,Olaf,29
Erik,Olaf,31
Lectierne,Rahben,37
Olaf,Rahben,37
Amy,Olaf,45
Amy,Olaf,49
Amy,Olaf,49
Amy,Olaf,54
Amy,Olaf,56
Amy,Barner,65
Barner,Olaf,65
Amy,Olaf,80
Olaf,knudret,82
Eva Vimmer,Henrik Vimmer,90
Milla,Vimmer,92
Cederstrøm,Ingeborg,94
Cederstrøm,Karl »,94
Olaf,Vimmer,97
Holm,Olaf bode,98
Hr. Holm,Olaf bode,98
Hr. Holm,Olaf,98
Olaf,Vimmer,100
Milla,Olaf,102
Milla,Plejl,104
Milla,Olaf,109
Olaf,Plejl,115
Milla,Olaf,120
Milla Vimmer,Olaf,121
Milla Vimmer,Olaf,121
Milla,P'ra,123
Milla,boquet,123
Beethoven,Schumann,128
Milla,Vimmer,129
Milla,Rikke,129
Milla,Olaf,130
Milla,Olaf,130
Bangs,Ella Bang,131
Bangs,Ella,131
Bang,Ella,131
Bang,Gud,131
Gud,Milla,131
Ella,Milla,131
Milla,Olaf,135
Holm,Milla,136
Milla,Olaf,140
Milla,Olaf,143
Milla,Olaf,143
Holm,Milla,145
Holm,Milla,145
Hanne,Larsen,147
Milla,Olaf,153
Milla,Olaf,155
Milla,Olaf,157
Olaf,Sigar,159
Amy,Sigar,159
Milla,Olaf,161
Milla,Olaf,161
Gud,Olaf,163
Gud,Milla,168
Milla,Plejl,175
Milla,Plejl,175
Milla,Olaf,184
Barner,Olaf,199
Emma,Milla,201
Emma,Hansen,201
Hansen,Milla,201
Graad,Olaf,202
Milla,Olaf,205
Bang,Milla pines,207
Ella,Ella Bang,208
Ella,Milla,208
Olaf,Vimmer,209
