source,target,timestamp
Haltola,Jesus,8
Haltola,triner,12
Svend,triner,12
Haltola,Svend,12
Haltola,Skjøiteberthe,14
Berthe,Per,15
Berthe,Guds,18
Berthe,Ola,24
Doren,Omeyers,28
Ane,Haltoles,38
Ane,Skakke,43
Ane,Sivertsen,53
Ane,Stakkar,53
Sivertsen,wilde,55
Espedal,Sivertsen,57
Ane,Espedal,66
Espedal,Guds,68
Ane,Sivertsen,70
Espedal,Sivertsen,70
Espedal,Jes,70
Ane,Ane Olsen,71
Espedal,Sivertsen,73
Espedal,Jesus,73
Ane,Jesus,74
Ane,Jesu,75
Haltoles,Skøiteberthes,76
Pastoren,Tina,79
Ane,Espedal,82
Espedal,Gud,84
Espedal,Moses,85
Espedal,Gud,88
Ane,frank,89
Gud,Nische,91
Ane,Jesu,94
Ane,Jesu,94
Ane,Jesu,94
Ane,Jesu,96
Ane,eg,111
Ane,Anton,121
Ane,Anton,121
Ane,Anton,122
Anton,ifjor,125
Anton,hans,132
Adam,Anton,132
Ane,Anton,135
Ane,Anton,135
Ane,Anton,135
Ane,Anton,135
Ane,Gud,144
Ane,Anton,145
Ane,Anton,148
Ane,Svøbestad,149
Ane,Ribes,165
Anton,Omeyer,166
Adam,Espedal,168
Espedal,Gud,173
Ane,Anton,183
Anton,eg,184
Anton,øs,195
Ane,Anton,198
Ane,Anton,199
Anton,Endre,202
Ane,Endre,203
Anton,Anton min,205
Anton,Anton min,205
Ane,hans,209
Anton,bent,213
-,Ane,219
-,Anton,219
Ane,Anton,222
Ane,Anton,224
Ane,Gertrud,224
Ane,Jesu,225
Anton,Jesu,225
Ane,Anton,228
Ane,Anton,229
Ane,Anton,231
Ane,bentud,231
Jesu,bentud,231
Anton,hans,233
Anton,Madam,233
Ane,Madam,233
Bertel,Jomfru Olsen,234
Ane,Bertel,235
Bertel,Haltola,240
Haltola,Skjøiteberthe,240
Ane,Anton —,242
Anton hin,Anton —,242
Anton,Anton hin,242
Gud,Omeyer,244
Peder Bastis,Rasmus Claudi,247
Erik Leganger,Rasmus Claudi,247
Monsen,Paulsen,251
Ane,Anton,268
Anton,Gud,273
Ane,Gud,275
Ribes,Vold,281
Anton,Ribes,281
Anton,Sine,282
eg,hans Berdines,291
Eg,Stytten,293
Stytten,eg,293
Anton,Mikkel Graver,295
Anton,Mikkel Graver,295
Gud,Petrus,300
Ane,Anton Ribes,311
Ane,Anton,311
Peder Bast,Rasmus Claudii,313
Arilds,Rasmus Claudii,313
Arilds,Peder Bast,313
Anton Ribe,Testators,314
Funtus,Gud,318
Espedalen,Inger Marria,320
Espedal,Inger Marria,321
Inger Marria,kern,322
Gud,Inger Marria,322
Espedal,Omeyer,326
Ane,Espedal,328
Ane,Espedal,328
Berthe,Haltola,331
Ane,Lilleoles,334
Espedal,Haltole,335
Ane,Kristum,336
Ane,Gud,339
Anton,stakkar,340
Espedal,Lilleoles,341
Espedal,Omeyer,343
Espedal,Gud,345
Gud,Jesu,345
Gud,Jesu,345
Ane,Gud,346
Ane,Gud,348
Ane,Gud,348
Espedal,Gud,349
Ane,Espedal,349
Gutten,Ole,353
Ane,Ole,358
Ane,Anton,368
Ane,Gutten,368
Karoline,Ole,372
Ole,totally,376
Consulent,Ole,377
Anton,stakkar,384
stakkar,totally wreck,384
Eg,stakkar,385
Anton,Ole,386
Karoline,Ole,391
Anton,Karoline,393
Ane,Madam Ribe,398
Ane,Gud,409
Ane,Gud,418
Ane,Gud,418
Espedal,Gud,419
Ane,Espedal,419
Ane,Christum,419
Ane,eg,420
Ane,Ane skjalv,423
Ane,Omeyer,425
Mikkel,Mo’,426
Mikkel,Mo’,426
Ane,O,429
Ole,Omeyer,431
Anton,Ole,445
Gud,Omeyer,452
Ane,Anton,455
Anton,Gud,455
Gud,Jesu,455
Gud,insides,460
Gud,Rasmus,460
Ole Ribe,Rasmus,460
Ane,Omeyer,464
Ane,Gud,466
Ane,Gud,466
Ane,Omeyer,468
Ane,Anton,469
Ane Ribe,Tina,471
Mora,hans,476
Omeyer,Tina,480
Ane,Ane Ribe,484
Ane,eg,486
Gud,Tina,488
Omeyer,Tina,491
Fogdens,Karl,493
Omeyer,Tina,502
