source,target,timestamp
Henrik Gerhard,Ove Overgaard,8
Anna,Gerhard — Henrik Gerhard,13
Gerhard — Henrik Gerhard,Kirchhoff,13
Chr. Winther,Henrik Gerhard,15
Gerhard,Kirchhoff,20
Brynjulfsen,Kirchhoff,20
Brynjulfsen,Ulf Brynjulfsen,20
Henrik Gerhard,Ove Overgaard,21
Gerhard,Overgaard,23
Gerhard,Overgaard,24
Grundtvig,Overgaard,25
Askov,Grundtvig,25
Askov,Bjørnsons,25
Brynjulfsen,Overgaard,33
Brynjulfsen,Overgaard,35
Brynjulfsen,Gerhard,37
Gerhard,Overgaard,37
Gerhard,Overgaard,37
Brynjulfsen,Gerhard,38
Gerhard,Overgaard,38
Henrik Gerhard,Skaal,49
Brynjulfsen,Henrik Gerhard,49
Brynjulfsen,Gerhard,49
Gerhard,Nørager,49
Brynjulfsen,Gerhard,50
Brynjulfsen,Gerhard,54
Gerhard,Ulf,54
Bentzen,Henrik Gerhard,56
Bentzen,Gerhard,57
Brynjulfsen,Gud,61
Gud,Seid umschlungen,61
Nørager,Overgaard,62
Mercutio,Overgaard,63
Heibergs,Nørager,65
Overgaard,Ulf,69
Gerhard,Overgaard,74
Frøken Kirchhoff,Marine,81
Anna,Frøken Kirchhoff,82
Henrik Gerhard,Øhlenschlægers,90
Brynjulfsen,Overgaard,94
Brynjulfsen,Overgaard,94
Gerhard,H—,95
Brynjulfsen,Gerhard,96
Gerhard,Kong Frederik den Sjette,98
Brynjulfsen,Overgaard,101
Brynjulfsen,Gerhard,102
Overgaard,Ulf,103
Brynjulfsen,Kristiern,107
Gerhard,Kristian,108
Gerhard,Overgaard,109
Brynjulfsen,Overgaard,111
Brynjulfsen,Gerhard,111
Brynjulfsen,Overgaard,115
Brynjulfsen,Gretchen,120
Gretchen,Heinrich Faust,120
Faustus,Overgaard,121
Gerhard dér,Overgaard,121
Brynjulfsen,Gerhard,127
Gerhard,Overgaard,128
Brynjulfsen,Gerhard,128
Gerhard,Naturel,130
Gerhard,Overgaard,131
Gerhard,Ulf,131
Gerhard,Overgaard,132
Ove,Skaal,135
Ove,Skaal,135
Henrik Gerhard,Skaal,135
Josef Achlaitner,Zither,136
Gerhard,Zither,136
Overgaard,Ulf,137
Gerhard,Overgaard,137
Tys,Ulf,138
Ove,jeo,139
Brynjulfsen,Overgaard,143
Brynjulfsen,Gerhard,143
Brynjulfsen,Faust,145
Overgaard,ganz kanibalisch wohl,146
Brynjulfsen,Gerhard,154
Overgaard,Ulf,157
Brynjulfsen,Overgaard,157
Brynjulfsen,Gerhard,157
Gerhard,paar,157
Dianas,livis,160
Overgaard,Ulf,163
Frøken Edita Ravn,Overgaard,165
Brynjulfsen,Gerhard,166
Sakuntala,Tornerose,167
Brynjulfsen,Edith,169
Brynjulfsen,Overgaard,169
