source,target,timestamp
Aagot,pappa,2
Aagot,pappa,2
Helga Jebe,pappa,16
Jebes,kjødkage,17
Jebe,frøken Aagot,19
Aagot,Helga,24
Aagot,Helga,26
Helga,eg,26
Aagot,Helga,27
Aagot,Helga,27
Aagot,Helga,31
Helga,adieu,32
jungfru Brehme,øfverantvarda,42
Laurent,Lilli,43
Brehme,Laurent,43
skrida,vara,46
Karlen,madame,61
Karlen,Moses,73
Karlen,Moses,73
Claude,madame,74
Claude,jøses,84
Claude,Ninni,88
Claude,Ninni,93
Claude,Ninni,98
Anne,Elisabeth Bernstein,101
Anne,dr. Moe,101
Bernstein,Stina,102
Bernstein,Tilhøire,103
Fru Bernstein,Stina,112
J,Stina,114
Moe,Skaal,177
Moe,Stina,202
Moe,hensunken,206
Moe,Skaal,261
gud,véd,263
gud,lampa,294
Moe,dr. Moe,301
Anne,Moe,302
Anne,Moe,325
Anne,Gud,357
Anne,Bernstein,359
Frau Elisas,Isaak,362
Coqueli,keg,386
Coqueli,Felicie,386
Coqueli,Irma,391
Coqueli,mama,391
Irma,papa,393
Coqueli,mama,394
Irma,keg,400
Felicie,keg,400
Coqueli,Irma,402
Felicie,Irma Coquelicots,405
Berits,Gunner,406
Berit,a.,419
Berit,Gunner,419
Berit,Gunner,422
Gunner,askegraa,427
Berit,Jesus,428
Berit Røisas,Gunner,429
Berit,Gunner,437
Berit,Gunner,438
Berit,Gunner,439
Gunner,gud,439
Emil,Flan,450
Emil,paany,467
Marianne,Simon Pedersen Tolgen,470
Clara,Stuart Miil,479
gud,véd,500
Georg,véd,500
Georg,fille,505
André,Josephine,510
Claire,Mariette,515
Josephine,gud,520
Josephine,gud,520
Mariette,gud,532
Mariette,madame,535
Claire,Josephine,536
Mariette,madame,539
Josephine,Mariette,539
Josephine,beaf,539
Josephine,adiø,551
Suzanne,Suzannes,557
Stakkars,Suzanne,558
