source,target,type,weight
Baldur Borgen,Harald Licht,Undirected,3
Harald Licht,Licht,Undirected,1
Harald,Harald Licht,Undirected,3
Baldur,Harald,Undirected,75
El Ole,Wulff,Undirected,2
Baldur,Wulff,Undirected,16
Albu,Baldur,Undirected,2
Harald,Wulff,Undirected,17
Licht,lille Rasmussen,Undirected,1
Hother,Wulff,Undirected,8
Baldur,Haraids,Undirected,6
Haraids,Hother,Undirected,1
Baldur,eins,Undirected,1
Harald,Hother,Undirected,7
Britha Licht,Harald Licht,Undirected,1
Ammonsen,Britha,Undirected,2
Frk. Mynster,Hr. Ammonsen,Undirected,1
Frøken Mynster,Hr. Ammonsen,Undirected,1
Britha,Frk. Mynster,Undirected,6
Ammonsen,Frk. Mynster,Undirected,1
Britha,Mynster,Undirected,8
Britha,Gud,Undirected,5
Britha Licht,Licht,Undirected,1
Frøken Licht,Mynster,Undirected,1
Britha,Otto,Undirected,1
Frk. Mynster,Harald Licht,Undirected,1
Baldur,Harald Licht,Undirected,5
Baldur,Licht,Undirected,18
Baldur,senior,Undirected,1
Licht,senior,Undirected,1
Baldur,Sirtses,Undirected,1
Schawl,Sirtses,Undirected,1
Baldur,allenfals,Undirected,6
Baldur,Hoffmanns,Undirected,2
Baldur,Britha,Undirected,116
Baldur,Pjerrot,Undirected,1
Faders,Pjerrot,Undirected,1
Clemmensen,Faders,Undirected,1
Britha,Harald,Undirected,53
Harald,Licht,Undirected,6
Harald,Mikkelsen,Undirected,6
Baldur,Harald strax,Undirected,1
Astrid,Harald,Undirected,5
Harald,Mehr,Undirected,1
Baldur.-,Licht,Undirected,1
Baldur.-,Britha,Undirected,1
Britha,Mesters,Undirected,2
Licht,Mesters,Undirected,1
Astrid,Baldur,Undirected,16
Clemmensen,Harald,Undirected,9
Britha,Licht,Undirected,8
Licht,paany,Undirected,1
Astrid,Britha,Undirected,17
Astrid,Pascha,Undirected,1
Baldur,Harald —,Undirected,1
Frøken Gedehams,Harald,Undirected,1
