Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
H. M.,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Kong Frederik den Femtes,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.03,0.01,0.07
Christian den,0,0,0,0,6,0.17,6,0.05,6,0.17,0.05,0.13,0.03,0.21
lian,0,0,0,0,11,0.34,14,0.14,11,0.34,0.17,0.45,0.05,0.36
Hildegard von Eimcke-Asseburg,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.05,0.01,0.07
Komtessen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Marie-Louise,0,0,0,0,30,1.0,94,1.0,30,1.0,0.38,1.0,0.12,0.86
liun,0,0,0,0,6,0.17,7,0.06,6,0.17,0.14,0.37,0.01,0.07
Julie,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.11,0.0,0.0
Madam Kinckel,0,0,0,0,16,0.52,25,0.26,16,0.52,0.23,0.61,0.14,1.0
Mamsel,0,0,0,0,14,0.45,22,0.23,14,0.45,0.22,0.58,0.02,0.14
Mademoiselle Rosette,0,0,0,0,2,0.03,2,0.01,2,0.03,0.06,0.16,0.0,0.0
Die kleine,0,0,0,0,2,0.03,2,0.01,2,0.03,0.05,0.13,0.0,0.0
Christine Thorsen,0,0,0,0,4,0.1,4,0.03,4,0.1,0.09,0.24,0.0,0.0
Cook,0,0,0,0,2,0.03,2,0.01,2,0.03,0.05,0.13,0.0,0.0
Mamsel Sacy,0,0,0,0,13,0.41,19,0.19,13,0.41,0.25,0.66,0.02,0.14
Sophie Magdalene,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Josias Rantzau,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Palle Rosenkrantz,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.01,0.07
Signor Salvatore Fabris,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.03,0.01,0.07
Frederik den,0,0,0,0,3,0.07,3,0.02,3,0.07,0.03,0.08,0.01,0.07
Julius Cæsar,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.01,0.07
Schrøder,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Francaisen,0,0,0,0,2,0.03,2,0.01,2,0.03,0.06,0.16,0.0,0.0
Christine,0,0,0,0,22,0.72,56,0.59,22,0.72,0.35,0.92,0.1,0.71
Mamsellen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.11,0.0,0.0
Aakander,0,0,0,0,2,0.03,2,0.01,2,0.03,0.06,0.16,0.0,0.0
Jørgen Hagedorn,0,0,0,0,16,0.52,22,0.23,16,0.52,0.25,0.66,0.04,0.29
Jørgen,0,0,0,0,23,0.76,48,0.51,23,0.76,0.32,0.84,0.08,0.57
Støren,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Wilsters,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Hagedorn,0,0,0,0,23,0.76,44,0.46,23,0.76,0.33,0.87,0.1,0.71
von,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
saaMarie-Louise,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Voscherow,0,0,0,0,10,0.31,15,0.15,10,0.31,0.2,0.53,0.01,0.07
Longe,0,0,0,0,2,0.03,2,0.01,2,0.03,0.05,0.13,0.0,0.0
Pallask,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Das,0,0,0,0,4,0.1,4,0.03,4,0.1,0.1,0.26,0.01,0.07
Ali,0,0,0,0,9,0.28,16,0.16,9,0.28,0.19,0.5,0.01,0.07
Bonaparte,0,0,0,0,3,0.07,3,0.02,3,0.07,0.09,0.24,0.0,0.0
Kronprins,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.11,0.0,0.0
Hi,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
.Jørgen Hagedorn,0,0,0,0,2,0.03,2,0.01,2,0.03,0.04,0.11,0.0,0.0
Hr. Dose,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Brava,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Guds,0,0,0,0,2,0.03,2,0.01,2,0.03,0.03,0.08,0.01,0.07
Nachtegall,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.11,0.0,0.0
Seneca,0,0,0,0,1,0.0,2,0.01,1,0.0,0.03,0.08,0.0,0.0
Gud,0,0,0,0,8,0.24,8,0.08,8,0.24,0.1,0.26,0.02,0.14
Mullers,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
H.,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
H. N.,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
M-L.,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Karl,0,0,0,0,4,0.1,4,0.03,4,0.1,0.06,0.16,0.05,0.36
Hansen,0,0,0,0,3,0.07,3,0.02,3,0.07,0.0,0.0,0.01,0.07
mein guter Jurgen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
lille Jurgen,0,0,0,0,4,0.1,4,0.03,4,0.1,0.03,0.08,0.04,0.29
liar zweitausend,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.01,0.07
Meldorff,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.01,0.07
Berg,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.01,0.07
Tabak werth,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
von Teckenburg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Donnerwetter,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
