source,target,timestamp
Bryhne,Gram,1
Bryhne,skakke,1
Gram,Ola,4
Bryhne,Gram,7
Gunnar Flatebø,Inga Flatebø,13
Ervik,Gunnar Flatebø,13
Ervik,Flatebø,13
Ervik,Margrete,30
Halvor,Margrete,31
Ervik,Kristian,32
Morten,Morten Haukenæs,46
Margrete,Morten,46
Inga Flatebø,Margrete,58
Margrete,Svejn,58
Margrete,Svejn,58
Inga,Margrete,58
Gunnar,Inga,59
Inga,Margrete,59
Inga,Margrete,59
Flatebös,Inga,59
Flatebös,Morten Haukenæs,59
Inga,Morten Haukenæs,59
Bryhne,glinste,62
Bryhne,Laura,64
Gram,Laura stansed,72
Bryhne,Gram,72
Gram,Laura,79
Gram,Laura,89
Bryhne,Gram,96
Laura,stræved,97
Bryhne,stræved,97
Laura,Margrete,98
Inga Flatebø,Margrete,98
Bryhne,Laura,99
Laura,plud^lig,106
Gram,bezique,108
Bryhne,bezique,108
Inga Flatebø,Svejn Ervik,112
Inga Flatebø,Margrete,116
Bryhne,Gram,118
Laura,huk,125
Bryhne,Svejn,126
Inga,Margrete,130
Laura,svend,146
Bryhne,Gram,147
Bryhne,Margrete,147
Guds,Laura,152
Gram,Laura,154
Gram,Laura,156
Bryhne,Laura,158
Gram,Laura,159
Bryhne,Laura,159
Laura,snau graastejn,165
Laura,agerriks,166
Hjalmar,Hulda,169
Mrs. Olwock,vims,179
Mr. William,vims,179
Mr. Arthur,Mrs. Maud,180
. Olwock,Mr. Olwock,181
Mr. Olwock,Mrs.,182
Mr. Olwock,Mrs. Olwock,183
Mrs. Mand,Mrs. Olwock,183
Mrs. Mand,whist,183
Mr. Arthur,whist,183
Mr. Arthur,Mr. Olwock,183
Mr. Arthur,Mr. William,184
Bryhne,Gram,188
Bryhne,Mr. Arthur,193
Bryhne,Mr. William,193
Mr. Olwock,Mrs. Olwock stræved,194
Mr. William,Mrs. Olwock stræved,194
Mr. Olwock kremted,Mr. William,197
Mr. Olwock kremted,Mrs. Olwock,197
Mr. Arthur,Mr. William,198
Inga Flatebø,Laura,199
Inga,Laura,208
Maud,Mrs.,216
Maud,Mr. Arthur,216
Mr. Arthur,Mr. William,216
Mr. Arthur,Mr. William,219
Bryhne,schak,226
Mr. William,schak,226
Laura,dilte,231
Bryhne,dilte,231
Gud,Laura,235
Bryhne,Laura,259
Gud,Laura,260
Ellermann,Gud,263
Ellermann,Gram,266
Gud,Laura,268
Bryhne,Gram,273
Ellermann,Laura,277
Gram,Laura,277
Bryhne,Gram,277
Bryhne,Ellermann,277
Svejn,felen,286
Halvor Ervik,felen,288
broren,felen,292
Gud,Laura,301
Ellermann,Laura,303
Mr. Arthur,Mr. William,305
Ellermann,Laura,306
Mr. Arthur,Mr. William,311
Bryhne,Ellermann,312
Ellermann,Laura,312
Gram,Laura,314
Bryhne,Ellermann,318
Laura raved,Svejn,323
Bryhne,Svejn,323
Bryhne,Laura,328
Ellermann,Laura,333
