source,target,timestamp
Rødberg,list,4
Borchgrevink,Rødberg,4
Melhus,Mikkel,6
derborte,ivinter,10
ivinter,ivold,10
Lågene,eins,11
Melhus,Ola,12
eg,kje hr. Hansen,14
eg,kje hr. Hansen,14
Dokkes,eg,15
Eg,eg,17
Fitter,Fredrikke,18
Eg,Fitter,18
Eg,hemenifra,18
hemenifra,hon,18
Fredrikke,hon,18
Fredrikke,hon,18
Rødberg,iland,19
Hansen,iland,19
Borchgrevink,Hansen,19
Korlissen,eg,21
eg,hon,21
Rødberg,hon,21
Melhus,skotted,29
Einar,Todt-,32
Hansen,mamma,38
Einar,mamma,38
Einar,mamma,38
Brinkmans,Mammys,39
Schiller,arne hun,40
Hansen,Schiller,40
Gud,Todtland,43
Fredrikke,stræved,49
Fredrikke,Kornelius Hermansen,52
Ola,snil Hansen,61
Ola,Rødberg,64
Jag seilan,jag,67
Tinka,igåraftes,69
Ritter,Tinka,69
fars,mor,71
Petrine Gundersen,mor,71
Fredrikke,Rødberg,73
Fredrikke,Kornelius,78
Kornelius,Rødberg,78
Fredrikke,Rødberg,78
Fredrikke,Todtland,78
Jakob,Todtland,83
Fitter,Mammy,84
Fitter,Hansen,84
Einar,Mossa,88
Mossa,Rikke,88
Einar,Gutten,89
Kramer,hr. Kramer,91
Borchgrevink,Voss,94
Borchgrevink,Gud,95
Gud,Voss,95
Thea,Voss,95
Thea,fars,95
fars,isommer,95
isommer,whist,95
Mammy,whist,95
Karoline,Mammy,95
Karoline,Mammy,95
Mammy,Thea,95
Karoline,Thea,95
Karoline,stakkar,95
Borchgrevink,Morten Rode,96
Ask,Morten Rode,96
Ask,Morten Rode,96
Morten Rode,Ritter,96
Ritter,hans,96
Fredrikke,hans,96
Karoline,Olaf Trygvasonsskjæg,98
Hansen,Karoline,100
Hansen,Mammy,102
Mammy,Voss,104
A,Hansen,108
Hansen,Mammy,108
Melby,iveien,113
F'redrikke,frøken Olsen,116
Fredrikke,Mammy,119
Borchgrevink,Mammy,119
Fredrikke,Mammy,121
Fetrine Gundersens,Fredrikke,121
Brinkman,kaptein,127
Fredrikke,Mammy,128
Borchgrevink,Fredrikke,128
Borchgrevink,Kramer,128
Borchgrevink,Kramer,132
Ofelia,Voss,133
Monsen,Ofelia,133
Fredrikke,Mammy,136
Borchgrevink,Fredrikke,136
Borchgrevink,Sarah Bernhard,136
Brinkman,Mammy,141
Brinkman,Kramer,145
Borchgrevink,Mammy,146
Borchgrevink,Gud,146
Brinkman,Mammy,149
Einar,Ou est Ribaut,150
Ou est Ribaut,hr. Kramer,150
Borchgrevink,hr. Kramer,152
