source,target,timestamp
Brose,Siewertsen,1
Brose,Jettemor,1
Jettemor,Ulriken,1
Brose,Ulriken,1
Brose,Jettemor,1
Jettemor,Siewertsen,1
Gert Westphaler,Siewertsen,2
Jettemor,gammelost,3
Roquefort,gammelost,3
Brose,Roquefort,3
Brose,Siewertsen,6
Jettemor,Napoleons,7
Napoleons,Thiers,7
Napoleon,Thiers,7
Bernadotte,Napoleon,7
Bernadotte,Ney,7
Siewertsen,høgt,9
Brose,høgt,9
Brose,Petronelle,9
Petronelle,Siewertsen,9
Brose,Jettemor,10
Jette-mor,Jettemor,12
Brose,Jettemor,17
Brose,Jettemor,17
Marius,kelt,18
Marius,Øhlenschlæger,23
Ole Buil,Øhlenschlæger,23
Ole Buil,frøken Jensen,23
Per Kristian,frøken Jensen,23
Per Kristian,Tassos,23
principalens,torret ningsmand,27
Brose,Siewertsen,28
Brose,Siewertsen,28
Brose,Wenche Konow,28
Wenche,Wenche Konow,28
Brose,jomfru Hermansen,29
Brose,jomfru Hermansen,29
Brose,Jomfru Hermansen,29
Jomfru Hermansen,stelle,29
Brose,jomfru Hermansen,30
Brose,jomfru Hermansen,31
Brose,Hermansen,31
Brose,Hermansen,31
Brose,høilig,31
Brose,høilig,31
Brose,Jettemor,31
Jettemor,Margrethe,31
Jettemor,Siewertsen,33
Brose,Karens,36
Karen,Karens,36
Jettemor,madame,37
Jettemor,madam,38
eg,madam,38
Brose,eg,38
Brose,Meyer,38
Brose,Thiers,40
Jettemor,Thiers,40
Jettemor,Karen,40
Karen,Napoleon,40
Brose,Napoleon,40
Brose,Jettemor,40
Brose,Jettemor,43
Brose,Jettemor,43
Brose,Jettemor,47
Jettemor,Ulriken,47
Mons,Ulriken,47
Brose,Petronelle,48
Jettemor,Ulriken,52
Eg,eg,53
Eg,eg,53
Eg,eg,53
Jettemor,Siewertsen,55
Jettemor,Siewertsen,55
Jettemor,madam Erpekam,56
Jettemor,madam Erpekam,56
Brose,Jettemor,58
Jettemor,Mons,59
Brose,Jettemor,60
Jettemor,Petronelle,60
Jettemor,Petronelle,60
Jettemor,Petronelle,62
Jettemor,Petronelle,62
Brose,Jettemor,63
Petronelle,Rasch,64
Brose,Rasch,64
Jette,Jettemor,65
Jettemor,Petronelle,66
Petronelle,Tante Petronelle,66
Jettemor,Tante Petronelle,66
Jettemor,tante Petronelles,68
Jettemor,Petronelle,69
Marius,Petronelle,70
Jette,Petronelle,70
Jette,guds,70
Brose,Jettemor,71
Brose,Petronelle,71
Jettemor,Petronelle,73
Petronelle,lykkets,74
Brose,lykkets,74
Siewertsen,madame Evremond,75
Jettemor,madame Evremond,75
Jettemor,Siewertsen,75
Jettemor,Siewertsen,75
Brose,Jettemor,75
Brose,Jettemor,76
Brose,Jettemor,77
Jettemor,Ulriken,77
Jettemor,Petronelle,79
Mons,Petronelle,79
Mons,Petronelle,79
Mons,Petronelle,80
Jettemor,Mons,80
Jettemor,Petronelle,80
Petronelle,guds,81
Jettemor,liv,82
Jettemor,Marius Brose,83
Jettemor,Siewertsen,83
Brose,Karen,86
Brose,Bædecker,88
Brose,Jettemor,89
Brose,Jettemor,90
Brose,Napoleon,90
Brose,Ulriken,93
Brose,Napoleon,94
Brose,Jettemor,95
Brose,Jettemor,95
Brose,Jettemor,98
Jettemor,Napoleon,98
