Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Hansted,0,0,0,0,7,0.16,9,0.08,7,0.16,0.17,0.35,0.02,0.05
Provst Tønnesen,0,0,0,0,16,0.39,32,0.3,16,0.39,0.3,0.61,0.08,0.21
Hansen,0,0,0,0,13,0.32,21,0.19,13,0.32,0.28,0.57,0.03,0.08
Hr. Hansted,0,0,0,0,9,0.21,18,0.16,9,0.21,0.21,0.43,0.02,0.05
Gud,0,0,0,0,10,0.24,13,0.11,10,0.24,0.22,0.45,0.02,0.05
Kristi,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Tønnesen,0,0,0,0,13,0.32,20,0.18,13,0.32,0.23,0.47,0.11,0.28
vos,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
ban,0,0,0,0,3,0.05,3,0.02,3,0.05,0.1,0.2,0.0,0.0
Jesu,0,0,0,0,2,0.03,2,0.01,2,0.03,0.08,0.16,0.0,0.0
Mortensen,0,0,0,0,2,0.03,5,0.04,2,0.03,0.03,0.06,0.02,0.05
Villing,0,0,0,0,14,0.34,23,0.21,14,0.34,0.26,0.53,0.1,0.26
Hr. Jensen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Proprietær Jensen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Trumf,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Hans Jensen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Søren Skrædder,0,0,0,0,2,0.03,2,0.01,2,0.03,0.03,0.06,0.02,0.05
Kaleschehimmel,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Peder,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Hagen,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.04,0.02,0.05
Kapellan Hansted,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ragnhild,0,0,0,0,3,0.05,5,0.04,3,0.05,0.05,0.1,0.02,0.05
