source,target,timestamp
Gude,Paul,8
Gude,Paul,17
Gude,Holm,17
Gude,Paul,24
Gude,Paul,25
Holm,Paul,25
Holm,Paul Linde,27
Holm,Paul,38
Paul,å Porta,38
Holm,Hr. Linde,39
Holm,Paul,40
Holm,Paul,41
Elisa,Holm,42
Elisa,Paul,43
Gude,Paul Linde,44
Dr. Bull,Paul Linde,44
Gude,Holm,46
Gude,Paul,46
Bull,Dr. Bull,48
Fru Holm,Paul,49
Hik,Paul,52
Hik,ken,52
Baudelaire,Paul,53
Gude,Paul-,58
Holm,Paul,59
Gude,Holm,59
Paul,Vaas,63
Gude,Paul,71
Holm,Paul,81
Gude,Paul,85
Gude,Paul,92
Gude,Paul,93
Gude,Paul,100
Gude,Paul,102
Gude,iland,102
Elisa,Gude,117
Gude,Paul,119
Gude,Holm,119
Gude,Holm,121
Gude,Karl,125
Gud,Paul,127
Holm,Paul,131
Holm,Paul,132
Holm,Paul,132
Hr. Brun,Linde,135
Hr. Brun,Paul,135
Hr. Brun,Paul,136
Gud,Gude,141
Brun,Paul,147
Bull,Holm,149
Bull,Paul,149
Holm,Paul,154
Holm,Linde,155
Holm,Paul,155
Gude,Paul,165
Holm,Paul,166
Gude,Holm,166
Brun,Paul,167
Brun,Gude,171
Gude,Paul,174
Gude,Paul,180
Kurtise,Paul,188
Gude,Paul,192
Gude,Paul,194
Gude,Paul,195
Gude,Paul,197
Gud,Gude,198
Gud,Henrik,198
Gude,Henrik,198
Gud,Gude,198
Gude,Paul,199
Gude,Paul,201
Bull,Frue,205
Holm,Paul,211
Holm,Paul,211
Holm,Paul Linde,213
Brun,Paul,214
Brun,Paul,214
Gud,Paul,216
Gud,Gude,216
Gude,Holm,216
Bull,Paul,217
Brun,Holm,223
Holm,Paul,225
Brun,Holm,226
Karl,Paul,230
Brun,Karl,230
Brun,Paul,230
Gude,Maanelys,234
Gude,Paul,235
Brun,Gude,241
Brun,Gude,241
Graad,Gude,241
Brun,Graad,241
Brun,Gude,241
