Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Gude,0,0,0,0,12,0.85,45,0.8,12,0.85,0.46,0.96,0.36,0.6
Paul,0,0,0,0,14,1.0,56,1.0,14,1.0,0.48,1.0,0.6,1.0
Holm,0,0,0,0,8,0.54,30,0.53,8,0.54,0.36,0.74,0.19,0.32
Paul Linde,0,0,0,0,3,0.15,4,0.05,3,0.15,0.16,0.3,0.03,0.05
å Porta,0,0,0,0,1,0.0,1,0.0,1,0.0,0.09,0.15,0.0,0.0
Hr. Linde,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.11,0.0,0.0
Elisa,0,0,0,0,3,0.15,3,0.04,3,0.15,0.24,0.48,0.0,0.0
Dr. Bull,0,0,0,0,2,0.08,2,0.02,2,0.08,0.06,0.09,0.0,0.0
Bull,0,0,0,0,4,0.23,5,0.07,4,0.23,0.17,0.33,0.12,0.2
Fru Holm,0,0,0,0,1,0.0,1,0.0,1,0.0,0.09,0.15,0.0,0.0
Hik,0,0,0,0,2,0.08,2,0.02,2,0.08,0.09,0.15,0.08,0.13
ken,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.0,0.0,0.0
Baudelaire,0,0,0,0,1,0.0,1,0.0,1,0.0,0.09,0.15,0.0,0.0
Paul-,0,0,0,0,1,0.0,1,0.0,1,0.0,0.08,0.13,0.0,0.0
Vaas,0,0,0,0,1,0.0,1,0.0,1,0.0,0.09,0.15,0.0,0.0
iland,0,0,0,0,1,0.0,1,0.0,1,0.0,0.08,0.13,0.0,0.0
Karl,0,0,0,0,3,0.15,3,0.04,3,0.15,0.23,0.46,0.0,0.0
Gud,0,0,0,0,3,0.15,7,0.11,3,0.15,0.19,0.37,0.02,0.03
Hr. Brun,0,0,0,0,2,0.08,3,0.04,2,0.08,0.1,0.17,0.02,0.03
Linde,0,0,0,0,2,0.08,2,0.02,2,0.08,0.09,0.15,0.0,0.0
Brun,0,0,0,0,5,0.31,13,0.22,5,0.31,0.31,0.63,0.03,0.05
Kurtise,0,0,0,0,1,0.0,1,0.0,1,0.0,0.09,0.15,0.0,0.0
Henrik,0,0,0,0,2,0.08,2,0.02,2,0.08,0.12,0.22,0.0,0.0
Frue,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.02,0.0,0.0
Maanelys,0,0,0,0,1,0.0,1,0.0,1,0.0,0.08,0.13,0.0,0.0
Graad,0,0,0,0,2,0.08,2,0.02,2,0.08,0.14,0.26,0.0,0.0
