Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Aarna,0,0,0,0,2,0.02,2,0.01,2,0.02,0.03,0.07,0.0,0.0
Martinns,0,0,0,0,27,0.6,32,0.35,27,0.6,0.27,0.66,0.14,0.48
fil,0,0,0,0,3,0.05,3,0.02,3,0.05,0.04,0.1,0.0,0.0
Præsfen,0,0,0,0,2,0.02,2,0.01,2,0.02,0.01,0.02,0.0,0.0
Jesu,0,0,0,0,3,0.05,3,0.02,3,0.05,0.02,0.05,0.01,0.03
Martin iriellem,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Michaelis,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.01,0.03
Martha,0,0,0,0,5,0.09,7,0.07,5,0.09,0.03,0.07,0.03,0.1
sorn,0,0,0,0,11,0.23,15,0.16,11,0.23,0.15,0.37,0.05,0.17
Jakob,0,0,0,0,22,0.49,40,0.44,22,0.49,0.29,0.71,0.09,0.31
Guds,0,0,0,0,6,0.12,6,0.06,6,0.12,0.1,0.24,0.02,0.07
Martinus,0,0,0,0,44,1.0,90,1.0,44,1.0,0.41,1.0,0.29,1.0
Ole,0,0,0,0,17,0.37,33,0.36,17,0.37,0.24,0.59,0.11,0.38
Jomfru Marthas,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
Jomfru Martha,0,0,0,0,7,0.14,8,0.08,7,0.14,0.08,0.2,0.02,0.07
Martins,0,0,0,0,3,0.05,3,0.02,3,0.05,0.08,0.2,0.01,0.03
Chrisfne,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
Jørgen pust,0,0,0,0,11,0.23,15,0.16,11,0.23,0.13,0.32,0.06,0.21
sor,0,0,0,0,2,0.02,2,0.01,2,0.02,0.04,0.1,0.0,0.0
Hain,0,0,0,0,11,0.23,11,0.11,11,0.23,0.06,0.15,0.04,0.14
Gles,0,0,0,0,2,0.02,2,0.01,2,0.02,0.05,0.12,0.0,0.0
Gle,0,0,0,0,6,0.12,8,0.08,6,0.12,0.12,0.29,0.01,0.03
tovede,0,0,0,0,2,0.02,2,0.01,2,0.02,0.07,0.17,0.0,0.0
Hr. Tues,0,0,0,0,2,0.02,2,0.01,2,0.02,0.04,0.1,0.01,0.03
hair,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.0,0.0
Jakob fog,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.0,0.0
sorn Messedrengen,0,0,0,0,2,0.02,2,0.01,2,0.02,0.02,0.05,0.01,0.03
Brok,0,0,0,0,6,0.12,8,0.08,6,0.12,0.12,0.29,0.0,0.0
Iver Fiskers,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
Jørgen Pust,0,0,0,0,6,0.12,6,0.06,6,0.12,0.1,0.24,0.02,0.07
Knud,0,0,0,0,9,0.19,9,0.09,9,0.19,0.13,0.32,0.02,0.07
Else,0,0,0,0,2,0.02,2,0.01,2,0.02,0.03,0.07,0.01,0.03
Anud,0,0,0,0,2,0.02,2,0.01,2,0.02,0.07,0.17,0.0,0.0
Hans,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Aage —,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Bagge Jepsen,0,0,0,0,2,0.02,2,0.01,2,0.02,0.03,0.07,0.0,0.0
Hasle,0,0,0,0,2,0.02,2,0.01,2,0.02,0.02,0.05,0.0,0.0
Jørgen,0,0,0,0,15,0.33,21,0.22,15,0.33,0.15,0.37,0.06,0.21
Preben Predbjørn,0,0,0,0,2,0.02,2,0.01,2,0.02,0.02,0.05,0.0,0.0
Preben,0,0,0,0,3,0.05,3,0.02,3,0.05,0.03,0.07,0.0,0.0
fig,0,0,0,0,2,0.02,3,0.02,2,0.02,0.06,0.15,0.0,0.0
Hr. Tue,0,0,0,0,13,0.28,16,0.17,13,0.28,0.1,0.24,0.07,0.24
Hans Rodis,0,0,0,0,2,0.02,2,0.01,2,0.02,0.01,0.02,0.0,0.0
Martin,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.0,0.0
fie,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
son,0,0,0,0,17,0.37,25,0.27,17,0.37,0.19,0.46,0.08,0.28
Preben predbjørn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Niels,0,0,0,0,12,0.26,12,0.12,12,0.26,0.09,0.22,0.03,0.1
Marna,0,0,0,0,3,0.05,4,0.03,3,0.05,0.04,0.1,0.0,0.0
Niels Jepsen,0,0,0,0,10,0.21,13,0.13,10,0.21,0.15,0.37,0.03,0.1
per Kruse,0,0,0,0,2,0.02,2,0.01,2,0.02,0.03,0.07,0.0,0.0
per,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Per,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Morten,0,0,0,0,5,0.09,6,0.06,5,0.09,0.04,0.1,0.03,0.1
Jepsen,0,0,0,0,4,0.07,4,0.03,4,0.07,0.02,0.05,0.03,0.1
Lars Kaas,0,0,0,0,4,0.07,5,0.04,4,0.07,0.03,0.07,0.0,0.0
Lars,0,0,0,0,6,0.12,7,0.07,6,0.12,0.05,0.12,0.02,0.07
Tue Brok,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
