Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Antonius,0,0,0,0,39,1.0,173,1.0,39,1.0,0.49,1.0,0.59,1.0
Peter,0,0,0,0,31,0.79,122,0.7,31,0.79,0.43,0.88,0.34,0.58
Stark,0,0,0,0,6,0.13,9,0.05,6,0.13,0.14,0.29,0.03,0.05
Møller,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
zAntonius,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Lille Friis,0,0,0,0,4,0.08,8,0.04,4,0.08,0.13,0.27,0.03,0.05
Jespersen,0,0,0,0,4,0.08,4,0.02,4,0.08,0.09,0.18,0.0,0.0
Mormoders,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Petersen,0,0,0,0,2,0.03,2,0.01,2,0.03,0.11,0.22,0.0,0.0
.Friis,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Friis,0,0,0,0,20,0.5,85,0.49,20,0.5,0.31,0.63,0.2,0.34
s,0,0,0,0,5,0.11,14,0.08,5,0.11,0.16,0.33,0.01,0.02
Balslevs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Viggo Schmits,0,0,0,0,1,0.0,2,0.01,1,0.0,0.05,0.1,0.0,0.0
Hr. Iversen,0,0,0,0,1,0.0,2,0.01,1,0.0,0.05,0.1,0.0,0.0
Martin Knob,0,0,0,0,2,0.03,2,0.01,2,0.03,0.07,0.14,0.0,0.0
Mormoder,0,0,0,0,4,0.08,6,0.03,4,0.08,0.15,0.31,0.0,0.0
lille Friis,0,0,0,0,5,0.11,17,0.09,5,0.11,0.18,0.37,0.01,0.02
Fioribella,0,0,0,0,2,0.03,2,0.01,2,0.03,0.11,0.22,0.0,0.0
Ar'tonius,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Laurids Bruun,0,0,0,0,4,0.08,15,0.08,4,0.08,0.12,0.24,0.01,0.02
lille Antonius,0,0,0,0,2,0.03,3,0.01,2,0.03,0.09,0.18,0.0,0.0
lange,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Grønthandler Jespersens,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.04,0.0,0.0
Josefine Ulrika,0,0,0,0,5,0.11,12,0.06,5,0.11,0.17,0.35,0.03,0.05
Rikke,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.04,0.0,0.0
Peter Stark,0,0,0,0,6,0.13,7,0.03,6,0.13,0.14,0.29,0.04,0.07
Maren,0,0,0,0,2,0.03,5,0.02,2,0.03,0.11,0.22,0.0,0.0
A.ntonius,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Kaptejn Stark,0,0,0,0,1,0.0,2,0.01,1,0.0,0.06,0.12,0.0,0.0
Kragballe,0,0,0,0,1,0.0,2,0.01,1,0.0,0.06,0.12,0.0,0.0
Kaptejnen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Franz Moors,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Gud,0,0,0,0,4,0.08,9,0.05,4,0.08,0.1,0.2,0.03,0.05
F'ru Stark,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Assessor Larsens,0,0,0,0,1,0.0,2,0.01,1,0.0,0.06,0.12,0.0,0.0
Stingbergs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Yrsa,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Frøken F'anny,0,0,0,0,2,0.03,2,0.01,2,0.03,0.04,0.08,0.03,0.05
Lille Peter,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
F'amilje,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Fanny,0,0,0,0,7,0.16,39,0.22,7,0.16,0.22,0.45,0.0,0.0
Søren Kierkegaards,0,0,0,0,1,0.0,2,0.01,1,0.0,0.06,0.12,0.0,0.0
F anny,0,0,0,0,2,0.03,2,0.01,2,0.03,0.08,0.16,0.0,0.0
Finis,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Magen,0,0,0,0,1,0.0,2,0.01,1,0.0,0.05,0.1,0.0,0.0
Hr. Jespersen,0,0,0,0,2,0.03,2,0.01,2,0.03,0.06,0.12,0.0,0.0
Josefine,0,0,0,0,3,0.05,7,0.03,3,0.05,0.13,0.27,0.0,0.0
Josefine Ulrika Jespersen,0,0,0,0,2,0.03,2,0.01,2,0.03,0.07,0.14,0.0,0.0
Stingberg,0,0,0,0,2,0.03,3,0.01,2,0.03,0.05,0.1,0.0,0.0
Christian den,0,0,0,0,2,0.03,2,0.01,2,0.03,0.06,0.12,0.03,0.05
P'emtes,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Antonette Barbara Josefine Urika,0,0,0,0,1,0.0,2,0.01,1,0.0,0.05,0.1,0.0,0.0
Frøken Mikkelsens,0,0,0,0,1,0.0,2,0.01,1,0.0,0.06,0.12,0.0,0.0
Frk. Holm,0,0,0,0,5,0.11,10,0.05,5,0.11,0.07,0.14,0.12,0.2
Hr. Starks,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
