Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Anders Billes,0,0,0,0,4,0.04,4,0.01,4,0.04,0.03,0.09,0.01,0.05
Ermegaard,0,0,0,0,11,0.13,32,0.08,11,0.13,0.1,0.31,0.01,0.05
Jørgen Podebusk,0,0,0,0,8,0.09,15,0.04,8,0.09,0.06,0.19,0.01,0.05
Kristian ILs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Pernille Krognos,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Petronelle,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Aare,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Maarskinds,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.03,0.0,0.0
Povel Jepsen,0,0,0,0,20,0.25,27,0.07,20,0.25,0.12,0.38,0.04,0.21
Jacob Mouritsen Sparre,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Clara,0,0,0,0,70,0.92,390,1.0,70,0.92,0.29,0.91,0.17,0.89
Jacob Sparres,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.06,0.01,0.05
Jomfru Claras,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Roses,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Margrete Gyldenstjerne,0,0,0,0,8,0.09,8,0.02,8,0.09,0.04,0.12,0.0,0.0
Margretes,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.03,0.0,0.0
Karen Bille,0,0,0,0,11,0.13,15,0.04,11,0.13,0.1,0.31,0.01,0.05
Jacob Sparre,0,0,0,0,29,0.37,94,0.24,29,0.37,0.19,0.59,0.03,0.16
Povel,0,0,0,0,20,0.25,37,0.09,20,0.25,0.1,0.31,0.04,0.21
Jacob,0,0,0,0,64,0.84,328,0.84,64,0.84,0.3,0.94,0.15,0.79
Margrete,0,0,0,0,76,1.0,363,0.93,76,1.0,0.32,1.0,0.19,1.0
eder,0,0,0,0,2,0.01,3,0.01,2,0.01,0.02,0.06,0.0,0.0
Jacob Mouritsen,0,0,0,0,5,0.05,6,0.01,5,0.05,0.04,0.12,0.0,0.0
Clara Bille,0,0,0,0,7,0.08,15,0.04,7,0.08,0.06,0.19,0.0,0.0
Anna,0,0,0,0,15,0.19,25,0.06,15,0.19,0.09,0.28,0.01,0.05
Mogens Gyldenstjerne,0,0,0,0,9,0.11,11,0.03,9,0.11,0.08,0.25,0.0,0.0
Guds,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
Gud,0,0,0,0,47,0.61,88,0.22,47,0.61,0.25,0.78,0.1,0.53
grete,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
erErmegaards,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Holger Rosenkrantz,0,0,0,0,3,0.03,4,0.01,3,0.03,0.03,0.09,0.0,0.0
Jørgen Ahlefeld,0,0,0,0,2,0.01,3,0.01,2,0.01,0.0,0.0,0.0,0.0
Else,0,0,0,0,3,0.03,3,0.01,3,0.03,0.03,0.09,0.0,0.0
Ammes.tuen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Henrik Rosenkrantz,0,0,0,0,37,0.48,131,0.33,37,0.48,0.22,0.69,0.05,0.26
Jørgen,0,0,0,0,8,0.09,27,0.07,8,0.09,0.08,0.25,0.0,0.0
Lise,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.06,0.0,0.0
Herren,0,0,0,0,5,0.05,6,0.01,5,0.05,0.06,0.19,0.0,0.0
Jorsalafart,0,0,0,0,3,0.03,3,0.01,3,0.03,0.02,0.06,0.0,0.0
Mogens,0,0,0,0,20,0.25,40,0.1,20,0.25,0.13,0.41,0.03,0.16
signes,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Hr. Henriks,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.06,0.0,0.0
Knud,0,0,0,0,10,0.12,14,0.03,10,0.12,0.05,0.16,0.01,0.05
Sofie,0,0,0,0,4,0.04,7,0.02,4,0.04,0.03,0.09,0.0,0.0
Alette,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Kaaben,0,0,0,0,2,0.01,2,0.0,2,0.01,0.03,0.09,0.0,0.0
Bo,0,0,0,0,3,0.03,3,0.01,3,0.03,0.0,0.0,0.0,0.0
Mogens Bille,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.03,0.0,0.0
Johan Rantzov,0,0,0,0,24,0.31,35,0.09,24,0.31,0.1,0.31,0.06,0.32
Klerke,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.06,0.0,0.0
Bent,0,0,0,0,13,0.16,22,0.05,13,0.16,0.06,0.19,0.02,0.11
Luther,0,0,0,0,4,0.04,4,0.01,4,0.04,0.03,0.09,0.0,0.0
dos,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
Selim,0,0,0,0,28,0.36,151,0.39,28,0.36,0.16,0.5,0.05,0.26
Oluf,0,0,0,0,16,0.2,21,0.05,16,0.2,0.11,0.34,0.03,0.16
beunO,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
Bille,0,0,0,0,10,0.12,15,0.04,10,0.12,0.04,0.12,0.01,0.05
Mej nstrup,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.03,0.0,0.0
