Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Niels Skytte,0,0,0,0,3,0.1,14,0.11,3,0.1,0.12,0.2,0.12,0.16
Tuen,0,0,0,0,1,0.0,2,0.01,1,0.0,0.02,0.03,0.0,0.0
Dannebroge,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Evropa,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Baron v.,0,0,0,0,1,0.0,1,0.0,1,0.0,0.11,0.18,0.0,0.0
Hother,0,0,0,0,21,1.0,116,1.0,21,1.0,0.61,1.0,0.74,1.0
Ingeborg,0,0,0,0,9,0.4,84,0.72,9,0.4,0.37,0.61,0.13,0.18
Buldog,0,0,0,0,1,0.0,1,0.0,1,0.0,0.11,0.18,0.0,0.0
Løwenburgs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.11,0.18,0.0,0.0
Hother v. Løwenburg,0,0,0,0,3,0.1,3,0.02,3,0.1,0.16,0.26,0.06,0.08
Hother von Løwenburg,0,0,0,0,3,0.1,3,0.02,3,0.1,0.19,0.31,0.06,0.08
Hr. Moritz,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.05,0.0,0.0
Niels Nielsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
Jngeborgs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.11,0.18,0.0,0.0
Maria,0,0,0,0,3,0.1,27,0.23,3,0.1,0.23,0.38,0.0,0.0
Niels,0,0,0,0,1,0.0,2,0.01,1,0.0,0.11,0.18,0.0,0.0
Jocey,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.05,0.0,0.0
v. Miihren,0,0,0,0,3,0.1,9,0.07,3,0.1,0.21,0.34,0.01,0.01
Hother v.,0,0,0,0,1,0.0,1,0.0,1,0.0,0.11,0.18,0.0,0.0
Løwenburg,0,0,0,0,2,0.05,2,0.01,2,0.05,0.16,0.26,0.0,0.0
Miihren,0,0,0,0,4,0.15,4,0.03,4,0.15,0.25,0.41,0.0,0.0
Hoves,0,0,0,0,1,0.0,1,0.0,1,0.0,0.11,0.18,0.0,0.0
Gud,0,0,0,0,3,0.1,9,0.07,3,0.1,0.19,0.31,0.06,0.08
v.,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.11,0.0,0.0
Taalmod,0,0,0,0,1,0.0,3,0.02,1,0.0,0.11,0.18,0.0,0.0
Lø-wenb,0,0,0,0,2,0.05,2,0.01,2,0.05,0.13,0.21,0.02,0.03
Aare,0,0,0,0,2,0.05,2,0.01,2,0.05,0.09,0.15,0.0,0.0
Løwenburgerhes,0,0,0,0,1,0.0,1,0.0,1,0.0,0.11,0.18,0.0,0.0
Inge-borgs,0,0,0,0,2,0.05,3,0.02,2,0.05,0.18,0.3,0.0,0.0
bernes,0,0,0,0,1,0.0,1,0.0,1,0.0,0.11,0.18,0.0,0.0
lians,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.05,0.0,0.0
