source,target,timestamp
Christian,N. N.,1
Christian,N. N.,1
Kong Frederik,Sophie Hedevig,2
Comtesse Agathe A.,Kong Frederik,2
Comtesse Agathe A.,Prindsessen,2
Agathe,Prindsessen,2
Agathe,Prindsessen,2
Agathe,Prindsessen,2
Agathe,Prindsessen,2
Agathe,Prindsessen,2
Agathe,Prindsessen,3
Agathe,Prindsessen,3
Agathe,Prindsessen,3
Agathe,Prindsessen,3
Grevens,lian,5
Agathe,Greve P.,6
Agathe,Greve P.,6
Agathe,Prindsessen,6
Dauelsens,Prindsessen,6
Dauelsens,E.,6
Agathe,E.,6
Agathe,E.,6
Agathe,E.,6
Agathe,Prindsessen,6
P.,Prindsessen,6
Agathe,P.,6
Agathe,Prindsessen,7
Agathe,Greve P.,7
Greve P.,P.,7
Frøken T.,P.,7
Agathe,Frøken T.,7
Agathe,Rs,7
Frøken T.,Rs,7
Frøken T.,R,7
Prindsessen,R,7
Agathe,Prindsessen,7
Agathe,liun,7
Agathe,liun,7
Agathe,Prindsessen,7
Agathe,Prindsessen,7
Agathe,Greve P.,8
Agathe,Prindsessen,9
Agathe,Prindsessen,9
Agathe,Prindsessen,9
Agathe,Prindsessen,9
Greve P.,Prindsessen,9
Agathe,Greve P.,9
Agathe,Prindsessen,9
Agathe,Prindsessen,9
Agathe,Comtessen,9
Agathe,Comtessen,9
Agathe,Prindsessen,10
Agathe,Prindsessen,10
Agathe,Prindsessen,10
Agathe,Prindsessen,10
Agathe,Prindses-sens,11
Prindses-sens,Prindsessen,11
Panders,Prindsessen,11
Ane,tik,12
Ane,tik,12
Ane,Jensen,12
Constance,Lehnsgreve P.,13
Constance,Cousine Constance,14
Ane,Constance,14
Ane,Erik,14
Constance,Erik,14
Ane,Constance,14
Ane,Constance,14
Constance,hnn,14
Constance,hnn,14
Constance,Tantes,14
Ane,Tantes,14
Ane,Constance,14
Ane,Constance,14
Ane,Constance,14
Ane,Constance,14
Ane,Constance,14
Ane,Constance,14
Ane,hei,14
Constance,hei,14
Constance,Mama,14
Constance,Mama,14
Constance,Gouvernanten,14
Gouvernanten,Mama,14
Mademoiselle Berbier,Mama,14
Constance,Mademoiselle Berbier,14
Constance,Papas,14
Constance,Papas,14
Ane,Constance,15
Constance,Papas,15
Ane,Papas,15
Ane,Constance,15
Ane,Constance,15
Ane,Constance,15
Augusta,Constance,15
Ane,Constance,17
Ane,Augusta,17
Augusta,Constance,17
Jens,Onkels,19
Jens,Onkels,19
Hans Christoffersens,Jens,19
Hans Christoffersens,lian,19
Jensen,lian,19
Jens,Jensen,19
Hans Christoffersen,Lone,20
Lone,Sonner,20
Lone,Sonner,20
Lone,Lone »,20
Hans Christoffersen,Lone »,20
Enspænder-Jens,Hans Christoffersen,20
Enspænder-Jens,Jens,20
Jens,Jensen,20
Jens,Jensen,20
Jens,Lone,20
Constance,Lone,20
Constance,Enspænder-Jons,20
Enspænder-Jons,Lone,20
Lone,Moer,20
Augusta,Moer,20
Augusta,Constance,20
Ane,Constance,20
Ane,Augusta,20
Ane,Augusta,20
Ane,Husbond,20
Husbond,Jens,20
Jens,Karl,20
Jens,Karl,20
Husbond,Jens,20
Hans Christoffersen,Husbond,20
Jens,s,21
Onkels,s,21
Constance,Onkels,21
Ane,Constance,21
Ane,Constance,21
Comtessen,Constance,21
Ane,Comtessen,21
Ane,Comtessen,21
Ane,Comtessen,21
Ane,Erik,21
Constance,Erik,21
Constance,Onkels,26
Lehnsbesid deren,Onkels,26
Lehnsbesid deren,Tantes,26
Constance,Tantes,26
Constance,Honoratiores,26
,Honoratiores,26
,Constance,26
Nik,hjalj,27
Constance,hjalj,27
Jens,livor,29
Jens,Kolk,29
Constance,Mademoiselle Berhiers,31
Constance,Mademoiselle Berhiers,31
Constance,Mama,31
Constance,Mama,31
Ane,Constance,31
Ane,Gud,31
