source,target,timestamp
Flr,Svane,11
Adiø,Hr. Svane,19
Mortensen,Svane,20
Gud,»,29
Hansen,»,29
Hansen,Hr. Hansens,35
Per,Povl,47
Mortensen,Sten,54
Drosker,Otto,58
Drosker,Henrik Sten,58
Henrik Sten,Sten,70
Lorentzen,Pardieu,74
Fanny Holm,Henrik Sten,76
Fanny Holm,Lorentzen,76
Lorentzen,Sten,82
Lorentzen,Mortensen,98
Lorentzen,Sten,98
Kognac,Lorentzen,99
Lorentzen,Sten,103
Henrik Sten,Lorentzen,104
Lagerstrøm,Skaal,112
Lagerberg,Sten,115
Lagerberg,Sten,115
Lagerberg,Sten,115
Henrik længer,Lagerberg,115
Henrik Sten,Madam Jørgensen,123
Madam,Sten,132
Jacob Abrahamsen,Lorentzen,149
Abrahamsen,Henrik Sten,158
Abrahamsen,Sten,171
Lorentzen,Sten,181
Hr. Stens,Sten,181
Henrik Sten,Hr. Abrahamsen,183
Frederik,bien,195
Henrik Sten,kvis,197
Lorentzen,kvis,197
Henrik,Sten,198
Lorentzen,frank,200
Bjørnstjerne Bjørnson,Henrik Sten,201
Hr. Sten,Peter,218
Henrik Sten,P'ølelses,222
Henrik Sten,Theori,222
Henrik Sten,paany,227
Fanny Holm,paany,227
Heines,Kennt Ihr,236
Frøken Holm,Henrik Sten,241
Fanny,Henrik Sten,254
Henrik—jeg,brøstens,263
Fanny,Henrik Sten,264
C. F. Ravn,Henrik Sten,275
Frk. Ravn,Hilda Ravn,281
Hilda,Sten,285
Henrik,Hilda,305
Henrik,Sten,305
Henrik Ibsen,Svanhild,306
Falk,Svanhild,310
Henrik Sten,Sten,326
Heinrichs,Sten,326
Heinrichs,Henrik,335
Heinrichs,Svendsen,335
Adiø,Henrik,337
Frk. Ravn,Sten,340
Hilda Ravn,Kraft-Jensen,344
Madam Feddersen,Zweitritt,345
Helle dusseda,Madam Hansen,360
Henrik Sten,Servanten,369
Hilda,Madam Feddersen,377
Fanny Holm,Henrik,378
Lorentzen,Madam Jørgensen,379
Henrik Sten,Lorentzen,379
Henrik Sten,Lorentzen,380
Henrik Sten,Lorentzen,387
Henrik Sten,Lorentzen,388
Lorentzen,Skraa,394
Henrik,Sten,402
Henrik Sten,Lorentzen,410
Lagerberg,Mo’,414
Lagerberg,Sten,415
Lagerberg,Sten,434
Lagerberg,Sten,436
Lagerberg,Sten,438
Henrik,Lagerberg,447
Fanny Holm,Lagerberg,447
Fanny Holm,Lagerberg,453
Fanny Holm,Lagerberg,468
Sten,Viggo Storms,478
Hoffmann,Sten,478
Ahner,Viggo Storm,484
Henrik Sten,Viggo Storm,486
Sten,Storm,491
Henrik,Sten,491
Sten,Storm,495
Hoffmann,Sten,495
Henrik Sten,Niels Gregers,501
Gregers,Henrik Sten,501
Gregers,Sten,501
Henrik Sten,Henriksen,507
Henriksen,Sten,508
Niels Gregers,kokette,509
Henrik Sten,Niels Gregers,509
J,j,512
Henrik Sten,summed,513
Henrik Sten,j,513
j,nik-,513
Helene,Sankta,528
Heinrichs,Henrik Sten,533
Fanny,Sten,547
Gud,Henrik,548
Fanny,Henrik Sten,549
Fanny Holm,Henrik Sten,552
Fanny Holm,Henrik Sten,554
Fanny Holm,Henrik Sten,556
Fanny,Henrik Sten,557
Henrik,paany,560
Fanny,Henrik,562
Fanny,Henrik,571
Fanny,Lorentz,571
Henrik,gud,573
Bing,Henrik Sten,576
Fanny,Henrik,578
Eva,Henrik,586
Adam,Eva,586
Fanny,Henrik,588
Fanny,Holms,593
Fanny,Henrik Sten,607
Hansen,Henrik Sten,625
Hansen,Harriet,625
Harriet,Sten,625
Hansen,Hr. Hansen,626
Fanny,Henrik,627
Mortensen,Sten,638
Mortensen,Sten,638
Henrik,Mortensen,639
Mortensen,Sten,644
Mortensen,Sten,655
Henrik,Mortensen,655
Henrik Sten,Svane,657
Jeppesen,Petrea,669
Gud,Petrea,670
Gud,Petrea,670
Eline,Henrik Sten,679
Eline,Henrik,683
Eline,Henrik Sten,692
Henrik Sten,Poul,702
Eline,Sten,703
Absinth,Fanny,705
Henrik Sten,Viggo Storm,709
Henrik Sten,Viggo Storm,709
Henrik Sten,Viggo Storm,709
Eline,Henrik Sten,709
Eline,Nemesis,709
Fanny Holm,Snobben,711
Fanny,Snobben,711
Ernst Lagerberg,Fanny,711
Ernst Lagerberg,Fanny,711
Fanny,Lagerberg,711
Lagerberg,William Lorentzen,711
Fanny,Henrik Sten,712
Henrik Sten,Viggo Storm,714
Christian Winther,Holger Drachmann,716
Lagerberg,Sten,720
Lagerberg,Sten,720
Lagerberg,Viggo Storm,720
Henrik Sten,Lagerberg,721
Henrik Sten,Madam Jørgensen,728
