Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Flr,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Svane,0,0,0,0,3,0.06,3,0.03,3,0.06,0.08,0.16,0.02,0.05
Adiø,0,0,0,0,2,0.03,2,0.02,2,0.03,0.04,0.08,0.01,0.02
Hr. Svane,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Mortensen,0,0,0,0,6,0.14,11,0.15,6,0.14,0.14,0.27,0.02,0.05
Gud,0,0,0,0,4,0.09,5,0.06,4,0.09,0.04,0.08,0.05,0.12
»,0,0,0,0,2,0.03,2,0.02,2,0.03,0.01,0.02,0.0,0.0
Hansen,0,0,0,0,5,0.11,5,0.06,5,0.11,0.07,0.14,0.04,0.1
Hr. Hansens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Per,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Povl,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Sten,0,0,0,0,21,0.57,45,0.67,21,0.57,0.37,0.73,0.12,0.29
Drosker,0,0,0,0,2,0.03,2,0.02,2,0.03,0.06,0.12,0.01,0.02
Otto,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Henrik Sten,0,0,0,0,36,1.0,67,1.0,36,1.0,0.51,1.0,0.41,1.0
Lorentzen,0,0,0,0,11,0.29,19,0.27,11,0.29,0.18,0.35,0.07,0.17
Pardieu,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Fanny Holm,0,0,0,0,7,0.17,13,0.18,7,0.17,0.18,0.35,0.02,0.05
Kognac,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Lagerstrøm,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Skaal,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Lagerberg,0,0,0,0,9,0.23,23,0.33,9,0.23,0.22,0.43,0.05,0.12
Henrik længer,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Madam Jørgensen,0,0,0,0,3,0.06,6,0.08,3,0.06,0.09,0.18,0.01,0.02
Madam,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Jacob Abrahamsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Abrahamsen,0,0,0,0,4,0.09,4,0.05,4,0.09,0.13,0.25,0.0,0.0
Hr. Stens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Hr. Abrahamsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Frederik,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
bien,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
kvis,0,0,0,0,2,0.03,2,0.02,2,0.03,0.08,0.16,0.0,0.0
Henrik,0,0,0,0,16,0.43,27,0.39,16,0.43,0.31,0.61,0.15,0.37
frank,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Bjørnstjerne Bjørnson,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Hr. Sten,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Peter,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
P'ølelses,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Theori,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
paany,0,0,0,0,3,0.06,3,0.03,3,0.06,0.12,0.24,0.0,0.0
Heines,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Kennt Ihr,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Frøken Holm,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Fanny,0,0,0,0,11,0.29,24,0.35,11,0.29,0.24,0.47,0.05,0.12
Henrik—jeg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
brøstens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
C. F. Ravn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Frk. Ravn,0,0,0,0,2,0.03,2,0.02,2,0.03,0.07,0.14,0.0,0.0
Hilda Ravn,0,0,0,0,7,0.17,9,0.12,7,0.17,0.16,0.31,0.02,0.05
Hilda,0,0,0,0,3,0.06,3,0.03,3,0.06,0.09,0.18,0.01,0.02
Henrik Ibsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Svanhild,0,0,0,0,2,0.03,2,0.02,2,0.03,0.0,0.0,0.0,0.0
Falk,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Heinrichs,0,0,0,0,6,0.14,7,0.09,6,0.14,0.18,0.35,0.03,0.07
Svendsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Kraft-Jensen,0,0,0,0,2,0.03,3,0.03,2,0.03,0.08,0.16,0.0,0.0
Madam Feddersen,0,0,0,0,2,0.03,2,0.02,2,0.03,0.01,0.02,0.0,0.0
Zweitritt,0,0,0,0,2,0.03,2,0.02,2,0.03,0.02,0.04,0.0,0.0
Helle dusseda,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Madam Hansen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Servanten,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Skraa,0,0,0,0,2,0.03,2,0.02,2,0.03,0.03,0.06,0.0,0.0
Mo’,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Viggo Storms,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Hoffmann,0,0,0,0,1,0.0,2,0.02,1,0.0,0.05,0.1,0.0,0.0
Ahner,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Viggo Storm,0,0,0,0,5,0.11,9,0.12,5,0.11,0.11,0.22,0.02,0.05
Storm,0,0,0,0,2,0.03,3,0.03,2,0.03,0.06,0.12,0.0,0.0
Niels Gregers,0,0,0,0,4,0.09,5,0.06,4,0.09,0.09,0.18,0.02,0.05
Gregers,0,0,0,0,2,0.03,2,0.02,2,0.03,0.11,0.22,0.0,0.0
Henriksen,0,0,0,0,2,0.03,2,0.02,2,0.03,0.11,0.22,0.0,0.0
kokette,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
J,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
j,0,0,0,0,3,0.06,3,0.03,3,0.06,0.06,0.12,0.03,0.07
summed,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
nik-,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Helene,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
