source,target,timestamp
Jakob,Titus,9
Guds,sem,17
Jakob,Titus,23
Jakob,Titus,23
Jakob,Titus,23
Jakob,Titus,23
Jakob,Titus,23
Jakob,Titus,23
Graad,Titus,23
Andanten,Fiskers,30
Aron,Moses,31
Oehlenschlagers,Rosamunde,32
Chr. Winthers,Oehlenschlagers,32
Jakob,Titus,45
Jakob,Titus,50
Jakob,Titus,54
Jakob,Titus,58
Jakob,Titus,60
Bravo,Jakob,62
Amanda,Taa,66
Amanda,Jakob,66
Jakob,dacapo,70
Amanda,Jakob,72
Amanda,Titus,72
Rosamunde,Titus,72
Adam,Rosamunde,72
Adam,Jakob,72
Amanda,Jakob,72
Jakob,Titus,83
Jakob,Titus,85
Jakob,Titus,86
Adam,Titus,87
Jakob,Titus,88
Jakob,Peter,88
Paul,Peter,88
Brynde,Paul,88
Haime,Josefa,107
Josefa,ogJosefa,107
Magnetpetersen,ogJosefa,107
Jakob,Titus,109
Jakob,Josefa Ravens,110
Jakob,Madam Trane,111
Rudolf,Sparre,115
Madigan,Sparre,115
Josefa,Trane,124
Josefa,Trane,124
Josefa,Trane,124
Jakob,Nanna,127
Jakob,Titus,133
Jakob,lille Josefa,136
Jakob,Trane,146
Jakob,Titus,146
Titus,Traneben,146
Frans,Nanna,149
Amanda,Johanne,150
Johanne,Mary,150
Nanna,Trane,151
Nanna,Trane,151
Jakob,Titus,152
Jakob,Nanna,152
Amanda,Nanna,152
Amanda,Rosamunde,152
Jakob,Titus,155
Jakob,Titus,155
Jakob,Titus,155
Amru,Titus,170
Karle,Pennes,174
Karle,M. Terentius Varro,174
Amanda,Jakob,177
Jakob,Titus,180
Jakob,Josefa,180
Holger,Lohengrins,185
Holger,TitCls,190
Holger,Titus,190
Holger,Titus,190
Holger,Wagner,193
Holger,Titus,197
Holger,Titus,197
Gral,Lohengrin,199
Holger,Wagner,206
Holger,Marie,207
Don Juan,Holger,212
Munks,Titus,231
Munk,Titus,236
Giottos,Signorellis,237
Degas,Giottos,237
Degas,Eyck,237
Kalla,Paula,238
Munk,Paula,239
Munk,Paula,239
Munk,Titus,241
Munk,Paula,242
Munk,Titus,258
Hera,Titus,259
Munk,Paula,262
Allori,Paula,264
Allori,Judith,264
Holofemes,Judith,264
Paula,Titus,266
Munk,Paula,266
Don,luli,269
Munk,Ormen,272
Munk,Titus,277
Lin de vangssko,Munk,277
Munk,Titus,286
Durer,Holbein,292
Eurydike,Titus,294
Hades,Orpheus,296
Eurydike,Hades,296
Eurydike,Hermes,296
Doras,Eurydike,299
Dora,Munk,300
Dora,Munk,301
Dora,Titus,301
Dora,Titus,304
Dora,Titus,304
Dora,Titus,318
Molle,Munk,319
Munk,Titus,319
Dora,Titus,319
Dora,Molle,322
Dora,Molle,323
Dora,Molle,324
Molle,Tante Rosalie,325
Rosalie,Titus,331
Munk,Rosalie,333
Munk,Rosalie,333
Dora,Munk,333
Dora,Rubens,333
Rubens,v. Dycks,333
Rosalie,v. Dycks,333
Rosalie,grazia a dio,336
Napoleons,Pauline,338
Dora,Rosalie,339
Dora,Maria,339
Dora,Rosalie,344
Gud,lille Dora,345
Gud,Tante,350
Molle,Rosalie,353
Dora,Rosalie,353
Rosalie,Titus,355
Dora,Munk,361
Munk,Titus,361
Dora,Titus,361
Dora,Munk,361
Dora,Rosalie,364
Dora,Rosalie,364
Dora,Titus,365
Dora,Munk,365
Munk,Titus,365
Dora,Titus,365
Dora,Rosalie,365
Munk,Rosalie,365
Munk,Titus,365
Dora,Titus,368
Dora,Titus,369
Dora,Rosalie,369
Gungren,Munk,373
Gungren,Paula,373
Mona Lisa,Titus,374
Mona Lisa,Titus,375
Dora,Mona Lisa,375
Lange,Madam,381
Saulus,Titus,390
