source,target,timestamp
Knud Herluff,Knuds,14
Knud,Martin,15
Knud,Martin,18
Knud,Martin,21
Knud,Martin,24
Bremer,Knud,28
Bremer,Knud,34
Apoteker Bremers,Knud,35
Bremer,Hvid,36
Bremer,Knud Herluff,37
Hr. Bremer,Knud,38
Bremer,Knud,40
Bremer,lille Knud,41
Knud,Knud Herluff,48
Bremer,Knud Herluff,48
Johan Meyer,Knud,52
Johan Meyer,Knud,52
Johan Meyer,Knud Herluff,52
Johan Meyer,Knud Herluff,52
Johan Meyer,Knud,54
Johan,Knud,55
Johan,Knud,55
Johan,Knud,56
Johan,Knud,59
Johan,Knud,64
Otto Gabert,Otto Lind-hardt,69
Gabert,Otto Lind-hardt,69
Johan,Knud,70
Gud,Otto Gabert,72
Johan Meyer,Knud Herluff,74
Johan,Johan Meyer,74
Johan,Moses,74
Knud Herluf,Moses,74
Johan Meyer,Knud Herluf,74
Johan,Johan Meyer,74
Jørgen Brandt,Knud,75
Gorm hin Gamles,Thyra Danebods,80
Johan Meyer,Knud Herluff,89
Knud Herluf,Petri,92
Gud,Herluff,93
Bælam,Gud,93
Herluff,Johan Meyer,104
Herluff,Johan Meyer,109
Herluff,Meyers,110
Herluff,Meyer,111
Herluff,Johan Meyer,112
Herluff,Johan Meyer,117
Herluff,Johan Meyer,117
Herluff,Meyer,118
Bremer,Herluff,123
Herluff,Knud Herluff,125
Eskild Lindegaard,Herluff,125
Eskild Lindegaard,Kristen Jensen,125
Eskild Lindegaard,Kristen Jensen,125
Eskild Lindegaard,Herluff,125
Kristen Jensen Stenmark,Mads Poulsen,127
Lindegaard,Mads Poulsen,129
Eskild,Mads Poulsen,130
Bartkorns,Mads,131
Bravo,Mads,133
Herluff,Mads Poulsen,134
Herluff,Knud Herluff,138
Herluff,Knud Herluff,138
Eskild Lindegaard,Herluff,141
Eskild Lindegaard,Herluff,146
Herluff,Lindegaard,147
Herluff,Knud Herluff,155
Herluff,Kortsen,156
Herluff,Kortsen,172
Herluff,Jørgen Bøggild,176
Herluff,Jørgen Bøggild,177
Hr. Bøggild,Kortsen,179
Amalie von Rømersdorff,v. Rømersdorff,188
Herluff,Knud Herluff,189
Amalie v. Rømersdorff,Knud Herluff,194
Herluff,Knud Herluff,201
Herluff,Johan Meyer,202
Johan Meyer,Meyer,202
Herluff,Meyer,203
Herluff,Meyer,204
Herluff,Meyer,204
Kognac,Meyer,211
Herluff,v. Rømers-dorff,233
Frøken Amalie,Herluff,237
Amalie Rømersdorff,Frøken Amalie,239
Amalie,Herluff,240
Herluff,Johan Meyer,244
Herluff,Thinge,245
Herluff,Knud Herluff,251
Herluff,v. Rømersdorff,260
Frøken Amalie,Herluff,261
