Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Knud Herluff,0,0,0,0,6,0.33,16,0.41,6,0.33,0.33,0.59,0.12,0.19
Knuds,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.12,0.0,0.0
Knud,0,0,0,0,8,0.47,20,0.51,8,0.47,0.28,0.5,0.16,0.25
Martin,0,0,0,0,1,0.0,4,0.08,1,0.0,0.06,0.11,0.0,0.0
Bremer,0,0,0,0,5,0.27,8,0.19,5,0.27,0.27,0.48,0.12,0.19
Apoteker Bremers,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.11,0.0,0.0
Hvid,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.11,0.0,0.0
Hr. Bremer,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.11,0.0,0.0
lille Knud,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.11,0.0,0.0
Johan Meyer,0,0,0,0,6,0.33,18,0.46,6,0.33,0.34,0.61,0.18,0.29
Johan,0,0,0,0,3,0.13,9,0.22,3,0.13,0.14,0.25,0.02,0.03
Otto Gabert,0,0,0,0,2,0.07,2,0.03,2,0.07,0.03,0.05,0.08,0.13
Otto Lind-hardt,0,0,0,0,2,0.07,2,0.03,2,0.07,0.01,0.02,0.04,0.06
Gabert,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gud,0,0,0,0,3,0.13,3,0.05,3,0.13,0.13,0.23,0.15,0.24
Moses,0,0,0,0,2,0.07,2,0.03,2,0.07,0.05,0.09,0.0,0.0
Knud Herluf,0,0,0,0,3,0.13,3,0.05,3,0.13,0.08,0.14,0.05,0.08
Jørgen Brandt,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.11,0.0,0.0
Gorm hin Gamles,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Thyra Danebods,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Petri,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Herluff,0,0,0,0,16,1.0,38,1.0,16,1.0,0.56,1.0,0.63,1.0
Bælam,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.05,0.0,0.0
Meyers,0,0,0,0,1,0.0,1,0.0,1,0.0,0.12,0.21,0.0,0.0
Meyer,0,0,0,0,3,0.13,7,0.16,3,0.13,0.2,0.36,0.04,0.06
Eskild Lindegaard,0,0,0,0,2,0.07,6,0.14,2,0.07,0.12,0.21,0.04,0.06
Kristen Jensen,0,0,0,0,1,0.0,2,0.03,1,0.0,0.03,0.05,0.0,0.0
Kristen Jensen Stenmark,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.05,0.0,0.0
Mads Poulsen,0,0,0,0,4,0.2,4,0.08,4,0.2,0.17,0.3,0.08,0.13
Lindegaard,0,0,0,0,2,0.07,2,0.03,2,0.07,0.15,0.27,0.0,0.0
Eskild,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.05,0.0,0.0
Bartkorns,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Mads,0,0,0,0,2,0.07,2,0.03,2,0.07,0.0,0.0,0.0,0.0
Bravo,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Kortsen,0,0,0,0,2,0.07,3,0.05,2,0.07,0.12,0.21,0.04,0.06
Jørgen Bøggild,0,0,0,0,1,0.0,2,0.03,1,0.0,0.12,0.21,0.0,0.0
Hr. Bøggild,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.05,0.0,0.0
Amalie von Rømersdorff,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.05,0.0,0.0
v. Rømersdorff,0,0,0,0,2,0.07,2,0.03,2,0.07,0.12,0.21,0.04,0.06
Amalie v. Rømersdorff,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.12,0.0,0.0
Kognac,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.07,0.0,0.0
v. Rømers-dorff,0,0,0,0,1,0.0,1,0.0,1,0.0,0.12,0.21,0.0,0.0
Frøken Amalie,0,0,0,0,2,0.07,3,0.05,2,0.07,0.12,0.21,0.04,0.06
Amalie Rømersdorff,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.05,0.0,0.0
Amalie,0,0,0,0,1,0.0,1,0.0,1,0.0,0.12,0.21,0.0,0.0
Thinge,0,0,0,0,1,0.0,1,0.0,1,0.0,0.12,0.21,0.0,0.0
