Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Madame,0,0,0,0,6,0.24,7,0.08,6,0.24,0.01,0.02,0.05,0.16
Mørch,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Arnak,0,0,0,0,9,0.38,22,0.27,9,0.38,0.05,0.1,0.16,0.52
Gud,0,0,0,0,7,0.29,12,0.14,7,0.29,0.18,0.35,0.31,1.0
Sivertsen,0,0,0,0,2,0.05,3,0.03,2,0.05,0.0,0.0,0.01,0.03
firti,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Hr. Kahrs,0,0,0,0,3,0.1,9,0.1,3,0.1,0.01,0.02,0.0,0.0
Bohemen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Fasters,0,0,0,0,3,0.1,3,0.03,3,0.1,0.01,0.02,0.0,0.0
Augustine,0,0,0,0,2,0.05,2,0.01,2,0.05,0.01,0.02,0.01,0.03
Bang,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Fasteren,0,0,0,0,2,0.05,2,0.01,2,0.05,0.01,0.02,0.0,0.0
Frøken Mørchs,0,0,0,0,2,0.05,2,0.01,2,0.05,0.01,0.02,0.0,0.0
Faster,0,0,0,0,4,0.14,6,0.06,4,0.14,0.04,0.08,0.04,0.13
Ouis,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Oui,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Fredrik Iversen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Hans Fransen,0,0,0,0,2,0.05,2,0.01,2,0.05,0.0,0.0,0.0,0.0
Paul Høst,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gossners,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Presten Faber,0,0,0,0,2,0.05,2,0.01,2,0.05,0.01,0.02,0.01,0.03
Holger,0,0,0,0,22,1.0,79,1.0,22,1.0,0.52,1.0,0.25,0.81
Lisabet,0,0,0,0,7,0.29,30,0.37,7,0.29,0.21,0.4,0.06,0.19
Irma,0,0,0,0,12,0.52,53,0.67,12,0.52,0.39,0.75,0.12,0.39
