source,target,timestamp
Ivar Hasselberg,fars,7
Ivar,fars,7
Ivar,Ivar Hasselberg,8
Ivar Hasselberg,stenhaard,8
Gud,stenhaard,8
Dahl,Grande,10
Elias Grande,Grande,10
Elias Grande,Grande,10
Grande,Hasselberg,10
Grande,Hasselberg,11
Elias Grande,Grande,11
Elias Grande,Grande,11
Elias Grande,Grande,11
Elias Grande,Hasselberg,11
Grande,Hasselberg,12
Elias Grande,Grande,13
Elias Grande,Grande,13
Grande,Hasselberg,13
Elias Grande,Karl Johan,20
Ivar Hasselberg,Karl Johan,20
G. F. Schlenk,von Hasselberg,21
Holme,von Hasselberg,21
Hasselberg,kvækked Johansen,24
Hasselberg,Holme,26
Hasselberg,Simonsen,26
Gud,Simonsen,26
Holme,Johansen,27
Hasselberg,Johansen,27
Holme,Simonsen,28
Holme,Simonsen,28
Hasselberg,Holme,28
Hasselberg,Holme,28
Holme,Johansen gotted,32
Hasselberg,Holme,32
Hasselberg,dunsted,34
Hasselberg,Johansen,35
Hasselberg,Johansen,35
Elias Grande,Hasselberg,36
Elias,Hasselberg,36
Hasselberg,Holme,38
Holme,Simonsen,41
Hasselberg,Johansen,44
Schlenk,principals,51
Ivar Hasselberg,principals,51
Hasselberg,Johansen,53
Bea,Holme,58
Holme,Schlenk,59
Hasselberg,Holme,61
Holme,Johansen,62
Hasselberg,Johansen,63
Bea,Hasselberg,66
Gud,stakkar,69
Simonsen,pilte,70
Holme,Simonsen,70
Bea,Holme,70
Hasselberg,Lillehammer,71
Bea,Hagen,74
Bea,Hagen,74
Dahl,Hasselberg,76
Elias Grande,Grande,78
Grande,Hasselberg,82
Ivar,Linder,84
Grande,Linder,84
Grande,Martine,84
Martine,Olea,84
Elias,Hasselberg,88
Grande,Hasselberg,88
Grande,Hasselberg,89
Grande,Hasselberg,89
Hasselberg,Tante Dahl,89
Tante Dahl,tante Dahl,89
Martine,hallelujapige,91
Elias,Elias Grande,105
Elias,Hasselberg,106
Grande,Hasselberg,109
Elias,Hasselberg,110
Elias,Grande,110
Foss,Myhre,112
Kjære,Schlenk,113
Hasselberg,Myhre,116
Hasselberg,Schlenk,117
Grande,Hasselberg,117
Schlenk,hr. Hasselberg,118
Hasselberg,Schlenk,119
Grande,Schlenk,119
Grande,Schlenk,119
Hasselberg,Schlenk,119
Grande,Schlenk,122
Hasselberg,Schlenk,122
Hasselberg,Schlenk,124
Myhre,Schytt,125
Schytt,stansed,125
Schlenk,stansed,125
Schlenk,patos,125
Grande,Hasselberg,127
Hasselberg,Schlenk,144
Hasselberg,Schlenk,144
Hasselberg,Schlenk,151
Hasselberg,Schlenk,151
Hasselberg,Schlenk,151
Hasselberg,Schlenk,151
Hasselberg,hans Kristianialiv,151
Martine,Schlenk,152
Dahl,Schlenk,154
Albert,Bea,162
Holme,Simonsen,172
Hasselberg,Holme,172
Hasselberg,Johansen,172
Johansen,cachou,172
Hasselberg,cachou,172
Hasselberg,Johansen,174
Hasselberg,Johansen,175
Gud,Hasselberg,176
Jesus,bent,180
Beate Schlenk,Hasselberg,181
Bea,Hasselberg,183
Bea,Hasselberg,183
Bea,Hasselberg,185
Bea,Hasselberg,192
Beate Schlenk,Hasselberg,192
Bea,Hasselberg,193
Bea,Hasselberg,195
Albert,Bea,203
Bea,Schlenk,204
Bea,Hasselberg,205
Bea,Elias Grande,206
Elias Grande,Veslefrik,206
Veslefrik,fele,206
