source,target,timestamp
Hande,Jørgen Hande,3
Singdalsen,Sundbys,13
Hande,Ida Sørensen,25
Ida,skibs-rehder Sørensen,26
Ida,skibs-rehder Sørensen,26
Ida,skibsrehder Sørensen,26
Hande,Ida Sørensen,29
Hande,Knap,31
Hande,Ida,32
Ida,spaadomsevne,36
Hande,Ida,43
Hande,Ida,45
Bertelsen,Elgsrud,48
Lunde,Singdalsen,53
Elgsrud,Singdalsen,53
Bertelsen,Elgsrud,53
Berg,Singdalsen,68
Berg,Singdalsen,70
Hande,Ida,74
Hande,Knap,77
Hande,Ida,79
Ida,Rebekka,79
Ida,Rebekka,79
Hande,Ida,80
Knap,Rebekka,81
Hande,Rebekka,81
Rebekka,Viborg,87
Knap,Rebekka,88
Rebekka,Viborg,88
Rebekka,Viborg,89
Knap,Rebekka,94
Knap,Rebekka,94
Knap,Rebekka,96
Hande,Ida,103
Hande,Ida,103
Hande,Ida,104
Ida,gutten,104
Hande,Ida,107
Hande,Ida,107
Hande,Ida,110
Hande,Ida,112
Hande,Ida,112
Jørgen,Vilhelms,119
Berg,Sylow,137
Berg,Singdalsen,145
Singdalsen,fru Hande,151
Berg,Singdalsen,151
Berg,Jørgine,151
Ida,hr. Berg,173
Ida,hr. Berg,173
Ida,Singdalsen,174
Ida,Singdalsen,186
Knap,Rebekka,191
Hande,Rebekka,191
Knap,Rebekka Hofgaard,193
Hande,Rebekka Hofgaard,197
Hande,krebs,201
Hande,Ida,212
Hande,Ida,213
Hande,Ida,213
Hande,Ida,214
Hande,Ida,218
Hande,fru Singdalsen,220
Hande,Ida,229
Hande,Ida,232
Ida,Rande,239
Hande,Ida,242
Hande,Ida,242
Knap,Rebekka,251
Rebekka,Viborg,251
Rebekka,Viborg,251
Rebekka,Rebekøa,251
Ida,Singdalsen,252
Hande,Ida,255
Hande,Ida,257
Ida,Knap,268
Ida,gud,273
Ida,gud,273
Hande,Ida,275
Hande,Ida,275
Hande,Ida,283
Ida,Jørgen,284
Hande,Knap,292
Hande,Ida,294
Hande,Rebekka,295
Hande,Ida,295
Ida,Rebekka,295
Knap,Rebekka,303
Rebekka,gud,306
Rebekka,Viborg,316
Rebakka,Viborg,317
Rebekka,Viborg,317
Ida,Knap,320
Josef,Rebekka,325
Frk. Sehm,Rebekka,326
Josef,Rebekka,328
Rebekka,frk. Sehm,330
