Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Haller,0,0,0,0,8,0.21,20,0.07,8,0.21,0.2,0.43,0.02,0.04
Lili,0,0,0,0,2,0.03,5,0.01,2,0.03,0.06,0.11,0.0,0.0
Knudsen,0,0,0,0,9,0.24,26,0.09,9,0.24,0.24,0.52,0.01,0.02
Madam Knudsen,0,0,0,0,15,0.41,49,0.16,15,0.41,0.28,0.61,0.09,0.18
ban,0,0,0,0,4,0.09,6,0.02,4,0.09,0.13,0.27,0.0,0.0
Sirtses,0,0,0,0,2,0.03,2,0.0,2,0.03,0.08,0.16,0.0,0.0
Dagna,0,0,0,0,27,0.76,205,0.7,27,0.76,0.33,0.73,0.42,0.86
Ingeborg,0,0,0,0,35,1.0,292,1.0,35,1.0,0.45,1.0,0.49,1.0
Karen,0,0,0,0,4,0.09,11,0.03,4,0.09,0.14,0.3,0.0,0.0
Madammen,0,0,0,0,2,0.03,2,0.0,2,0.03,0.08,0.16,0.0,0.0
lille Dagna,0,0,0,0,4,0.09,5,0.01,4,0.09,0.12,0.25,0.0,0.0
G rosserer,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.05,0.0,0.0
Ingeborg Knudsens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.05,0.0,0.0
Karsten,0,0,0,0,1,0.0,4,0.01,1,0.0,0.03,0.05,0.0,0.0
lier,0,0,0,0,1,0.0,2,0.0,1,0.0,0.03,0.05,0.0,0.0
Pappa,0,0,0,0,3,0.06,13,0.04,3,0.06,0.06,0.11,0.0,0.0
Dagna Haller,0,0,0,0,2,0.03,2,0.0,2,0.03,0.08,0.16,0.0,0.0
paany,0,0,0,0,1,0.0,2,0.0,1,0.0,0.03,0.05,0.0,0.0
Mamma,0,0,0,0,6,0.15,24,0.08,6,0.15,0.12,0.25,0.07,0.14
