source,target,timestamp
Gazela,Povitz,3
Gazela,hnn,4
Gazela,Jakobe,11
Gazela,Jakobe,11
Gazela,Povitz,11
liam,lian,12
Gazela,Hnn,15
Gazela,liun,15
Luxus,liun,15
Juveler,Luxus,15
Juveler,nocjet,15
Casper,Papas,17
Mamas,Papas,17
lian,lian liar,21
lian,lian liar,21
Sidsel,flet,23
Nice,Sidsel,23
Fatter,Peer A,24
NiceD,Sidsel,29
Mortensdag,lille Nice,31
Mikkelsdag,Sidsel,33
Nice,Sidsel,40
Gazela,tine,42
Hardenberg,Povitz,47
Casper,Povitz,47
Povitz,Sidsel,53
Frants,Povitz,54
Frants,liun,57
Hardenberg,ands,58
Aline,ands,58
Hardenberg,Mutter,61
Hardenberg,Povitz,61
Gazela,Povitz,64
hnn,lian,72
Povitz,lian,80
Povitz,liun,80
Gazela,Hardenberg,81
Hardenberg,Povitz,84
Gazela,Hardenberg,84
lian,liun,88
Aline,lian,89
Gazela,Povitz,91
Gazela,Hardenberg,91
Hardenberg,Povitz,91
Frants,liun,92
Hardenberg,Povitz,97
Frants,Hardenberg,97
Hardenberg,don,98
Povitz,don,98
Gazela,Hardenberg,99
J,ieij,104
Gazela,Povitz,108
Hardenberg,Povitz,108
Jen,tove,109
Gazela,Hardenberg,111
Jen,jen,112
Gazela,Hardenberg,113
Gazela,tor,113
Steen,tor,113
Gazela,Povitz,114
Jakobe,liam,115
Gazela,Jakobe,116
Jakobe,lee,116
Hardenberg,lee,116
Gazela,lian,117
Gazela,lian,117
Gazela,liun,117
Greven var,liun,117
Gazela,Petrark,118
Gazela,Povitz,119
Gazela,Samson,122
Gazela,Povitz,126
Gazela,liam,126
Gazela,Povitz,127
Gazela,Povitz,127
Douglas,Mylord,128
Gazela,Mylord,128
Gazela,tik,128
Gazela,tik,128
Gazela,Hnn,128
Hnn,lerved,128
hnn,lerved,128
Hardenberg,hnn,128
Gazela,Hardenberg,128
liun,tazela,129
hnn,liun,129
Gazela,Povitz,133
Gazela,lian,133
Gazela,Povitz,134
Gazela,lian,134
Gazela,Povitz,136
Hardenberg,Povitz,136
Hardenberg,flen unge,137
Hardenberg,liun,141
Gazela,Hardenberg,143
Hardenberg,Povitz,143
Gazela,Povitz,143
Hardenberg,Hnn,144
Gazela,Hardenberg,144
Gazela,hellei,144
Hardenberg,hnn,146
Aloral,Feil,148
Aloral,livis,148
H jertensglæde,livis,148
H jertensglæde,jegher,148
Hardenberg,hnn,154
Hardenberg,lian,154
Die-,Eader,155
Gazela,Hardenberg,156
Gazela,Povitz,158
Hardenberg,Povitz,159
Gazela,Povitz,160
Hardenberg,Povitz,160
Hardenberg,liam,160
Rienzi,liam,160
Rienzi,mgang,160
Petrarc,mgang,160
Laura,Petrarc,160
Cola,Laura,160
Bulwers,Cola,160
Bulwers,Laura,160
Gazela,Hardenberg,163
Gazela,liun,163
