source,target,type,weight
Falk,Straahat,Undirected,1
Falk,Stenholt,Undirected,8
Falk,Ludvig Stenholt,Undirected,1
Gustav Falk,Stenholt,Undirected,2
Frederik,Laura,Undirected,2
Clara,Frederik,Undirected,2
Laura,Otto,Undirected,1
Grevinde Danners,Schopper,Undirected,1
Grevinde Danners,Laura,Undirected,1
Gustav Falk,Laura,Undirected,6
Falk,Poul Møllers,Undirected,1
Falk,Jensen,Undirected,2
Annette,Falk,Undirected,2
Annette,Kousine,Undirected,1
Annette,Laura,Undirected,4
Hostrup,Laura,Undirected,1
Falk,Laura,Undirected,6
Gustav Falk,Hostrup,Undirected,1
Falk,Peter Herlig,Undirected,1
Hjalte,Peter Herlig,Undirected,1
Falk,Willerup,Undirected,3
Frøken Schmidt,Gustav,Undirected,2
Dr. Falk,Willerup,Undirected,1
Dr. Falk,Laura,Undirected,2
Gustav,Laura,Undirected,54
Gustav,Hjalte,Undirected,1
Dr. Falk,Schopper,Undirected,1
Dr. Falk,Grundtvig,Undirected,1
Ebba,Gustav,Undirected,37
Gustav Falk,Hjalte,Undirected,2
Falk,Hjalte,Undirected,2
Gustav,Willerup,Undirected,2
Gustav,Peter Herlig taug,Undirected,2
Frøken Ebba,Gustav,Undirected,4
Ebba,Laura,Undirected,17
Ebba,Josefine,Undirected,11
Carl,Willerup,Undirected,1
Dandsen,Gustav,Undirected,1
Gustav,Schopper,Undirected,3
Laura,Schopper,Undirected,7
Gustav,Line,Undirected,3
Laura,Line,Undirected,1
Gustav,Laura Falk,Undirected,1
Bernhard Schopper,Laura Falk,Undirected,1
Annette,Gustav,Undirected,26
Frederik,Gustav,Undirected,8
Clara,Thyra,Undirected,1
Rigmor,Thyra,Undirected,1
Margrethe Sprænghest,Thyra,Undirected,1
Falk,Gustav,Undirected,3
Clara,Laura,Undirected,6
Kousinen,Laura,Undirected,1
Gustav,Kousinen,Undirected,1
Gustav,Stenholt,Undirected,5
Annette,Stenholt,Undirected,1
Gustav,Hall,Undirected,3
