source,target,timestamp
Falk,Straahat,2
Falk,Stenholt,3
Falk,Stenholt,11
Falk,Ludvig Stenholt,13
Gustav Falk,Stenholt,16
Falk,Stenholt,18
Falk,Stenholt,20
Falk,Stenholt,23
Frederik,Laura,25
Clara,Frederik,25
Laura,Otto,26
Grevinde Danners,Schopper,29
Grevinde Danners,Laura,29
Falk,Stenholt,33
Falk,Stenholt,33
Gustav Falk,Laura,35
Falk,Poul Møllers,36
Falk,Jensen,38
Falk,Jensen,38
Annette,Falk,39
Annette,Kousine,41
Annette,Laura,48
Annette,Laura,48
Hostrup,Laura,48
Falk,Laura,49
Gustav Falk,Laura,49
Gustav Falk,Hostrup,49
Falk,Peter Herlig,51
Hjalte,Peter Herlig,51
Gustav Falk,Laura,52
Falk,Willerup,53
Frøken Schmidt,Gustav,57
Dr. Falk,Willerup,60
Dr. Falk,Laura,60
Gustav,Laura,60
Gustav,Hjalte,62
Dr. Falk,Schopper,63
Dr. Falk,Grundtvig,63
Ebba,Gustav,75
Gustav Falk,Hjalte,78
Gustav Falk,Hjalte,78
Falk,Hjalte,78
Gustav,Willerup,80
Gustav,Peter Herlig taug,80
Gustav,Peter Herlig taug,80
Frøken Schmidt,Gustav,81
Frøken Ebba,Gustav,86
Ebba,Laura,89
Ebba,Gustav,91
Gustav,Laura,91
Ebba,Laura,91
Ebba,Josefine,91
Carl,Willerup,92
Gustav,Willerup,92
Dandsen,Gustav,93
Gustav,Laura,94
Gustav,Schopper,94
Laura,Schopper,94
Laura,Schopper,94
Gustav,Laura,95
Gustav,Line,101
Gustav,Line,101
Laura,Line,102
Gustav,Line,103
Gustav,Laura Falk,104
Bernhard Schopper,Laura Falk,104
Annette,Gustav,106
Annette,Gustav,108
Frederik,Gustav,109
Clara,Frederik,109
Clara,Thyra,109
Rigmor,Thyra,109
Margrethe Sprænghest,Thyra,112
Falk,Gustav,113
Clara,Laura,114
Kousinen,Laura,114
Gustav,Kousinen,114
Annette,Gustav,115
Gustav,Stenholt,118
Annette,Laura,128
Annette,Falk,131
Annette,Stenholt,132
Gustav,Laura,134
Gustav,Stenholt,135
Gustav,Stenholt,135
Gustav,Hall,138
Gustav,Hall,138
Gustav,Hall,138
Gustavs Skaal,Hall tillivs,139
Gustav,paany,141
Hall,paany,141
Gustav,Laura,144
Clara,Laura,145
Gustav,Schopper,148
Ebba,Gustav,150
Ebba,Gustav,150
Ebba,Gustav,150
Ebba,Gustav,150
Frøken Ebba,Gustav,152
Guds,Gustav,153
Ebba,Guds,153
Ebba,Gustav,157
Ebba,Gustav,157
Gustav,Strøm,157
Ebba,Strøm,157
Ebba,Kamilla,157
Ebba,Kamilla,157
Frøken Ebba,Gustav,158
Gustav,Laura,162
Laura,Schopper,162
Ebba,Schopper,162
Ebba,Josefine,162
Josefine,Kamilla,162
Ebba,Kamilla,163
Josefine,Kamilla,163
Ebba,Josefine,163
Ebba,Gustav,163
Gustav,Schopper,163
Ebba,Gustav,164
Falk,Willerup,166
Brygger Schmidt,Falk,166
Falk,Schmidt,169
Ebba,Gustav,170
Falk,Hr. Schmidt,178
Falk,Hr. Schmidt,178
Falk,Willerup,178
Gustav,Laura,180
Bernhard Schopper,Gustav,181
Gustav,Laura,181
Ebba,Laura,181
Ebba,Gustav,181
Frøken Schmidt,Laura,182
Gustav,Laura,183
Gustav,Laura,185
Gustav,L’,186
L’,Orla,186
Lehmann,beraad,187
Clara,Gustav,188
Clara,Laura,188
Bernherd Schopper,Gustav,189
Ebba Schmidt,Laura,190
Gustav,Laura,192
Ebba,Laura,192
Ebba,Laura,192
Gustav,raabe,194
Carl Schmidt,raabe,194
Carl Schmidt,Ebba,194
Ebba,Kapitajn Povelsen,194
Carl,Gustav,195
Carl,Gustav,198
Annette,Gustav,200
Gustav,Laura,201
Gustav Falk,Laura,201
Gustav Falk,pagni,201
Niels Chresten Jensen,Niels Peter Jensen,203
Niels Chresten,Niels Chresten Jensen,203
Niels Chresten,Niels Peter,203
Annette,Gustav,204
Annette,tom,205
Annette,Gustav,206
Annette,Gustav,208
Carl Schmidt,Klerup,222
