Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Aage,0,0,0,0,49,1.0,101,1.0,49,1.0,0.67,1.0,0.79,1.0
Tuen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.09,0.13,0.0,0.0
Anna,0,0,0,0,3,0.04,4,0.03,3,0.04,0.11,0.16,0.02,0.03
Carsten,0,0,0,0,3,0.04,4,0.03,3,0.04,0.12,0.18,0.0,0.0
Aage —,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.01,0.0,0.0
Aaen,0,0,0,0,2,0.02,4,0.03,2,0.02,0.11,0.16,0.0,0.0
Bondesen,0,0,0,0,6,0.1,9,0.08,6,0.1,0.16,0.24,0.05,0.06
Adam,0,0,0,0,1,0.0,1,0.0,1,0.0,0.09,0.13,0.0,0.0
tom,0,0,0,0,1,0.0,3,0.02,1,0.0,0.09,0.13,0.0,0.0
Aage Bondesen,0,0,0,0,7,0.12,11,0.1,7,0.12,0.1,0.15,0.03,0.04
B.,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.01,0.0,0.0
Skaar,0,0,0,0,1,0.0,2,0.01,1,0.0,0.09,0.13,0.0,0.0
Diderichsens,0,0,0,0,2,0.02,4,0.03,2,0.02,0.01,0.01,0.01,0.01
Else,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.0,0.0
Olsen,0,0,0,0,2,0.02,4,0.03,2,0.02,0.09,0.13,0.03,0.04
Grete,0,0,0,0,3,0.04,5,0.04,3,0.04,0.02,0.03,0.03,0.04
Madam Olsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Bødker Nissens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Else paany,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Buchs,0,0,0,0,3,0.04,5,0.04,3,0.04,0.02,0.03,0.02,0.03
Nissens,0,0,0,0,4,0.06,5,0.04,4,0.06,0.12,0.18,0.03,0.04
Carsten Buch,0,0,0,0,2,0.02,2,0.01,2,0.02,0.1,0.15,0.0,0.0
Aarestrup,0,0,0,0,1,0.0,2,0.01,1,0.0,0.09,0.13,0.0,0.0
Vergil,0,0,0,0,1,0.0,1,0.0,1,0.0,0.09,0.13,0.0,0.0
Anchises,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.01,0.0,0.0
Æneas,0,0,0,0,2,0.02,2,0.01,2,0.02,0.09,0.13,0.02,0.03
Gud Glaukos,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Poseidons,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Kong Hadding,0,0,0,0,1,0.0,1,0.0,1,0.0,0.09,0.13,0.0,0.0
Aakander,0,0,0,0,1,0.0,1,0.0,1,0.0,0.09,0.13,0.0,0.0
Taine,0,0,0,0,1,0.0,1,0.0,1,0.0,0.09,0.13,0.0,0.0
Timians,0,0,0,0,2,0.02,2,0.01,2,0.02,0.09,0.13,0.02,0.03
Snerrens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.01,0.0,0.0
Graad,0,0,0,0,1,0.0,2,0.01,1,0.0,0.09,0.13,0.0,0.0
Perseus,0,0,0,0,2,0.02,2,0.01,2,0.02,0.09,0.13,0.05,0.06
Vega,0,0,0,0,2,0.02,2,0.01,2,0.02,0.01,0.01,0.02,0.03
Bjørn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
hans,0,0,0,0,2,0.02,2,0.01,2,0.02,0.1,0.15,0.01,0.01
Niels Graff,0,0,0,0,6,0.1,17,0.16,6,0.1,0.15,0.22,0.04,0.05
Graff,0,0,0,0,6,0.1,16,0.15,6,0.1,0.15,0.22,0.05,0.06
Dronning Louises,0,0,0,0,2,0.02,2,0.01,2,0.02,0.1,0.15,0.01,0.01
Niels,0,0,0,0,4,0.06,11,0.1,4,0.06,0.15,0.22,0.0,0.0
Petersen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
Agnes,0,0,0,0,4,0.06,9,0.08,4,0.06,0.14,0.21,0.0,0.0
Bukar,0,0,0,0,1,0.0,1,0.0,1,0.0,0.09,0.13,0.0,0.0
Apollos,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
Albert Larsen,0,0,0,0,4,0.06,4,0.03,4,0.06,0.11,0.16,0.05,0.06
Charles Briand,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.01,0.0,0.0
Wehmuth,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
schau,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Briand,0,0,0,0,1,0.0,1,0.0,1,0.0,0.09,0.13,0.0,0.0
Gry,0,0,0,0,1,0.0,1,0.0,1,0.0,0.09,0.13,0.0,0.0
skjalv Niels Graffs,0,0,0,0,2,0.02,2,0.01,2,0.02,0.11,0.16,0.0,0.0
Lærke,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
eesnjtu,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.01,0.0,0.0
gnes,0,0,0,0,2,0.02,2,0.01,2,0.02,0.09,0.13,0.02,0.03
Briand —,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.01,0.0,0.0
Schumann,0,0,0,0,2,0.02,2,0.01,2,0.02,0.09,0.13,0.01,0.01
Schubert,0,0,0,0,2,0.02,2,0.01,2,0.02,0.02,0.03,0.0,0.0
Grieg,0,0,0,0,2,0.02,2,0.01,2,0.02,0.09,0.13,0.01,0.01
Fiske,0,0,0,0,2,0.02,2,0.01,2,0.02,0.09,0.13,0.02,0.03
haanlo,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.01,0.0,0.0
Collett,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.01,0.0,0.0
Dagmar,0,0,0,0,3,0.04,23,0.22,3,0.04,0.09,0.13,0.03,0.04
Albert,0,0,0,0,4,0.06,10,0.09,4,0.06,0.14,0.21,0.0,0.0
frank,0,0,0,0,1,0.0,1,0.0,1,0.0,0.09,0.13,0.0,0.0
Hilda,0,0,0,0,4,0.06,7,0.06,4,0.06,0.13,0.19,0.02,0.03
Madam Andersen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
Banco,0,0,0,0,2,0.02,2,0.01,2,0.02,0.11,0.16,0.0,0.0
Eva,0,0,0,0,5,0.08,7,0.06,5,0.08,0.14,0.21,0.02,0.03
Lenore,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
Sortegraa,0,0,0,0,1,0.0,1,0.0,1,0.0,0.09,0.13,0.0,0.0
Junimaaneds,0,0,0,0,1,0.0,1,0.0,1,0.0,0.09,0.13,0.0,0.0
Lind,0,0,0,0,1,0.0,2,0.01,1,0.0,0.09,0.13,0.0,0.0
Dagmar Collett,0,0,0,0,1,0.0,1,0.0,1,0.0,0.09,0.13,0.0,0.0
Aage fornam,0,0,0,0,2,0.02,2,0.01,2,0.02,0.03,0.04,0.0,0.0
l?,0,0,0,0,1,0.0,1,0.0,1,0.0,0.09,0.13,0.0,0.0
