source,target,type,weight
Bente,jagu,Undirected,1
Bente,Minka,Undirected,5
Gud,Minka,Undirected,1
Bente,Gud,Undirected,5
Johansen,Joho,Undirected,1
Joho,joho,Undirected,1
Johansen,joho,Undirected,1
Bertheas,Minka,Undirected,1
Arnt,Bertheas,Undirected,1
Arnt,Massi,Undirected,12
Minka,Schulteiss,Undirected,28
Berthea,Minka,Undirected,14
Berthea,Døttre,Undirected,1
Svend,Svend Tveskjæg,Undirected,1
Olaf Trygvasons,Thyra,Undirected,1
Minka,Sigrid Storraade,Undirected,1
Hr. Schulteiss,Minka,Undirected,2
Berthea,Schulteiss,Undirected,1
Arnt,Gyda,Undirected,1
Freyas,Gyda,Undirected,1
Anstand,Berthea,Undirected,1
Arnt,Hr. Schulteiss,Undirected,1
Massi,Minka,Undirected,2
Frøken Feiring,Schulteiss,Undirected,1
Kjel,Schulteiss,Undirected,3
Fatter,Kjel,Undirected,1
Minka,Taa,Undirected,1
Minka,Napoleon,Undirected,3
Frøken Feiring,Minka,Undirected,3
Flun,Minka,Undirected,1
Arnt,Endre,Undirected,2
Frøken Minka,Schulteiss,Undirected,2
Fars,Schulteiss,Undirected,1
Frøken Lund,Schulteiss,Undirected,1
Frøken Lund,Isaafald,Undirected,1
Isaafald,Thekla Feiring,Undirected,1
Schulteiss,Thekla Feiring,Undirected,1
Lutzmann,Schulteiss,Undirected,1
Begsøms,Preus,Undirected,1
Minka,Preus,Undirected,1
Minka,Thekla Feiring,Undirected,1
Berthea,Krefting,Undirected,1
Krefting,Minka,Undirected,1
Minka,traakle,Undirected,1
Bente,Kjel,Undirected,8
Luise Lund,Thekla,Undirected,1
Luise,Thekla,Undirected,1
Anna Rists,Luise,Undirected,1
Minka,Thekla,Undirected,5
Minka,Varberg,Undirected,19
Kjel,Massi,Undirected,2
Arnt,Baarvig,Undirected,1
Arnt,Minka,Undirected,2
Minka,Plun,Undirected,1
Schulteiss,Varberg,Undirected,3
Varberg,isommer,Undirected,1
Frøken Minka,Minka,Undirected,2
Kjel,Thekla Feiring,Undirected,1
Bente,Endre,Undirected,1
Gud,véd,Undirected,2
Thekla,jamæn,Undirected,1
Bente,Kjæresten,Undirected,1
Bente,Prens,Undirected,1
Kjel,Thekla,Undirected,11
Baarvig,Minka,Undirected,1
Bente,Vets,Undirected,1
Thekla,ban,Undirected,1
Berthea,heklas,Undirected,1
Thekla,nonchalant,Undirected,1
Kjel,Mutter,Undirected,1
Flan,Minka,Undirected,1
Berthea,Massi,Undirected,4
Minka,Minka aligevel,Undirected,1
Minka,Schulteisses,Undirected,1
