source,target,timestamp
Bente,jagu,8
Bente,Minka,17
Gud,Minka,18
Bente,Gud,18
Johansen,Joho,26
Joho,joho,26
Johansen,joho,26
Bertheas,Minka,29
Arnt,Bertheas,29
Arnt,Massi,29
Minka,Schulteiss,32
Bente,Gud,43
Berthea,Minka,53
Berthea,Døttre,53
Svend,Svend Tveskjæg,55
Berthea,Minka,57
Olaf Trygvasons,Thyra,64
Minka,Schulteiss,66
Berthea,Minka,69
Minka,Sigrid Storraade,72
Hr. Schulteiss,Minka,73
Berthea,Schulteiss,75
Arnt,Gyda,84
Freyas,Gyda,94
Anstand,Berthea,96
Minka,Schulteiss,97
Hr. Schulteiss,Minka,106
Arnt,Hr. Schulteiss,111
Massi,Minka,112
Berthea,Minka,112
Frøken Feiring,Schulteiss,116
Minka,Schulteiss,118
Kjel,Schulteiss,120
Fatter,Kjel,142
Minka,Taa,147
Minka,Napoleon,152
Arnt,Massi,155
Frøken Feiring,Minka,156
Frøken Feiring,Minka,157
Flun,Minka,160
Arnt,Endre,163
Arnt,Massi,163
Minka,Schulteiss,167
Kjel,Schulteiss,168
Frøken Minka,Schulteiss,170
Fars,Schulteiss,173
Frøken Lund,Schulteiss,182
Frøken Lund,Isaafald,182
Isaafald,Thekla Feiring,182
Schulteiss,Thekla Feiring,182
Minka,Schulteiss,184
Lutzmann,Schulteiss,188
Begsøms,Preus,194
Minka,Preus,194
Minka,Thekla Feiring,194
Arnt,Massi,197
Berthea,Krefting,198
Krefting,Minka,198
Minka,traakle,198
Bente,Kjel,207
Bente,Minka,207
Luise Lund,Thekla,213
Luise,Thekla,213
Anna Rists,Luise,213
Minka,Thekla,215
Minka,Schulteiss,219
Minka,Napoleon,219
Minka,Napoleon,219
Minka,Varberg,220
Frøken Feiring,Minka,222
Minka,Schulteiss,224
Arnt,Massi,228
Arnt,Massi,229
Bente,Minka,230
Kjel,Massi,232
Arnt,Baarvig,237
Arnt,Minka,242
Minka,Schulteiss,243
Minka,Schulteiss,243
Minka,Plun,243
Schulteiss,Varberg,247
Varberg,isommer,247
Frøken Minka,Minka,248
Schulteiss,Varberg,250
Minka,Schulteiss,252
Kjel,Thekla Feiring,253
Bente,Endre,255
Bente,Kjel,261
Gud,véd,263
Thekla,jamæn,268
Bente,Kjæresten,270
Bente,Prens,270
Bente,Minka,276
Kjel,Thekla,278
Baarvig,Minka,279
Bente,Gud,283
Bente,Vets,285
Bente,Minka,285
Kjel,Thekla,290
Minka,Thekla,298
Minka,Thekla,298
Minka,Thekla,298
Thekla,ban,303
Berthea,heklas,309
Kjel,Thekla,313
Thekla,nonchalant,313
Kjel,Mutter,317
Bente,Kjel,321
Minka,Schulteiss,325
Kjel,Schulteiss,325
Flan,Minka,332
Minka,Varberg,332
Minka,Varberg,335
Berthea,Minka,338
Berthea,Minka,338
Berthea,Massi,338
Berthea,Massi,338
Minka,Varberg,341
Minka,Varberg,343
Minka,Minka aligevel,343
Minka,Varberg,344
Minka,Schulteiss,344
Schulteiss,Varberg,344
Minka,Varberg,344
Minka,Schulteiss,345
Minka,Varberg,345
Minka,Schulteisses,346
Minka,Schulteiss,352
Hr. Varberg,wzzZZcr,356
Hr. Varberg,wzzZZcr,356
Hr. Varberg,Varberg,357
Appolonius,Tyane,358
Aleksander Aboniticus,Tyane,358
Aleksander Aboniticus,Kristi,358
Minka,Schulteiss,360
Simon Magus,St. Peter,361
Neros,Simon Magus,361
Neros,Sanct Peter,361
Jesus,Sanct Peter,361
Minka,Varberg,363
Berthea,Minka,363
Minka,Schulteiss,366
Frue,Schulteiss,373
Minka,Schulteiss,376
Minka,Schulteiss,378
Bente,Joho,389
Bente,Kjel,391
Bente,Kjel,391
,Endre,392
Endre,Nota,394
Flan,Thekla,399
Massi,Thekla,399
Arnt,Massi,399
Arnt,Minka,399
Minka,Thekla,399
Thekla,joviale,399
Endre,Minka,400
Endre,Hamlet,400
Endre,Thekla,401
Bente,Gud,403
Noch,Thekla,404
Noch,Thekla,404
Thekla,Wahl,408
Thekla,skydse,410
Hr. Varberg,Varberg,412
Minka,Varberg,412
Baarvig,Finsland,416
Berthea,Minka,421
Berthea,Endre,424
Berthea,Minka,424
Berthea,Endre,427
Berthea,Endre,428
Berthea,Finsland,430
Endre,Finsland,432
Minka,Varberg,439
Minka,Varberg,441
Berthea,Minka,442
Joho,Minka,444
Minka,Varberg,444
Minka,Varberg,445
Finsland,Minka,445
Finsland,Minka,445
Varberg,keg,447
Minka,Varberg,447
Arnt,Massi,448
Endre,Minka,451
Endre,Minka,451
Cæsar,Finsland,452
Cæsar,Goethe,452
Byron,Goethe,452
Napoleon,Schulteiss,453
Hannibal,Napoleon,453
Frederik den store,Hannibal,453
Dante,Frederik den store,453
Hr. Varberg,Schulteiss,458
Minka,Varberg,460
Hr. Varberg,Schulteiss,461
Hr. Varberg,Muhamed,461
Muhamed,Paulus,461
Schulteiss,ehe,464
Minka,Varberg,466
Minka,Tor,476
Kjel,Tor,476
Kjel,Massi,476
Minka,Schulteiss,477
Berthea,Stakkars,483
Minka,Varberg,484
Finsland,Minka,484
Endre,hans,486
Endre,Varberg,486
Baard Kjelsen,Gutten,491
Baard,Gutten,491
Baard,Baard Kjelsen,491
Baarvig,Kjel,492
Bente,Stenvig,494
Stenvig,Thekla,494
Bente,Kjel,495
Baarvig,Bente,495
Baarvig,Toddy,495
Bente,Thekla,497
Baard Baarvigs,Bente,498
Baard Baarvigs,Kjel,498
Stenvig,Thekla,500
Finsland,Minka,501
Finsland,Thekla,502
Finsland,Varberg,502
Finsland,Thekla angelegent,504
Finsland,Minka,504
Stenvig,Thekla,505
Frøken Minka,Thekla,508
Berg,Thekla,511
Flan,Merimack,515
Merimack,Schiller,515
Goethe,Schiller,515
Finsland,Minka,519
Minka,Varberg,524
Thekla,marsch,528
Frøken Minka,Minka,529
Minka,hututu,535
Schulteiss,skakke,539
Kjel,Minka,541
Finsland,Minka,544
Finsland,Minka,544
Endre,Schulteiss,545
Endre,Minka,545
Minka,Schulteiss,545
Finsland,Schulteiss,545
Frøken Minka,Gud,546
Frøken Minka,Gud,546
Liv,Schulteiss,553
Schulteiss,Thekla,553
Minka,Schulteiss,556
Finsland,Schulteiss,557
Finsland,Frøken Minka,557
Frøken Minka,Schulteiss,557
Jon Vaaler,Lars Færgemand,558
Adiø,adiø,565
Karjolen,Kjel,566
Baarvig,Stenvig,568
Kjel,Thekla,582
Kjel,Thekla,582
Berthea,Massi,585
Berthea,Minka,585
Arne Bergersen,Kjel,587
Arne Bergersen,Kjel,587
Berthea,Schiølberg,590
